"age","gender","value","quant","n"
"[20,21)","female",0,0.515804967505309,124328
"[20,21)","female",0.01,0.621718357892028,124328
"[20,21)","female",0.02,0.717159449198893,124328
"[20,21)","female",0.03,0.782977285888939,124328
"[20,21)","female",0.05,0.845553696673316,124328
"[20,21)","female",0.07,0.865396370889904,124328
"[20,21)","female",0.09,0.869763850460073,124328
"[20,21)","female",0.1,0.994755807219613,124328
"[20,21)","female",0.11,0.995729039315359,124328
"[20,21)","female",0.12,0.996428801235442,124328
"[20,21)","female",0.14,0.99685509297986,124328
"[20,21)","female",0.15,0.997466379254874,124328
"[20,21)","female",0.17,0.99764333054501,124328
"[20,21)","female",0.18,0.997940930442057,124328
"[20,21)","female",0.2,0.999268065118075,124328
"[20,21)","female",0.21,0.9993243678013,124328
"[20,21)","female",0.23,0.999396756965446,124328
"[20,21)","female",0.25,0.999420886686828,124328
"[20,21)","female",0.27,0.999428929927289,124328
"[20,21)","female",0.28,0.999461102889132,124328
"[20,21)","female",0.3,0.99966218390065,124328
"[20,21)","female",0.31,0.999678270381571,124328
"[20,21)","female",0.33,0.999710443343414,124328
"[20,21)","female",0.34,0.999718486583875,124328
"[20,21)","female",0.36,0.999726529824336,124328
"[20,21)","female",0.37,0.999766746026639,124328
"[20,21)","female",0.38,0.999782832507561,124328
"[20,21)","female",0.4,0.999855221671707,124328
"[20,21)","female",0.43,0.999871308152629,124328
"[20,21)","female",0.47,0.999879351393089,124328
"[20,21)","female",0.5,0.999903481114471,124328
"[20,21)","female",0.52,0.999911524354932,124328
"[20,21)","female",0.54,0.999919567595393,124328
"[20,21)","female",0.56,0.999927610835854,124328
"[20,21)","female",0.58,0.999935654076314,124328
"[20,21)","female",0.6,0.999959783797696,124328
"[20,21)","female",0.64,0.999967827038157,124328
"[20,21)","female",0.89,0.999975870278618,124328
"[20,21)","female",1,0.999991956759539,124328
"[20,21)","female",1.39,1,124328
"[20,21)","male",0,0.430634589065764,55532
"[20,21)","male",0.01,0.534664697831881,55532
"[20,21)","male",0.02,0.635723546783836,55532
"[20,21)","male",0.03,0.712652164517756,55532
"[20,21)","male",0.05,0.798512569329396,55532
"[20,21)","male",0.07,0.83024202261759,55532
"[20,21)","male",0.09,0.837301015630627,55532
"[20,21)","male",0.1,0.989951739537564,55532
"[20,21)","male",0.11,0.991896564143197,55532
"[20,21)","male",0.12,0.993031045163149,55532
"[20,21)","male",0.14,0.994021465101203,55532
"[20,21)","male",0.15,0.994975869768782,55532
"[20,21)","male",0.17,0.995408053014478,55532
"[20,21)","male",0.18,0.995822228624937,55532
"[20,21)","male",0.2,0.998199236476266,55532
"[20,21)","male",0.21,0.998379312828639,55532
"[20,21)","male",0.23,0.998631419721962,55532
"[20,21)","male",0.25,0.998793488439098,55532
"[20,21)","male",0.27,0.99884751134481,55532
"[20,21)","male",0.28,0.998955557156234,55532
"[20,21)","male",0.3,0.999333717496219,55532
"[20,21)","male",0.31,0.999441763307642,55532
"[20,21)","male",0.34,0.999477778578117,55532
"[20,21)","male",0.36,0.999495786213354,55532
"[20,21)","male",0.37,0.999513793848592,55532
"[20,21)","male",0.38,0.999531801483829,55532
"[20,21)","male",0.4,0.999603832024779,55532
"[20,21)","male",0.41,0.999621839660016,55532
"[20,21)","male",0.43,0.999657854930491,55532
"[20,21)","male",0.46,0.999693870200965,55532
"[20,21)","male",0.47,0.999711877836203,55532
"[20,21)","male",0.5,0.999747893106677,55532
"[20,21)","male",0.51,0.999783908377152,55532
"[20,21)","male",0.56,0.999801916012389,55532
"[20,21)","male",0.6,0.999855938918101,55532
"[20,21)","male",0.61,0.999873946553339,55532
"[20,21)","male",0.62,0.999891954188576,55532
"[20,21)","male",0.69,0.999909961823813,55532
"[20,21)","male",0.79,0.999927969459051,55532
"[20,21)","male",0.8,0.999945977094288,55532
"[20,21)","male",0.89,0.999963984729525,55532
"[20,21)","male",1.44,0.999981992364763,55532
"[20,21)","male",9.35,1,55532
"[21,22)","female",0,0.518249756308892,166194
"[21,22)","female",0.01,0.616285786490487,166194
"[21,22)","female",0.02,0.705302237144542,166194
"[21,22)","female",0.03,0.769702877360194,166194
"[21,22)","female",0.05,0.830764046836829,166194
"[21,22)","female",0.07,0.85182377221801,166194
"[21,22)","female",0.09,0.856607338411736,166194
"[21,22)","female",0.1,0.994554556722866,166194
"[21,22)","female",0.11,0.995511269961611,166194
"[21,22)","female",0.12,0.996221283560177,166194
"[21,22)","female",0.14,0.996636461003406,166194
"[21,22)","female",0.15,0.9972020650565,166194
"[21,22)","female",0.17,0.997436730567891,166194
"[21,22)","female",0.18,0.997743600852016,166194
"[21,22)","female",0.2,0.99912752566278,166194
"[21,22)","female",0.21,0.999187696306726,166194
"[21,22)","female",0.23,0.999302020530224,166194
"[21,22)","female",0.25,0.999374225302959,166194
"[21,22)","female",0.27,0.999398293560538,166194
"[21,22)","female",0.28,0.999428378882511,166194
"[21,22)","female",0.3,0.999626942007533,166194
"[21,22)","female",0.31,0.99967507852269,166194
"[21,22)","female",0.33,0.999693129715874,166194
"[21,22)","female",0.34,0.999717197973453,166194
"[21,22)","female",0.36,0.999729232102242,166194
"[21,22)","female",0.37,0.999741266231031,166194
"[21,22)","female",0.4,0.999813471003767,166194
"[21,22)","female",0.43,0.999825505132556,166194
"[21,22)","female",0.46,0.999849573390135,166194
"[21,22)","female",0.49,0.999861607518924,166194
"[21,22)","female",0.5,0.999903726969686,166194
"[21,22)","female",0.52,0.999909744034081,166194
"[21,22)","female",0.6,0.999927795227265,166194
"[21,22)","female",0.66,0.999933812291659,166194
"[21,22)","female",0.69,0.999939829356054,166194
"[21,22)","female",0.7,0.999945846420448,166194
"[21,22)","female",0.75,0.999951863484843,166194
"[21,22)","female",0.8,0.999957880549238,166194
"[21,22)","female",0.82,0.999963897613632,166194
"[21,22)","female",0.83,0.999969914678027,166194
"[21,22)","female",0.91,0.999975931742421,166194
"[21,22)","female",1,0.999981948806816,166194
"[21,22)","female",1.1,0.999987965871211,166194
"[21,22)","female",1.2,0.999993982935605,166194
"[21,22)","female",1.39,1,166194
"[21,22)","male",0,0.444944681938902,70411
"[21,22)","male",0.01,0.53796991947281,70411
"[21,22)","male",0.02,0.633267529221286,70411
"[21,22)","male",0.03,0.705145502833364,70411
"[21,22)","male",0.05,0.785502265271051,70411
"[21,22)","male",0.07,0.81752851117013,70411
"[21,22)","male",0.09,0.82480010225675,70411
"[21,22)","male",0.1,0.99002996690858,70411
"[21,22)","male",0.11,0.991961483290963,70411
"[21,22)","male",0.12,0.993253894987999,70411
"[21,22)","male",0.14,0.994390081095283,70411
"[21,22)","male",0.15,0.995611481160614,70411
"[21,22)","male",0.17,0.995994943971823,70411
"[21,22)","male",0.18,0.996548834699124,70411
"[21,22)","male",0.2,0.998707588302964,70411
"[21,22)","male",0.21,0.998821206913692,70411
"[21,22)","male",0.23,0.998963230177103,70411
"[21,22)","male",0.25,0.999048444135149,70411
"[21,22)","male",0.27,0.999162062745878,70411
"[21,22)","male",0.28,0.999247276703924,70411
"[21,22)","male",0.3,0.999517120904404,70411
"[21,22)","male",0.31,0.999559727883427,70411
"[21,22)","male",0.33,0.999573930209768,70411
"[21,22)","male",0.34,0.999616537188792,70411
"[21,22)","male",0.36,0.999673346494156,70411
"[21,22)","male",0.38,0.999715953473179,70411
"[21,22)","male",0.4,0.999801167431225,70411
"[21,22)","male",0.43,0.999815369757566,70411
"[21,22)","male",0.44,0.999829572083907,70411
"[21,22)","male",0.46,0.999843774410248,70411
"[21,22)","male",0.5,0.999857976736589,70411
"[21,22)","male",0.56,0.99987217906293,70411
