"age","gender","value","quant","n"
"[20,21)","female",0,0.0113700966458215,123130
"[20,21)","female",0.1,0.0573865020709819,123130
"[20,21)","female",0.15,0.0573946235685861,123130
"[20,21)","female",0.2,0.170705758141801,123130
"[20,21)","female",0.21,0.170713879639406,123130
"[20,21)","female",0.27,0.17072200113701,123130
"[20,21)","female",0.3,0.338568992122147,123130
"[20,21)","female",0.33,0.338577113619752,123130
"[20,21)","female",0.36,0.338585235117356,123130
"[20,21)","female",0.37,0.338609599610168,123130
"[20,21)","female",0.4,0.516080565256233,123130
"[20,21)","female",0.41,0.516088686753838,123130
"[20,21)","female",0.43,0.516096808251442,123130
"[20,21)","female",0.44,0.516104929749046,123130
"[20,21)","female",0.46,0.516121172744254,123130
"[20,21)","female",0.47,0.516137415739462,123130
"[20,21)","female",0.49,0.516161780232275,123130
"[20,21)","female",0.5,0.666092747502639,123130
"[20,21)","female",0.51,0.666125233493056,123130
"[20,21)","female",0.54,0.666157719483473,123130
"[20,21)","female",0.55,0.666173962478681,123130
"[20,21)","female",0.56,0.666222691464306,123130
"[20,21)","female",0.57,0.66623081296191,123130
"[20,21)","female",0.58,0.666247055957119,123130
"[20,21)","female",0.6,0.776423292455129,123130
"[20,21)","female",0.61,0.776447656947941,123130
"[20,21)","female",0.62,0.776480142938358,123130
"[20,21)","female",0.63,0.776488264435962,123130
"[20,21)","female",0.64,0.77650450743117,123130
"[20,21)","female",0.66,0.776545114919191,123130
"[20,21)","female",0.67,0.776561357914399,123130
"[20,21)","female",0.68,0.776634451392837,123130
"[20,21)","female",0.69,0.850686266547551,123130
"[20,21)","female",0.7,0.850710631040364,123130
"[20,21)","female",0.72,0.850718752537968,123130
"[20,21)","female",0.73,0.85074311703078,123130
"[20,21)","female",0.74,0.850767481523593,123130
"[20,21)","female",0.75,0.850808089011614,123130
"[20,21)","female",0.76,0.850824332006822,123130
"[20,21)","female",0.77,0.850832453504426,123130
"[20,21)","female",0.79,0.850864939494843,123130
"[20,21)","female",0.8,0.898278242507919,123130
"[20,21)","female",0.81,0.898318849995939,123130
"[20,21)","female",0.82,0.898343214488752,123130
"[20,21)","female",0.83,0.898391943474377,123130
"[20,21)","female",0.85,0.898400064971981,123130
"[20,21)","female",0.86,0.898416307967189,123130
"[20,21)","female",0.87,0.89845691545521,123130
"[20,21)","female",0.88,0.898481279948022,123130
"[20,21)","female",0.89,0.929310484853407,123130
"[20,21)","female",0.91,0.929342970843824,123130
"[20,21)","female",0.92,0.929359213839032,123130
"[20,21)","female",0.93,0.929416064322261,123130
"[20,21)","female",0.94,0.929448550312678,123130
"[20,21)","female",0.95,0.929489157800698,123130
"[20,21)","female",0.97,0.929505400795907,123130
"[20,21)","female",0.98,0.929529765288719,123130
"[20,21)","female",0.99,0.929546008283928,123130
"[20,21)","female",1,0.954446519938277,123130
"[20,21)","female",1.01,0.954454641435881,123130
"[20,21)","female",1.02,0.954479005928693,123130
"[20,21)","female",1.05,0.954487127426297,123130
"[20,21)","female",1.07,0.95451149191911,123130
"[20,21)","female",1.08,0.954543977909526,123130
"[20,21)","female",1.09,0.954568342402339,123130
"[20,21)","female",1.1,0.968391131324616,123130
"[20,21)","female",1.11,0.96839925282222,123130
"[20,21)","female",1.12,0.968439860310241,123130
"[20,21)","female",1.13,0.968456103305449,123130
"[20,21)","female",1.15,0.968472346300658,123130
"[20,21)","female",1.16,0.968480467798262,123130
"[20,21)","female",1.17,0.968488589295866,123130
"[20,21)","female",1.2,0.97761715260294,123130
"[20,21)","female",1.22,0.977625274100544,123130
"[20,21)","female",1.24,0.977633395598148,123130
"[20,21)","female",1.25,0.977665881588565,123130
"[20,21)","female",1.29,0.984098107691058,123130
"[20,21)","female",1.3,0.984106229188662,123130
"[20,21)","female",1.34,0.984130593681475,123130
"[20,21)","female",1.38,0.984146836676683,123130
"[20,21)","female",1.39,0.988240071469179,123130
"[20,21)","female",1.41,0.988248192966783,123130
"[20,21)","female",1.42,0.988256314464387,123130
"[20,21)","female",1.44,0.988272557459596,123130
"[20,21)","female",1.5,0.991228782587509,123130
"[20,21)","female",1.51,0.991236904085113,123130
"[20,21)","female",1.59,0.991245025582717,123130
"[20,21)","female",1.6,0.993478437423861,123130
"[20,21)","female",1.62,0.993486558921465,123130
"[20,21)","female",1.7,0.994907821002193,123130
"[20,21)","female",1.75,0.994924063997401,123130
"[20,21)","female",1.79,0.995906765207504,123130
"[20,21)","female",1.89,0.996783886948753,123130
"[20,21)","female",2,0.997652887192398,123130
"[20,21)","female",2.09,0.998018354584585,123130
"[20,21)","female",2.16,0.99802647608219,123130
"[20,21)","female",2.2,0.998270121010314,123130
"[20,21)","female",2.29,0.998521887436043,123130
"[20,21)","female",2.4,0.998659952895314,123130
"[20,21)","female",2.5,0.998846747340209,123130
"[20,21)","female",2.59,0.999017298789897,123130
"[20,21)","female",2.7,0.999155364249168,123130
"[20,21)","female",2.79,0.999269065215626,123130
"[20,21)","female",2.9,0.999358401689272,123130
"[20,21)","female",3,0.999431495167709,123130
"[20,21)","female",3.09,0.999512710143751,123130
"[20,21)","female",3.2,0.999577682124584,123130
"[20,21)","female",3.29,0.999626411110209,123130
"[20,21)","female",3.4,0.999658897100625,123130
"[20,21)","female",3.5,0.999683261593438,123130
"[20,21)","female",3.59,0.999723869081459,123130
"[20,21)","female",3.7,0.999748233574271,123130
"[20,21)","female",3.79,0.999780719564688,123130
"[20,21)","female",3.9,0.999788841062292,123130
"[20,21)","female",4,0.999813205555104,123130
"[20,21)","female",4.18,0.999829448550313,123130
"[20,21)","female",4.3,0.999861934540729,123130
"[20,21)","female",4.4,0.999870056038333,123130
"[20,21)","female",4.67,0.999878177535938,123130
"[20,21)","female",4.9,0.999894420531146,123130
"[20,21)","female",5.4,0.999910663526354,123130
"[20,21)","female",5.9,0.999918785023958,123130
"[20,21)","female",6.08,0.999926906521562,123130
"[20,21)","female",6.3,0.999935028019167,123130
"[20,21)","female",7.6,0.999943149516771,123130
"[20,21)","female",8.1,0.999951271014375,123130
"[20,21)","female",9.3,0.999959392511979,123130
"[20,21)","female",10.1,0.999967514009583,123130
"[20,21)","female",10.6,0.999983757004792,123130
"[20,21)","female",13.6,0.999991878502396,123130
"[20,21)","female",18.7,1,123130
"[20,21)","male",0,0.0126167967964307,54689
"[20,21)","male",0.1,0.0614200296220447,54689
"[20,21)","male",0.2,0.166358865585401,54689
"[20,21)","male",0.25,0.16637715079815,54689
"[20,21)","male",0.3,0.319753515332151,54689
"[20,21)","male",0.4,0.482510194006107,54689
"[20,21)","male",0.41,0.482528479218856,54689
"[20,21)","male",0.43,0.482583334857101,54689
"[20,21)","male",0.46,0.48260162006985,54689
"[20,21)","male",0.49,0.482619905282598,54689
"[20,21)","male",0.5,0.629431878439906,54689
"[20,21)","male",0.54,0.629450163652654,54689
"[20,21)","male",0.55,0.629468448865403,54689
"[20,21)","male",0.56,0.629505019290899,54689
"[20,21)","male",0.58,0.629523304503648,54689
"[20,21)","male",0.6,0.743915595457953,54689
"[20,21)","male",0.63,0.743933880670702,54689
"[20,21)","male",0.64,0.74395216588345,54689
"[20,21)","male",0.66,0.743970451096199,54689
"[20,21)","male",0.67,0.744007021521695,54689
"[20,21)","male",0.68,0.744043591947192,54689
"[20,21)","male",0.69,0.824041397721663,54689
"[20,21)","male",0.72,0.824059682934411,54689
"[20,21)","male",0.73,0.824077968147159,54689
"[20,21)","male",0.75,0.824132823785405,54689
"[20,21)","male",0.76,0.824151108998153,54689
"[20,21)","male",0.77,0.824169394210902,54689
"[20,21)","male",0.79,0.824224249849147,54689
"[20,21)","male",0.8,0.877708497138364,54689
"[20,21)","male",0.81,0.877726782351113,54689
"[20,21)","male",0.83,0.877745067563861,54689
"[20,21)","male",0.87,0.87776335277661,54689
"[20,21)","male",0.89,0.915339464974675,54689
