"age","gender","value","quant","n"
"[20,21)","female",-7.3,0,15148
"[20,21)","female",-0.19,0.0000660153155532083,15148
"[20,21)","female",0.02,0.000198045946659625,15148
"[20,21)","female",0.03,0.000330076577766042,15148
"[20,21)","female",0.05,0.000594137839978875,15148
"[20,21)","female",0.07,0.003168735146554,15148
"[20,21)","female",0.09,0.00521520992870346,15148
"[20,21)","female",0.1,0.013929231581727,15148
"[20,21)","female",0.11,0.0172299973593874,15148
"[20,21)","female",0.12,0.0200686559281753,15148
"[20,21)","female",0.14,0.0244256667546871,15148
"[20,21)","female",0.15,0.0343939794032216,15148
"[20,21)","female",0.17,0.0410615262740956,15148
"[20,21)","female",0.18,0.0563770794824399,15148
"[20,21)","female",0.2,0.100475310271983,15148
"[20,21)","female",0.21,0.11255611301822,15148
"[20,21)","female",0.23,0.13889622392395,15148
"[20,21)","female",0.25,0.167612886189596,15148
"[20,21)","female",0.27,0.185040929495643,15148
"[20,21)","female",0.28,0.218906786374439,15148
"[20,21)","female",0.3,0.328624240823871,15148
"[20,21)","female",0.31,0.363414312120412,15148
"[20,21)","female",0.33,0.379257987853182,15148
"[20,21)","female",0.34,0.414906258251914,15148
"[20,21)","female",0.36,0.430353842091365,15148
"[20,21)","female",0.37,0.462635331396884,15148
"[20,21)","female",0.38,0.478412991814101,15148
"[20,21)","female",0.4,0.586083971481384,15148
"[20,21)","female",0.41,0.599881172432004,15148
"[20,21)","female",0.43,0.625363084235543,15148
"[20,21)","female",0.44,0.637839978875099,15148
"[20,21)","female",0.46,0.658502772643253,15148
"[20,21)","female",0.47,0.668339054660681,15148
"[20,21)","female",0.49,0.677647214153684,15148
"[20,21)","female",0.5,0.755281225244257,15148
"[20,21)","female",0.51,0.762806971217322,15148
"[20,21)","female",0.52,0.769408502772643,15148
"[20,21)","female",0.54,0.776604172167943,15148
"[20,21)","female",0.55,0.782347504621072,15148
"[20,21)","female",0.56,0.795220491153948,15148
"[20,21)","female",0.57,0.800633747029311,15148
"[20,21)","female",0.58,0.806839186691312,15148
"[20,21)","female",0.6,0.84691048323211,15148
"[20,21)","female",0.61,0.851597570636388,15148
"[20,21)","female",0.62,0.860179561658305,15148
"[20,21)","female",0.63,0.864140480591497,15148
"[20,21)","female",0.64,0.867969368893583,15148
"[20,21)","female",0.66,0.871336149986797,15148
"[20,21)","female",0.67,0.874570900448904,15148
"[20,21)","female",0.68,0.880182202270927,15148
"[20,21)","female",0.69,0.901175072616847,15148
"[20,21)","female",0.7,0.903617639292316,15148
"[20,21)","female",0.72,0.905730129390018,15148
"[20,21)","female",0.73,0.907578558225508,15148
"[20,21)","female",0.74,0.910153155532083,15148
"[20,21)","female",0.75,0.914180089780829,15148
"[20,21)","female",0.76,0.916094533931872,15148
"[20,21)","female",0.77,0.918405069976235,15148
"[20,21)","female",0.79,0.920253498811724,15148
"[20,21)","female",0.8,0.933654607869026,15148
"[20,21)","female",0.81,0.93662529706892,15148
"[20,21)","female",0.82,0.938077634011091,15148
"[20,21)","female",0.83,0.939463955637708,15148
"[20,21)","female",0.85,0.940520200686559,15148
"[20,21)","female",0.86,0.941378399788751,15148
"[20,21)","female",0.87,0.943688935833113,15148
"[20,21)","female",0.88,0.945207288090837,15148
"[20,21)","female",0.89,0.952138896223924,15148
"[20,21)","female",0.91,0.953129125957222,15148
"[20,21)","female",0.92,0.954515447583839,15148
"[20,21)","female",0.93,0.956297861103776,15148
"[20,21)","female",0.94,0.957420121468181,15148
"[20,21)","female",0.95,0.958278320570372,15148
"[20,21)","female",0.97,0.959268550303671,15148
"[20,21)","female",0.98,0.959928703459203,15148
"[20,21)","female",0.99,0.960456825983628,15148
"[20,21)","female",1,0.966200158436757,15148
"[20,21)","female",1.01,0.966596250330077,15148
"[20,21)","female",1.02,0.967388434116715,15148
"[20,21)","female",1.03,0.967850541325588,15148
"[20,21)","female",1.04,0.968576709796673,15148
"[20,21)","female",1.05,0.968972801689992,15148
"[20,21)","female",1.07,0.969434908898864,15148
"[20,21)","female",1.08,0.969897016107737,15148
"[20,21)","female",1.09,0.970293108001056,15148
"[20,21)","female",1.1,0.974452072880908,15148
"[20,21)","female",1.11,0.97511222603644,15148
"[20,21)","female",1.12,0.975970425138632,15148
"[20,21)","female",1.13,0.976234486400845,15148
"[20,21)","female",1.14,0.976366517031951,15148
"[20,21)","female",1.15,0.976762608925271,15148
"[20,21)","female",1.16,0.977224716134143,15148
"[20,21)","female",1.17,0.977686823343016,15148
"[20,21)","female",1.19,0.977818853974122,15148
"[20,21)","female",1.2,0.980591497227357,15148
"[20,21)","female",1.21,0.980921573805123,15148
"[20,21)","female",1.22,0.981185635067336,15148
"[20,21)","female",1.23,0.981515711645102,15148
"[20,21)","female",1.24,0.981713757591761,15148
"[20,21)","female",1.25,0.981977818853974,15148
"[20,21)","female",1.26,0.982175864800634,15148
"[20,21)","female",1.27,0.98230789543174,15148
"[20,21)","female",1.28,0.982439926062847,15148
"[20,21)","female",1.29,0.984750462107209,15148
"[20,21)","female",1.3,0.985014523369422,15148
"[20,21)","female",1.32,0.985212569316081,15148
"[20,21)","female",1.33,0.985476630578294,15148
"[20,21)","female",1.34,0.985608661209401,15148
"[20,21)","female",1.35,0.98600475310272,15148
"[20,21)","female",1.36,0.986202799049379,15148
"[20,21)","female",1.37,0.986664906258252,15148
"[20,21)","female",1.38,0.986730921573805,15148
"[20,21)","female",1.39,0.988513335093742,15148
"[20,21)","female",1.4,0.988711381040401,15148
"[20,21)","female",1.41,0.988975442302614,15148
"[20,21)","female",1.42,0.989173488249274,15148
"[20,21)","female",1.44,0.98930551888038,15148
"[20,21)","female",1.45,0.98950356482704,15148
"[20,21)","female",1.46,0.989569580142593,15148
"[20,21)","female",1.49,0.989635595458146,15148
"[20,21)","female",1.5,0.990823871138104,15148
"[20,21)","female",1.51,0.990889886453657,15148
"[20,21)","female",1.52,0.991021917084764,15148
"[20,21)","female",1.53,0.991285978346976,15148
"[20,21)","female",1.54,0.991550039609189,15148
"[20,21)","female",1.55,0.991616054924743,15148
"[20,21)","female",1.58,0.991682070240296,15148
"[20,21)","female",1.59,0.992012146818062,15148
"[20,21)","female",1.6,0.993596514391339,15148
"[20,21)","female",1.61,0.993794560337998,15148
"[20,21)","female",1.62,0.993860575653552,15148
"[20,21)","female",1.63,0.993926590969105,15148
"[20,21)","female",1.64,0.993992606284658,15148
"[20,21)","female",1.65,0.994058621600211,15148
"[20,21)","female",1.66,0.994124636915764,15148
"[20,21)","female",1.67,0.994190652231318,15148
"[20,21)","female",1.69,0.994256667546871,15148
"[20,21)","female",1.7,0.99465275944019,15148
"[20,21)","female",1.71,0.994718774755743,15148
"[20,21)","female",1.72,0.994916820702403,15148
"[20,21)","female",1.73,0.994982836017956,15148
"[20,21)","female",1.74,0.995048851333509,15148
"[20,21)","female",1.76,0.995114866649063,15148
"[20,21)","female",1.77,0.995180881964616,15148
"[20,21)","female",1.79,0.995576973857935,15148
"[20,21)","female",1.8,0.995642989173488,15148
"[20,21)","female",1.82,0.995709004489041,15148
"[20,21)","female",1.83,0.995775019804595,15148
"[20,21)","female",1.84,0.995907050435701,15148
"[20,21)","female",1.86,0.995973065751254,15148
"[20,21)","female",1.87,0.996039081066808,15148
"[20,21)","female",1.88,0.996105096382361,15148
"[20,21)","female",1.89,0.99630314232902,15148
"[20,21)","female",1.91,0.996435172960127,15148
"[20,21)","female",1.97,0.996567203591233,15148
"[20,21)","female",1.99,0.996633218906786,15148
"[20,21)","female",2,0.997095326115659,15148
"[20,21)","female",2.01,0.997227356746765,15148
"[20,21)","female",2.02,0.997293372062319,15148
"[20,21)","female",2.05,0.997425402693425,15148
"[20,21)","female",2.08,0.997491418008978,15148
"[20,21)","female",2.09,0.997623448640084,15148
"[20,21)","female",2.1,0.997689463955638,15148
"[20,21)","female",2.13,0.997755479271191,15148
"[20,21)","female",2.15,0.997821494586744,15148
"[20,21)","female",2.17,0.997887509902297,15148
"[20,21)","female",2.19,0.997953525217851,15148
"[20,21)","female",2.2,0.998085555848957,15148
"[20,21)","female",2.29,0.998217586480063,15148
"[20,21)","female",2.4,0.99834961711117,15148
"[20,21)","female",2.44,0.998415632426723,15148
"[20,21)","female",2.46,0.998481647742276,15148
"[20,21)","female",2.5,0.998547663057829,15148
"[20,21)","female",2.6,0.998613678373383,15148
"[20,21)","female",2.63,0.998679693688936,15148
"[20,21)","female",2.88,0.998745709004489,15148
"[20,21)","female",2.9,0.998811724320042,15148
"[20,21)","female",2.97,0.998877739635595,15148
"[20,21)","female",3.19,0.998943754951149,15148
"[20,21)","female",3.25,0.999009770266702,15148
"[20,21)","female",3.4,0.999075785582255,15148
"[20,21)","female",3.43,0.999141800897808,15148
"[20,21)","female",4.3,0.999207816213362,15148
"[20,21)","female",5.5,0.999273831528915,15148
"[20,21)","female",5.69,0.999339846844468,15148
"[20,21)","female",5.8,0.999405862160021,15148
"[20,21)","female",6.5,0.999471877475574,15148
"[20,21)","female",7.03,0.999537892791128,15148
"[20,21)","female",7.4,0.999603908106681,15148
"[20,21)","female",7.73,0.999669923422234,15148
"[20,21)","female",9.3,0.999735938737787,15148
"[20,21)","female",11.11,0.99980195405334,15148
"[20,21)","female",11.47,0.999867969368893,15148
"[20,21)","female",12.02,0.999933984684447,15148
"[20,21)","female",16.12,1,15148
"[20,21)","male",-7.3,0,7518
"[20,21)","male",-0.11,0.000133014099494546,7518
"[20,21)","male",0.01,0.000266028198989093,7518
"[20,21)","male",0.02,0.000399042298483639,7518
"[20,21)","male",0.05,0.000798084596967279,7518
"[20,21)","male",0.07,0.00133014099494546,7518
"[20,21)","male",0.09,0.00186219739292365,7518
"[20,21)","male",0.1,0.00319233838786911,7518
"[20,21)","male",0.11,0.0037243947858473,7518
"[20,21)","male",0.12,0.00505453578079276,7518
"[20,21)","male",0.14,0.00638467677573823,7518
"[20,21)","male",0.15,0.0101090715615855,7518
"[20,21)","male",0.17,0.0115722266560255,7518
"[20,21)","male",0.18,0.0191540303272147,7518
"[20,21)","male",0.2,0.0351157222665603,7518
"[20,21)","male",0.21,0.0407023144453312,7518
"[20,21)","male",0.23,0.0514764565043895,7518
"[20,21)","male",0.25,0.0691673317371641,7518
"[20,21)","male",0.27,0.0760840649108806,7518
"[20,21)","male",0.28,0.0929768555466879,7518
"[20,21)","male",0.3,0.136206437882416,7518
"[20,21)","male",0.31,0.159217877094972,7518
"[20,21)","male",0.33,0.171056131949987,7518
"[20,21)","male",0.34,0.19220537376962,7518
"[20,21)","male",0.36,0.203112529928172,7518
"[20,21)","male",0.37,0.22585794094174,7518
"[20,21)","male",0.38,0.237031125299282,7518
"[20,21)","male",0.4,0.311386006916733,7518
"[20,21)","male",0.41,0.322559191274275,7518
"[20,21)","male",0.43,0.346235700984304,7518
