"age","gender","value","quant","n"
"[20,21)","female",-95,0,113304
"[20,21)","female",-1,0.0000441290687001342,113304
"[20,21)","female",1,0.0000706065099202147,113304
"[20,21)","female",3,0.0000882581374002683,113304
"[20,21)","female",4,0.000105909764880322,113304
"[20,21)","female",5,0.000114735578620349,113304
"[20,21)","female",7,0.000132387206100402,113304
"[20,21)","female",9,0.000150038833580456,113304
"[20,21)","female",10,0.000300077667160912,113304
"[20,21)","female",11,0.00052954882440161,113304
"[20,21)","female",12,0.000582503706841771,113304
"[20,21)","female",13,0.000600155334321824,113304
"[20,21)","female",15,0.000626632775541905,113304
"[20,21)","female",16,0.000635458589281932,113304
"[20,21)","female",17,0.000653110216761986,113304
"[20,21)","female",18,0.000688413471722093,113304
"[20,21)","female",25,0.00069723928546212,113304
"[20,21)","female",46,0.000706065099202147,113304
"[20,21)","female",48,0.000714890912942173,113304
"[20,21)","female",50,0.0007237167266822,113304
"[20,21)","female",60,0.000811974864082469,113304
"[20,21)","female",61,0.000829626491562522,113304
"[20,21)","female",62,0.000838452305302549,113304
"[20,21)","female",64,0.000856103932782603,113304
"[20,21)","female",65,0.000935536256442844,113304
"[20,21)","female",66,0.000979665325142978,113304
"[20,21)","female",67,0.00105027183506319,113304
"[20,21)","female",69,0.00105909764880322,113304
"[20,21)","female",70,0.00122678810986373,113304
"[20,21)","female",71,0.00125326555108381,113304
"[20,21)","female",72,0.00127091717856386,113304
"[20,21)","female",73,0.00133269787474405,113304
"[20,21)","female",74,0.00136800112970416,113304
"[20,21)","female",75,0.00159747228694486,113304
"[20,21)","female",76,0.00165925298312504,113304
"[20,21)","female",77,0.0018092918167055,113304
"[20,21)","female",78,0.00188872414036574,113304
"[20,21)","female",79,0.00202993716020617,113304
"[20,21)","female",80,0.00477476523335452,113304
"[20,21)","female",81,0.00496893313563511,113304
"[20,21)","female",82,0.00538374638141637,113304
"[20,21)","female",83,0.00591329520581798,113304
"[20,21)","female",84,0.00653992798135988,113304
"[20,21)","female",85,0.00897585257360729,113304
"[20,21)","female",86,0.00994669208501024,113304
"[20,21)","female",87,0.011173480194874,113304
"[20,21)","female",88,0.0126915201581586,113304
"[20,21)","female",89,0.0141124761703029,113304
"[20,21)","female",90,0.0403251429781826,113304
"[20,21)","female",91,0.043078796865071,113304
"[20,21)","female",92,0.0466091223610817,113304
"[20,21)","female",93,0.0510485066723152,113304
"[20,21)","female",94,0.0558850526018499,113304
"[20,21)","female",95,0.0682500176516275,113304
"[20,21)","female",96,0.075981430487891,113304
"[20,21)","female",97,0.0833951140295135,113304
"[20,21)","female",98,0.0923356633481607,113304
"[20,21)","female",99,0.100799618724846,113304
"[20,21)","female",100,0.188060439172492,113304
"[20,21)","female",101,0.198766151239144,113304
"[20,21)","female",102,0.213328743910189,113304
"[20,21)","female",103,0.226655722657629,113304
"[20,21)","female",104,0.241633128574455,113304
"[20,21)","female",105,0.277024641671962,113304
"[20,21)","female",106,0.293979029866554,113304
"[20,21)","female",107,0.309962578549742,113304
"[20,21)","female",108,0.327773070677116,113304
"[20,21)","female",109,0.343597754712985,113304
"[20,21)","female",110,0.52616853773918,113304
"[20,21)","female",111,0.544499752877215,113304
"[20,21)","female",112,0.574278048436066,113304
"[20,21)","female",113,0.590623455482595,113304
"[20,21)","female",114,0.609925510132034,113304
"[20,21)","female",115,0.664292522770599,113304
"[20,21)","female",116,0.682853209065876,113304
"[20,21)","female",117,0.701449198616112,113304
"[20,21)","female",118,0.724731695262303,113304
"[20,21)","female",119,0.738270493539504,113304
"[20,21)","female",120,0.870454705923886,113304
"[20,21)","female",121,0.882334251217962,113304
"[20,21)","female",122,0.896905669702747,113304
"[20,21)","female",123,0.9080085433877,113304
"[20,21)","female",124,0.919005507307774,113304
"[20,21)","female",125,0.938131045682412,113304
"[20,21)","female",126,0.944988702958413,113304
"[20,21)","female",127,0.951316811410012,113304
"[20,21)","female",128,0.957697874744051,113304
"[20,21)","female",129,0.962322601143825,113304
"[20,21)","female",130,0.97699992939349,113304
"[20,21)","female",131,0.979109298877356,113304
"[20,21)","female",132,0.981986514156605,113304
"[20,21)","female",133,0.984113535267952,113304
"[20,21)","female",134,0.986019911035797,113304
"[20,21)","female",135,0.988941255383746,113304
"[20,21)","female",136,0.990344559768411,113304
"[20,21)","female",137,0.991588999505754,113304
"[20,21)","female",138,0.992842265056838,113304
"[20,21)","female",139,0.993689543175881,113304
"[20,21)","female",140,0.996081338699428,113304
"[20,21)","female",141,0.996319635670409,113304
"[20,21)","female",142,0.99660206171009,113304
"[20,21)","female",143,0.997025700769611,113304
"[20,21)","female",144,0.997334604250512,113304
"[20,21)","female",145,0.997705288427593,113304
"[20,21)","female",146,0.997908282143614,113304
"[20,21)","female",147,0.998137753300854,113304
"[20,21)","female",148,0.998314269575655,113304
"[20,21)","female",149,0.998446656781755,113304
"[20,21)","female",150,0.998843818400056,113304
"[20,21)","female",151,0.998940902351197,113304
"[20,21)","female",152,0.999020334674857,113304
"[20,21)","female",153,0.999117418625997,113304
"[20,21)","female",154,0.999188025135918,113304
"[20,21)","female",155,0.999329238155758,113304
"[20,21)","female",156,0.999355715596978,113304
"[20,21)","female",157,0.999382193038198,113304
"[20,21)","female",158,0.999408670479418,113304
"[20,21)","female",159,0.999426322106898,113304
"[20,21)","female",160,0.999620490009179,113304
"[20,21)","female",161,0.999655793264139,113304
"[20,21)","female",163,0.999673444891619,113304
"[20,21)","female",165,0.999752877215279,113304
"[20,21)","female",166,0.999779354656499,113304
"[20,21)","female",168,0.999797006283979,113304
"[20,21)","female",170,0.9998676127939,113304
"[20,21)","female",172,0.99987643860764,113304
"[20,21)","female",175,0.99988526442138,113304
"[20,21)","female",176,0.99990291604886,113304
"[20,21)","female",177,0.99992939349008,113304
"[20,21)","female",182,0.99993821930382,113304
"[20,21)","female",187,0.99994704511756,113304
"[20,21)","female",189,0.9999558709313,113304
"[20,21)","female",190,0.99996469674504,113304
"[20,21)","female",194,0.99997352255878,113304
"[20,21)","female",195,0.99998234837252,113304
"[20,21)","female",196,0.99999117418626,113304
"[20,21)","female",234,1,113304
"[20,21)","male",-95,0,88560
"[20,21)","male",-1,0.0000338753387533875,88560
"[20,21)","male",0,0.0000564588979223126,88560
"[20,21)","male",6,0.0000677506775067751,88560
"[20,21)","male",10,0.000169376693766938,88560
"[20,21)","male",11,0.00031616982836495,88560
"[20,21)","male",12,0.000417795844625113,88560
"[20,21)","male",13,0.000440379403794038,88560
"[20,21)","male",15,0.000485546522131888,88560
"[20,21)","male",16,0.000496838301716351,88560
"[20,21)","male",20,0.000508130081300813,88560
"[20,21)","male",25,0.000519421860885276,88560
"[20,21)","male",33,0.000530713640469738,88560
"[20,21)","male",44,0.000542005420054201,88560
"[20,21)","male",56,0.000553297199638663,88560
"[20,21)","male",60,0.000575880758807588,88560
"[20,21)","male",61,0.000587172538392051,88560
"[20,21)","male",62,0.000598464317976513,88560
"[20,21)","male",63,0.000609756097560976,88560
"[20,21)","male",64,0.000621047877145438,88560
"[20,21)","male",65,0.000632339656729901,88560
"[20,21)","male",66,0.000643631436314363,88560
"[20,21)","male",67,0.000654923215898826,88560
"[20,21)","male",68,0.000677506775067751,88560
"[20,21)","male",69,0.000700090334236676,88560
"[20,21)","male",70,0.000801716350496838,88560
"[20,21)","male",72,0.000846883468834689,88560
"[20,21)","male",73,0.000869467028003613,88560
"[20,21)","male",74,0.000903342366757001,88560
"[20,21)","male",75,0.000982384823848239,88560
"[20,21)","male",76,0.00100496838301716,88560
"[20,21)","male",77,0.00102755194218609,88560
"[20,21)","male",78,0.00103884372177055,88560
"[20,21)","male",79,0.00105013550135501,88560
"[20,21)","male",80,0.0016260162601626,88560
"[20,21)","male",81,0.00164859981933153,88560
"[20,21)","male",82,0.00176151761517615,88560
"[20,21)","male",83,0.00184056007226739,88560
"[20,21)","male",84,0.00200993676603433,88560
"[20,21)","male",85,0.00249548328816622,88560
"[20,21)","male",86,0.00264227642276423,88560
"[20,21)","male",87,0.00276648599819332,88560
"[20,21)","male",88,0.00309394760614273,88560
"[20,21)","male",89,0.00336495031616983,88560
"[20,21)","male",90,0.0092479674796748,88560
"[20,21)","male",91,0.00989159891598916,88560
"[20,21)","male",92,0.0106368563685637,88560
"[20,21)","male",93,0.0113482384823848,88560
"[20,21)","male",94,0.0123306233062331,88560
"[20,21)","male",95,0.0154245709123758,88560
"[20,21)","male",96,0.0169828364950316,88560
"[20,21)","male",97,0.0186088527551942,88560
"[20,21)","male",98,0.020946251129178,88560
"[20,21)","male",99,0.0235998193315267,88560
"[20,21)","male",100,0.0684620596205962,88560
"[20,21)","male",101,0.072289972899729,88560
"[20,21)","male",102,0.0790311653116531,88560
"[20,21)","male",103,0.0844850948509485,88560
"[20,21)","male",104,0.0900745257452574,88560
