"age","gender","value","quant","n"
"[20,21)","female",-9999,0,4803
"[20,21)","female",0,0.0183218821569852,4803
"[20,21)","female",0.003,0.0185300853633146,4803
"[20,21)","female",0.004,0.018738288569644,4803
"[20,21)","female",0.007,0.0189464917759734,4803
"[20,21)","female",0.008,0.0197793046012909,4803
"[20,21)","female",0.009,0.0243597751405372,4803
"[20,21)","female",0.01,0.0245679783468665,4803
"[20,21)","female",0.012,0.0247761815531959,4803
"[20,21)","female",0.014,0.0258171975848428,4803
"[20,21)","female",0.017,0.0264418072038309,4803
"[20,21)","female",0.018,0.0268582136164897,4803
"[20,21)","female",0.019,0.0395586092025817,4803
"[20,21)","female",0.02,0.0399750156152405,4803
"[20,21)","female",0.021,0.0405996252342286,4803
"[20,21)","female",0.024,0.040807828440558,4803
"[20,21)","female",0.025,0.0414324380595461,4803
"[20,21)","female",0.026,0.0420570476785343,4803
"[20,21)","female",0.027,0.042473454091193,4803
"[20,21)","female",0.028,0.0430980637101811,4803
"[20,21)","female",0.029,0.0660004164064127,4803
"[20,21)","female",0.03,0.0666250260254008,4803
"[20,21)","female",0.032,0.0672496356443889,4803
"[20,21)","female",0.034,0.0674578388507183,4803
"[20,21)","female",0.035,0.0678742452633771,4803
"[20,21)","female",0.037,0.0691234645013533,4803
"[20,21)","female",0.039,0.0936914428482199,4803
"[20,21)","female",0.041,0.0951488652925255,4803
"[20,21)","female",0.043,0.0953570684988549,4803
"[20,21)","female",0.046,0.0955652717051843,4803
"[20,21)","female",0.048,0.0963980845305018,4803
"[20,21)","female",0.05,0.118467624401416,4803
"[20,21)","female",0.052,0.119716843639392,4803
"[20,21)","female",0.054,0.12034145325838,4803
"[20,21)","female",0.057,0.121174266083698,4803
"[20,21)","female",0.059,0.142410993129294,4803
"[20,21)","female",0.061,0.142827399541953,4803
"[20,21)","female",0.063,0.143035602748282,4803
"[20,21)","female",0.064,0.144284821986259,4803
"[20,21)","female",0.068,0.144701228398917,4803
"[20,21)","female",0.07,0.161773891317926,4803
"[20,21)","female",0.071,0.161982094524256,4803
"[20,21)","female",0.072,0.162190297730585,4803
"[20,21)","female",0.074,0.162606704143244,4803
"[20,21)","female",0.075,0.163647720174891,4803
"[20,21)","female",0.076,0.164272329793879,4803
"[20,21)","female",0.078,0.164896939412867,4803
"[20,21)","female",0.079,0.191546949823027,4803
"[20,21)","female",0.082,0.191963356235686,4803
"[20,21)","female",0.083,0.192171559442015,4803
"[20,21)","female",0.085,0.192379762648345,4803
"[20,21)","female",0.086,0.192587965854674,4803
"[20,21)","female",0.087,0.192796169061004,4803
"[20,21)","female",0.09,0.214241099312929,4803
"[20,21)","female",0.092,0.214449302519259,4803
"[20,21)","female",0.094,0.214865708931918,4803
"[20,21)","female",0.096,0.215282115344576,4803
"[20,21)","female",0.097,0.215698521757235,4803
"[20,21)","female",0.1,0.288986050385176,4803
"[20,21)","female",0.101,0.290235269623152,4803
"[20,21)","female",0.104,0.29085987924214,4803
"[20,21)","female",0.105,0.29106808244847,4803
"[20,21)","female",0.107,0.291276285654799,4803
"[20,21)","female",0.108,0.291692692067458,4803
"[20,21)","female",0.109,0.312304809494066,4803
"[20,21)","female",0.112,0.312513012700396,4803
"[20,21)","female",0.115,0.313137622319384,4803
"[20,21)","female",0.119,0.333541536539663,4803
"[20,21)","female",0.122,0.333957942952321,4803
"[20,21)","female",0.125,0.334166146158651,4803
"[20,21)","female",0.126,0.33458255257131,4803
"[20,21)","female",0.127,0.334790755777639,4803
"[20,21)","female",0.128,0.334998958983968,4803
"[20,21)","female",0.129,0.356027482823236,4803
"[20,21)","female",0.13,0.356443889235894,4803
"[20,21)","female",0.131,0.356652092442224,4803
"[20,21)","female",0.133,0.357068498854882,4803
"[20,21)","female",0.134,0.357276702061212,4803
"[20,21)","female",0.136,0.357693108473871,4803
"[20,21)","female",0.138,0.358109514886529,4803
"[20,21)","female",0.14,0.37455756818655,4803
"[20,21)","female",0.141,0.374765771392879,4803
"[20,21)","female",0.142,0.375182177805538,4803
"[20,21)","female",0.143,0.375598584218197,4803
"[20,21)","female",0.146,0.376014990630856,4803
"[20,21)","female",0.15,0.392671247137206,4803
"[20,21)","female",0.152,0.393087653549865,4803
"[20,21)","female",0.153,0.393295856756194,4803
"[20,21)","female",0.156,0.393504059962523,4803
"[20,21)","female",0.158,0.393920466375182,4803
"[20,21)","female",0.159,0.40807828440558,4803
"[20,21)","female",0.16,0.408494690818239,4803
"[20,21)","female",0.162,0.408702894024568,4803
"[20,21)","female",0.165,0.409119300437227,4803
"[20,21)","female",0.167,0.409327503643556,4803
"[20,21)","female",0.168,0.409535706849885,4803
"[20,21)","female",0.17,0.425359150530918,4803
"[20,21)","female",0.172,0.425567353737248,4803
"[20,21)","female",0.178,0.425983760149906,4803
"[20,21)","female",0.179,0.426191963356236,4803
"[20,21)","female",0.18,0.437643139704351,4803
"[20,21)","female",0.185,0.437851342910681,4803
"[20,21)","female",0.187,0.43826774932334,4803
"[20,21)","female",0.188,0.438684155735998,4803
"[20,21)","female",0.189,0.453466583385384,4803
"[20,21)","female",0.19,0.453674786591714,4803
"[20,21)","female",0.192,0.454299396210702,4803
"[20,21)","female",0.2,0.483864251509473,4803
"[20,21)","female",0.203,0.484072454715803,4803
"[20,21)","female",0.207,0.484280657922132,4803
"[20,21)","female",0.208,0.484488861128461,4803
"[20,21)","female",0.209,0.494482615032272,4803
"[20,21)","female",0.21,0.494690818238601,4803
"[20,21)","female",0.212,0.49489902144493,4803
"[20,21)","female",0.214,0.49510722465126,4803
"[20,21)","female",0.215,0.495523631063918,4803
"[20,21)","female",0.219,0.507183010618364,4803
"[20,21)","female",0.223,0.507391213824693,4803
"[20,21)","female",0.224,0.507599417031022,4803
"[20,21)","female",0.226,0.507807620237352,4803
"[20,21)","female",0.23,0.518217780553821,4803
"[20,21)","female",0.231,0.518842390172809,4803
"[20,21)","female",0.236,0.519050593379138,4803
"[20,21)","female",0.239,0.530293566520924,4803
"[20,21)","female",0.245,0.530501769727254,4803
"[20,21)","female",0.246,0.530709972933583,4803
"[20,21)","female",0.247,0.530918176139913,4803
