"age","gender","value","quant","n"
"[20,21)","female",-5.1,0,15751
"[20,21)","female",1.3,0.000126976065011745,15751
"[20,21)","female",1.5,0.000253952130023491,15751
"[20,21)","female",1.7,0.000507904260046981,15751
"[20,21)","female",1.79,0.00126976065011745,15751
"[20,21)","female",1.8,0.0032378896577995,15751
"[20,21)","female",2,0.0136499269887626,15751
"[20,21)","female",2.2,0.046346263729287,15751
"[20,21)","female",2.4,0.0828518824201638,15751
"[20,21)","female",2.5,0.199733350263475,15751
"[20,21)","female",2.7,0.368675004761602,15751
"[20,21)","female",2.9,0.470954225128563,15751
"[20,21)","female",3,0.672592216367215,15751
"[20,21)","female",3.2,0.822296997016063,15751
"[20,21)","female",3.4,0.877849025458701,15751
"[20,21)","female",3.5,0.947368421052632,15751
"[20,21)","female",3.7,0.977271284362897,15751
"[20,21)","female",3.9,0.985588216621167,15751
"[20,21)","female",4,0.994032124944448,15751
"[20,21)","female",4.1,0.995682813789601,15751
"[20,21)","female",4.3,0.997270014602247,15751
"[20,21)","female",4.4,0.99815884705733,15751
"[20,21)","female",4.5,0.998793727382388,15751
"[20,21)","female",4.66,0.9989207034474,15751
"[20,21)","female",4.8,0.999111167544918,15751
"[20,21)","female",4.9,0.999428607707447,15751
"[20,21)","female",5,0.999809535902482,15751
"[20,21)","female",5.1,0.999873023934988,15751
"[20,21)","female",5.4,0.999936511967494,15751
"[20,21)","female",5.5,1,15751
"[20,21)","male",-5.1,0,7522
"[20,21)","male",1.3,0.000398830098378091,7522
"[20,21)","male",1.5,0.00172826375963839,7522
"[20,21)","male",1.6,0.00319064078702473,7522
"[20,21)","male",1.7,0.00478596118053709,7522
"[20,21)","male",1.79,0.0074448285030577,7522
"[20,21)","male",1.8,0.0154214304706195,7522
"[20,21)","male",2,0.043738367455464,7522
"[20,21)","male",2.2,0.111938314278118,7522
"[20,21)","male",2.4,0.171363998936453,7522
"[20,21)","male",2.5,0.34193033767615,7522
"[20,21)","male",2.7,0.540015953203935,7522
"[20,21)","male",2.9,0.642382345120979,7522
"[20,21)","male",3,0.79938846051582,7522
"[20,21)","male",3.2,0.897101834618453,7522
"[20,21)","male",3.4,0.926615261898431,7522
"[20,21)","male",3.5,0.965301781441106,7522
"[20,21)","male",3.7,0.981520872108482,7522
"[20,21)","male",3.9,0.987104493485775,7522
"[20,21)","male",4,0.992023398032438,7522
"[20,21)","male",4.1,0.994150491890455,7522
"[20,21)","male",4.3,0.995346982185589,7522
"[20,21)","male",4.4,0.996942302579101,7522
"[20,21)","male",4.5,0.998271736240362,7522
"[20,21)","male",4.66,0.99867056633874,7522
"[20,21)","male",4.8,0.999069396437118,7522
"[20,21)","male",4.9,0.99933528316937,7522
"[20,21)","male",5,0.999734113267748,7522
"[20,21)","male",5.4,0.999867056633874,7522
"[20,21)","male",8.3,1,7522
"[21,22)","female",-5.1,0,21124
"[21,22)","female",-0.2,0.0000473395190304867,21124
"[21,22)","female",1,0.0000946790380609733,21124
"[21,22)","female",1.3,0.000236697595152433,21124
"[21,22)","female",1.5,0.00028403711418292,21124
"[21,22)","female",1.6,0.00042605567127438,21124
"[21,22)","female",1.7,0.000662753266426813,21124
"[21,22)","female",1.79,0.00132550653285363,21124
"[21,22)","female",1.8,0.00241431547055482,21124
"[21,22)","female",2,0.0126869911001704,21124
"[21,22)","female",2.2,0.044451808369627,21124
"[21,22)","female",2.4,0.0782522249573944,21124
"[21,22)","female",2.5,0.194802120810453,21124
"[21,22)","female",2.7,0.364940352206022,21124
"[21,22)","female",2.9,0.46790380609733,21124
"[21,22)","female",3,0.67212649119485,21124
"[21,22)","female",3.2,0.818736981632267,21124
"[21,22)","female",3.4,0.87649119484946,21124
"[21,22)","female",3.5,0.948305245218709,21124
"[21,22)","female",3.7,0.979833364893013,21124
"[21,22)","female",3.9,0.987597046014013,21124
"[21,22)","female",4,0.995266048096951,21124
"[21,22)","female",4.1,0.996733573186896,21124
"[21,22)","female",4.3,0.997869721643628,21124
"[21,22)","female",4.4,0.998343116833933,21124
"[21,22)","female",4.5,0.99900587010036,21124
"[21,22)","female",4.66,0.999147888657451,21124
"[21,22)","female",4.8,0.999337246733573,21124
"[21,22)","female",4.9,0.999621283847756,21124
"[21,22)","female",5,0.999857981442909,21124
"[21,22)","female",5.1,0.999905320961939,21124
"[21,22)","female",5.5,0.99995266048097,21124
"[21,22)","female",5.9,1,21124
"[21,22)","male",-5.1,0,10269
"[21,22)","male",0.4,0.000097380465478625,10269
"[21,22)","male",1.2,0.000486902327393125,10269
"[21,22)","male",1.3,0.000876424189307625,10269
"[21,22)","male",1.5,0.00097380465478625,10269
"[21,22)","male",1.6,0.00185022884409387,10269
"[21,22)","male",1.7,0.0027266530334015,10269
"[21,22)","male",1.79,0.00603758885967475,10269
"[21,22)","male",1.8,0.0114908949264777,10269
"[21,22)","male",2,0.0415814587593729,10269
"[21,22)","male",2.2,0.114422046937384,10269
"[21,22)","male",2.4,0.177719349498491,10269
"[21,22)","male",2.5,0.351446099912358,10269
"[21,22)","male",2.7,0.538416593631318,10269
"[21,22)","male",2.9,0.63949751679813,10269
"[21,22)","male",3,0.802609796474827,10269
"[21,22)","male",3.2,0.895802901937871,10269
"[21,22)","male",3.4,0.926769889960074,10269
"[21,22)","male",3.5,0.967377544064661,10269
"[21,22)","male",3.7,0.982568896679326,10269
"[21,22)","male",3.9,0.987437919953257,10269
"[21,22)","male",4,0.992793845554582,10269
"[21,22)","male",4.1,0.994644074398676,10269
"[21,22)","male",4.3,0.995910020449898,10269
"[21,22)","male",4.4,0.997273346966599,10269
"[21,22)","male",4.5,0.998149771155906,10269
"[21,22)","male",4.66,0.999026195345214,10269
"[21,22)","male",4.8,0.999123575810692,10269
"[21,22)","male",4.9,0.99931833674165,10269
"[21,22)","male",5,0.999707858603564,10269
"[21,22)","male",5.3,0.999805239069043,10269
"[21,22)","male",5.5,0.999902619534521,10269
"[21,22)","male",8.3,1,10269
"[22,23)","female",-5.1,0,21918
"[22,23)","female",1.3,0.0000456246007847431,21918
"[22,23)","female",1.6,0.000136873802354229,21918
"[22,23)","female",1.7,0.000593119810201661,21918
"[22,23)","female",1.79,0.00127748882197281,21918
"[22,23)","female",1.8,0.00255497764394562,21918
"[22,23)","female",2,0.0130942604252213,21918
"[22,23)","female",2.2,0.0448946071721872,21918
"[22,23)","female",2.4,0.07637558171366,21918
"[22,23)","female",2.5,0.19545578976184,21918
"[22,23)","female",2.7,0.365681175289716,21918
"[22,23)","female",2.9,0.469066520667944,21918
"[22,23)","female",3,0.671822246555343,21918
"[22,23)","female",3.2,0.819463454694771,21918
"[22,23)","female",3.4,0.875079843051373,21918
"[22,23)","female",3.5,0.946984213888129,21918
"[22,23)","female",3.7,0.976868327402135,21918
"[22,23)","female",3.9,0.98585637375673,21918
"[22,23)","female",4,0.994068801897983,21918
"[22,23)","female",4.1,0.995848161328588,21918
"[22,23)","female",4.3,0.997262523952915,21918
"[22,23)","female",4.4,0.998220640569395,21918
"[22,23)","female",4.5,0.999361255589014,21918
"[22,23)","female",4.66,0.999452504790583,21918
"[22,23)","female",4.8,0.999589378592937,21918
"[22,23)","female",4.9,0.999680627794507,21918
"[22,23)","female",5,0.999771876996076,21918
"[22,23)","female",5.1,0.999817501596861,21918
"[22,23)","female",5.3,0.999863126197646,21918
"[22,23)","female",5.5,0.999954375399215,21918
"[22,23)","female",5.6,1,21918
"[22,23)","male",-5.1,0,14404
"[22,23)","male",0,0.0000694251596778673,14404
"[22,23)","male",0.1,0.000138850319355735,14404
"[22,23)","male",1,0.000208275479033602,14404
"[22,23)","male",1.1,0.000347125798389336,14404
"[22,23)","male",1.2,0.000485976117745071,14404
"[22,23)","male",1.3,0.000694251596778673,14404
"[22,23)","male",1.5,0.00118022771452374,14404
"[22,23)","male",1.6,0.00201332963065815,14404
"[22,23)","male",1.7,0.0034018328242155,14404
"[22,23)","male",1.79,0.00631768953068592,14404
"[22,23)","male",1.8,0.0113163010274924,14404
"[22,23)","male",2,0.0385309636212163,14404
"[22,23)","male",2.2,0.111219105803943,14404
"[22,23)","male",2.4,0.175992779783394,14404
"[22,23)","male",2.5,0.355595667870036,14404
"[22,23)","male",2.7,0.54720910858095,14404
"[22,23)","male",2.9,0.651277422938073,14404
"[22,23)","male",3,0.81706470424882,14404
"[22,23)","male",3.2,0.91016384337684,14404
"[22,23)","male",3.4,0.940919189114135,14404
"[22,23)","male",3.5,0.974104415440156,14404
"[22,23)","male",3.7,0.989239100249931,14404
"[22,23)","male",3.9,0.992085531796723,14404
"[22,23)","male",4,0.996528742016107,14404
"[22,23)","male",4.1,0.997570119411275,14404
"[22,23)","male",4.3,0.998333796167731,14404
"[22,23)","male",4.4,0.998750347125798,14404
"[22,23)","male",4.5,0.999305748403221,14404
"[22,23)","male",4.66,0.999514023882255,14404
"[22,23)","male",4.8,0.999583449041933,14404
"[22,23)","male",4.9,0.999652874201611,14404
"[22,23)","male",5,0.999861149680644,14404
"[22,23)","male",5.3,0.999930574840322,14404
"[22,23)","male",83,1,14404
"[23,24)","female",-5.1,0,21429
"[23,24)","female",1.3,0.0000466657333519996,21429
"[23,24)","female",1.5,0.0000933314667039993,21429
"[23,24)","female",1.6,0.000233328666759998,21429
"[23,24)","female",1.7,0.000606654533575995,21429
"[23,24)","female",1.79,0.00139997200055999,21429
"[23,24)","female",1.8,0.00270661253441598,21429
"[23,24)","female",2,0.0137197256054879,21429
"[23,24)","female",2.2,0.0462924074851836,21429
"[23,24)","female",2.4,0.0776517802977274,21429
"[23,24)","female",2.5,0.189696206075878,21429
"[23,24)","female",2.7,0.358859489476877,21429
"[23,24)","female",2.9,0.45928414765038,21429
"[23,24)","female",3,0.668999953334267,21429
"[23,24)","female",3.2,0.817583648327033,21429
"[23,24)","female",3.4,0.875635820616921,21429
"[23,24)","female",3.5,0.94656773531196,21429
"[23,24)","female",3.7,0.979093751458304,21429
"[23,24)","female",3.9,0.986840263194736,21429
"[23,24)","female",4,0.995426758131504,21429
"[23,24)","female",4.1,0.99790004199916,21429
"[23,24)","female",4.3,0.998740025199496,21429
"[23,24)","female",4.4,0.999113351066312,21429
"[23,24)","female",4.5,0.999580008399832,21429
"[23,24)","female",4.66,0.999626674133184,21429
"[23,24)","female",4.8,0.999813337066592,21429
"[23,24)","female",4.9,0.999860002799944,21429
"[23,24)","female",5,0.999953334266648,21429
"[23,24)","female",5.1,1,21429
"[23,24)","male",-5.1,0,15746
"[23,24)","male",1.2,0.00012701638511368,15746
"[23,24)","male",1.3,0.000508065540454719,15746
"[23,24)","male",1.5,0.000825606503238918,15746
"[23,24)","male",1.6,0.00152419662136416,15746
"[23,24)","male",1.7,0.00273085227994411,15746
"[23,24)","male",1.79,0.00616029467801346,15746
"[23,24)","male",1.8,0.0108599009272196,15746
"[23,24)","male",2,0.0417883907024006,15746
"[23,24)","male",2.2,0.112981074558618,15746
"[23,24)","male",2.4,0.170646513400229,15746
"[23,24)","male",2.5,0.350501714721199,15746
"[23,24)","male",2.7,0.547948685380414,15746
"[23,24)","male",2.9,0.651213006477836,15746
"[23,24)","male",3,0.820271815064143,15746
"[23,24)","male",3.2,0.914200431855709,15746
"[23,24)","male",3.4,0.943350692239299,15746
"[23,24)","male",3.5,0.976628985139083,15746
"[23,24)","male",3.7,0.990283246538804,15746
"[23,24)","male",3.9,0.994220754477328,15746
"[23,24)","male",4,0.997269147720056,15746
"[23,24)","male",4.1,0.998031246030738,15746
"[23,24)","male",4.3,0.998729836148863,15746
"[23,24)","male",4.4,0.999047377111647,15746
"[23,24)","male",4.5,0.999491934459545,15746
"[23,24)","male",4.66,0.999618950844659,15746
"[23,24)","male",4.8,0.999682459037216,15746
"[23,24)","male",4.9,0.99980947542233,15746
"[23,24)","male",5.1,0.999872983614886,15746
"[23,24)","male",5.8,0.999936491807443,15746
"[23,24)","male",6.4,1,15746
"[24,25)","female",-5.1,0,20690
"[24,25)","female",1.2,0.000096665055582407,20690
"[24,25)","female",1.5,0.00014499758337361,20690
"[24,25)","female",1.6,0.000193330111164814,20690
"[24,25)","female",1.7,0.000386660222329628,20690
