"age","gender","value","quant","n"
"[20,21)","female",0,0,74922
"[20,21)","female",2.2,0.0000133472144363471,74922
"[20,21)","female",2.29,0.0000266944288726943,74922
"[20,21)","female",2.4,0.0000400416433090414,74922
"[20,21)","female",2.48,0.0000533888577453885,74922
"[20,21)","female",2.5,0.0000667360721817357,74922
"[20,21)","female",2.59,0.000146819358799819,74922
"[20,21)","female",2.7,0.000226902645417901,74922
"[20,21)","female",2.71,0.000240249859854248,74922
"[20,21)","female",2.73,0.000253597074290596,74922
"[20,21)","female",2.76,0.000266944288726943,74922
"[20,21)","female",2.79,0.000320333146472331,74922
"[20,21)","female",2.9,0.000440458076399456,74922
"[20,21)","female",2.96,0.000453805290835803,74922
"[20,21)","female",2.98,0.00046715250527215,74922
"[20,21)","female",3,0.00065401350738101,74922
"[20,21)","female",3.02,0.000667360721817357,74922
"[20,21)","female",3.05,0.000680707936253704,74922
"[20,21)","female",3.06,0.000694055150690051,74922
"[20,21)","female",3.08,0.000720749579562745,74922
"[20,21)","female",3.09,0.00117455487039855,74922
"[20,21)","female",3.1,0.0011879020848349,74922
"[20,21)","female",3.11,0.00120124929927124,74922
"[20,21)","female",3.14,0.00124129094258028,74922
"[20,21)","female",3.15,0.00125463815701663,74922
"[20,21)","female",3.16,0.00128133258588933,74922
"[20,21)","female",3.17,0.00129467980032567,74922
"[20,21)","female",3.2,0.00217559595312458,74922
"[20,21)","female",3.21,0.00218894316756093,74922
"[20,21)","female",3.22,0.00222898481086997,74922
"[20,21)","female",3.23,0.00224233202530632,74922
"[20,21)","female",3.24,0.00225567923974267,74922
"[20,21)","female",3.25,0.00228237366861536,74922
"[20,21)","female",3.26,0.00229572088305171,74922
"[20,21)","female",3.27,0.0023224153119244,74922
"[20,21)","female",3.28,0.0023491097407971,74922
"[20,21)","female",3.29,0.00411094204639492,74922
"[20,21)","female",3.3,0.00412428926083126,74922
"[20,21)","female",3.31,0.00416433090414031,74922
"[20,21)","female",3.32,0.004191025333013,74922
"[20,21)","female",3.33,0.00424441419075839,74922
"[20,21)","female",3.34,0.00428445583406743,74922
"[20,21)","female",3.36,0.00433784469181282,74922
"[20,21)","female",3.38,0.00440458076399455,74922
"[20,21)","female",3.39,0.00445796962173994,74922
"[20,21)","female",3.4,0.00759456501428152,74922
"[20,21)","female",3.41,0.00764795387202691,74922
"[20,21)","female",3.42,0.0076746483008996,74922
"[20,21)","female",3.43,0.00774138437308134,74922
"[20,21)","female",3.44,0.00786150930300846,74922
"[20,21)","female",3.45,0.00794159258962655,74922
"[20,21)","female",3.46,0.00803502309068098,74922
"[20,21)","female",3.47,0.00819518966391714,74922
"[20,21)","female",3.48,0.0084087450948987,74922
"[20,21)","female",3.49,0.00854221723926217,74922
"[20,21)","female",3.5,0.0150156162408905,74922
"[20,21)","female",3.51,0.0151757828141267,74922
"[20,21)","female",3.52,0.0153492966017992,74922
"[20,21)","female",3.53,0.0155228103894717,74922
"[20,21)","female",3.54,0.0156028936760898,74922
"[20,21)","female",3.55,0.0159766156803075,74922
"[20,21)","female",3.56,0.0161367822535437,74922
"[20,21)","female",3.57,0.0164037265422706,74922
"[20,21)","female",3.58,0.0167107124743066,74922
"[20,21)","female",3.59,0.0284562611782921,74922
"[20,21)","female",3.6,0.0288566776113825,74922
"[20,21)","female",3.61,0.0292837884733456,74922
"[20,21)","female",3.63,0.0296041216198179,74922
"[20,21)","female",3.64,0.0297776354074905,74922
"[20,21)","female",3.65,0.0301780518405809,74922
"[20,21)","female",3.66,0.0305784682736713,74922
"[20,21)","female",3.67,0.0311657457088706,74922
"[20,21)","female",3.68,0.0316595926430154,74922
"[20,21)","female",3.69,0.0321934812204693,74922
"[20,21)","female",3.7,0.0555511064840768,74922
"[20,21)","female",3.71,0.0562585088492032,74922
"[20,21)","female",3.72,0.0568057446410934,74922
"[20,21)","female",3.73,0.0574731053629108,74922
"[20,21)","female",3.74,0.0582739382290916,74922
"[20,21)","female",3.75,0.05959531245829,74922
"[20,21)","female",3.76,0.0604628813966525,74922
"[20,21)","female",3.77,0.0613304503350151,74922
"[20,21)","female",3.78,0.0623047969888684,74922
"[20,21)","female",3.79,0.102720162302128,74922
"[20,21)","female",3.8,0.103641120098236,74922
"[20,21)","female",3.81,0.104775633325325,74922
"[20,21)","female",3.82,0.105763327193615,74922
"[20,21)","female",3.83,0.106924534849577,74922
"[20,21)","female",3.84,0.108005659218921,74922
"[20,21)","female",3.85,0.109193561303756,74922
"[20,21)","female",3.86,0.110621713248445,74922
"[20,21)","female",3.88,0.111782920904407,74922
"[20,21)","female",3.89,0.112984170203679,74922
"[20,21)","female",3.9,0.171578441579242,74922
"[20,21)","female",3.91,0.173006593523932,74922
"[20,21)","female",3.92,0.17432796775313,74922
"[20,21)","female",3.93,0.175983022343237,74922
"[20,21)","female",3.94,0.177451215931235,74922
"[20,21)","female",3.95,0.17903953444916,74922
"[20,21)","female",3.96,0.180881450041376,74922
"[20,21)","female",3.97,0.182576546274792,74922
"[20,21)","female",3.98,0.184418461867008,74922
"[20,21)","female",3.99,0.186300419102533,74922
"[20,21)","female",4,0.27108192520221,74922
"[20,21)","female",4.01,0.274792450815515,74922
"[20,21)","female",4.03,0.278329462641147,74922
"[20,21)","female",4.05,0.282306932543178,74922
"[20,21)","female",4.07,0.286217666373028,74922
"[20,21)","female",4.09,0.383078401537599,74922
"[20,21)","female",4.11,0.387402899014976,74922
"[20,21)","female",4.13,0.391834174207843,74922
"[20,21)","female",4.15,0.396252102186274,74922
"[20,21)","female",4.17,0.400483169162596,74922
"[20,21)","female",4.19,0.508101759162863,74922
"[20,21)","female",4.21,0.512759937001148,74922
"[20,21)","female",4.23,0.516750754117616,74922
"[20,21)","female",4.25,0.519033127786231,74922
"[20,21)","female",4.26,0.522757000613972,74922
"[20,21)","female",4.28,0.527121539734657,74922
"[20,21)","female",4.3,0.631296548410347,74922
"[20,21)","female",4.32,0.635060462881397,74922
"[20,21)","female",4.34,0.638637516350338,74922
"[20,21)","female",4.36,0.642334694749206,74922
"[20,21)","female",4.38,0.646018525933638,74922
"[20,21)","female",4.4,0.728944769226662,74922
"[20,21)","female",4.42,0.732375003336804,74922
"[20,21)","female",4.44,0.735658418088145,74922
"[20,21)","female",4.46,0.738554763620832,74922
"[20,21)","female",4.48,0.741504498011265,74922
"[20,21)","female",4.5,0.810482902218307,74922
"[20,21)","female",4.51,0.813112303462267,74922
"[20,21)","female",4.53,0.815461413203065,74922
"[20,21)","female",4.55,0.817316676009717,74922
"[20,21)","female",4.57,0.819478924748405,74922
"[20,21)","female",4.59,0.867301994073837,74922
"[20,21)","female",4.61,0.869357465097034,74922
"[20,21)","female",4.63,0.870865700328342,74922
"[20,21)","female",4.65,0.872387282774085,74922
"[20,21)","female",4.67,0.873988948506447,74922
"[20,21)","female",4.69,0.909585969408185,74922
"[20,21)","female",4.71,0.911014121352874,74922
"[20,21)","female",4.73,0.912242065081018,74922
"[20,21)","female",4.75,0.912922773017271,74922
"[20,21)","female",4.76,0.913910466885561,74922
"[20,21)","female",4.78,0.915018285683778,74922
"[20,21)","female",4.8,0.94248685299378,74922
"[20,21)","female",4.82,0.943461199647633,74922
"[20,21)","female",4.84,0.944208643656069,74922
"[20,21)","female",4.86,0.944755879447959,74922
"[20,21)","female",4.88,0.945316462454286,74922
"[20,21)","female",4.9,0.962093911000774,74922
"[20,21)","female",4.92,0.962374202503938,74922
"[20,21)","female",4.94,0.962734577293719,74922
"[20,21)","female",4.96,0.963281813085609,74922
"[20,21)","female",4.98,0.963748965590881,74922
"[20,21)","female",5,0.975574597581485,74922
"[20,21)","female",5.01,0.975934972371266,74922
"[20,21)","female",5.03,0.976295347161047,74922
"[20,21)","female",5.05,0.976562291449774,74922
"[20,21)","female",5.07,0.976842582952938,74922
"[20,21)","female",5.09,0.984223592536238,74922
"[20,21)","female",5.11,0.984503884039401,74922
"[20,21)","female",5.13,0.984770828328128,74922
"[20,21)","female",5.15,0.984957689330237,74922
"[20,21)","female",5.17,0.985211286404527,74922
"[20,21)","female",5.19,0.990283227890339,74922
"[20,21)","female",5.21,0.990416700034703,74922
"[20,21)","female",5.23,0.99053682496463,74922
"[20,21)","female",5.25,0.990616908251248,74922
"[20,21)","female",5.26,0.990737033181175,74922
"[20,21)","female",5.28,0.990803769253357,74922
"[20,21)","female",5.3,0.994060489575826,74922
"[20,21)","female",5.32,0.994140572862444,74922
"[20,21)","female",5.34,0.994260697792371,74922
"[20,21)","female",5.36,0.994327433864552,74922
"[20,21)","female",5.38,0.994367475507861,74922
"[20,21)","female",5.4,0.99608926617015,74922
"[20,21)","female",5.42,0.996182696671205,74922
"[20,21)","female",5.44,0.996262779957823,74922
"[20,21)","female",5.46,0.996302821601132,74922
"[20,21)","female",5.48,0.996329516030005,74922
"[20,21)","female",5.5,0.997490723685967,74922
"[20,21)","female",5.51,0.997530765329276,74922
"[20,21)","female",5.53,0.997610848615894,74922
"[20,21)","female",5.55,0.997650890259203,74922
"[20,21)","female",5.57,0.997664237473639,74922
"[20,21)","female",5.59,0.998304903766584,74922
"[20,21)","female",5.61,0.998371639838766,74922
"[20,21)","female",5.63,0.998398334267638,74922
"[20,21)","female",5.69,0.998985611702838,74922
"[20,21)","female",5.71,0.99901230613171,74922
"[20,21)","female",5.8,0.999292597634873,74922
"[20,21)","female",5.88,0.999319292063746,74922
"[20,21)","female",5.9,0.99945276420811,74922
"[20,21)","female",5.98,0.999466111422546,74922
"[20,21)","female",6,0.999586236352473,74922
"[20,21)","female",6.03,0.99959958356691,74922
"[20,21)","female",6.09,0.999679666853528,74922
"[20,21)","female",6.15,0.999693014067964,74922
"[20,21)","female",6.19,0.999719708496837,74922
"[20,21)","female",6.3,0.999746402925709,74922
"[20,21)","female",6.4,0.999786444569019,74922
"[20,21)","female",6.5,0.999839833426764,74922
"[20,21)","female",6.69,0.9998531806412,74922
"[20,21)","female",6.8,0.999866527855636,74922
"[20,21)","female",6.9,0.999879875070073,74922
"[20,21)","female",7.09,0.999893222284509,74922
"[20,21)","female",7.19,0.999933263927818,74922
"[20,21)","female",7.38,0.999946611142255,74922
"[20,21)","female",7.59,0.999973305571127,74922
"[20,21)","female",7.76,0.999986652785564,74922
"[20,21)","female",8.34,1,74922
"[20,21)","male",0,0,38891
"[20,21)","male",1.6,0.0000257128898716927,38891
"[20,21)","male",2.2,0.0000514257797433854,38891
"[20,21)","male",2.5,0.000077138669615078,38891
"[20,21)","male",2.59,0.000102851559486771,38891
"[20,21)","male",2.7,0.000179990229101849,38891
"[20,21)","male",2.79,0.000282841788588619,38891
"[20,21)","male",2.8,0.000308554678460312,38891
"[20,21)","male",2.84,0.000334267568332005,38891
"[20,21)","male",2.9,0.000462832017690468,38891
"[20,21)","male",2.99,0.000488544907562161,38891
"[20,21)","male",3,0.000822812475894166,38891
"[20,21)","male",3.02,0.000848525365765859,38891
"[20,21)","male",3.03,0.000899951145509244,38891
"[20,21)","male",3.05,0.000925664035380936,38891
"[20,21)","male",3.09,0.00172276362140341,38891
"[20,21)","male",3.1,0.0017484765112751,38891
"[20,21)","male",3.11,0.0017741894011468,38891
"[20,21)","male",3.13,0.00179990229101849,38891
"[20,21)","male",3.15,0.00185132807076187,38891
"[20,21)","male",3.18,0.00187704096063357,38891
"[20,21)","male",3.19,0.00190275385050526,38891
"[20,21)","male",3.2,0.00321411123396158,38891
"[20,21)","male",3.21,0.00323982412383328,38891
"[20,21)","male",3.22,0.00326553701370497,38891
"[20,21)","male",3.23,0.00334267568332005,38891
"[20,21)","male",3.25,0.00341981435293513,38891
"[20,21)","male",3.26,0.00347124013267851,38891
"[20,21)","male",3.27,0.0034969530225502,38891
"[20,21)","male",3.29,0.00617109356920624,38891
"[20,21)","male",3.31,0.00619680645907794,38891
"[20,21)","male",3.32,0.00629965801856471,38891
"[20,21)","male",3.34,0.00637679668817979,38891
"[20,21)","male",3.35,0.00642822246792317,38891
"[20,21)","male",3.36,0.00645393535779486,38891
"[20,21)","male",3.39,0.00660821269702502,38891
"[20,21)","male",3.4,0.0104137203980355,38891
"[20,21)","male",3.41,0.0104908590676506,38891
"[20,21)","male",3.42,0.0106451364068808,38891
"[20,21)","male",3.43,0.0107222750764958,38891
"[20,21)","male",3.44,0.0107994137461109,38891
"[20,21)","male",3.45,0.010876552415726,38891
"[20,21)","male",3.46,0.0109794039752128,38891
"[20,21)","male",3.47,0.0110822555346995,38891
"[20,21)","male",3.48,0.011210819984058,38891
"[20,21)","male",3.49,0.0113650973232882,38891
"[20,21)","male",3.5,0.0195675091923581,38891
"[20,21)","male",3.51,0.0197989252012034,38891
"[20,21)","male",3.52,0.0199532025404335,38891
"[20,21)","male",3.53,0.0200560540999203,38891
"[20,21)","male",3.54,0.0203131829986372,38891
"[20,21)","male",3.55,0.0205188861176108,38891
"[20,21)","male",3.56,0.020750302126456,38891
"[20,21)","male",3.57,0.021084569694788,38891
"[20,21)","male",3.58,0.0212902728137615,38891
"[20,21)","male",3.59,0.0351238075647322,38891
"[20,21)","male",3.6,0.0354580751330642,38891
"[20,21)","male",3.61,0.0357666298115245,38891
"[20,21)","male",3.63,0.036229461829215,38891
"[20,21)","male",3.64,0.0367180067367772,38891
"[20,21)","male",3.65,0.037232264534211,38891
"[20,21)","male",3.66,0.0376693836620298,38891
"[20,21)","male",3.67,0.0381836414594636,38891
"[20,21)","male",3.68,0.0389807410454861,38891
"[20,21)","male",3.69,0.0397521277416369,38891
"[20,21)","male",3.7,0.0603995783086061,38891
"[20,21)","male",3.71,0.0609652618857833,38891
"[20,21)","male",3.72,0.0617366485819341,38891
"[20,21)","male",3.73,0.0622766192692397,38891
"[20,21)","male",3.74,0.0629965801856471,38891
"[20,21)","male",3.75,0.0647450566969222,38891
"[20,21)","male",3.76,0.0657735722917899,38891
"[20,21)","male",3.77,0.0664678203183256,38891
"[20,21)","male",3.78,0.0674191972435782,38891
"[20,21)","male",3.79,0.100743102517292,38891
"[20,21)","male",3.8,0.101823043891903,38891
"[20,21)","male",3.81,0.102620143477926,38891
"[20,21)","male",3.82,0.103648659072793,38891
"[20,21)","male",3.83,0.104857164896763,38891
"[20,21)","male",3.84,0.106194235170091,38891
"[20,21)","male",3.85,0.107299889434574,38891
"[20,21)","male",3.86,0.108534108148415,38891
"[20,21)","male",3.88,0.109408346404052,38891
"[20,21)","male",3.89,0.110539713558407,38891
"[20,21)","male",3.9,0.162968296006788,38891
"[20,21)","male",3.91,0.164279653390245,38891
"[20,21)","male",3.92,0.165693862333188,38891
"[20,21)","male",3.93,0.167185209945746,38891
"[20,21)","male",3.94,0.168650844668432,38891
"[20,21)","male",3.95,0.170039340721504,38891
"[20,21)","male",3.96,0.171247846545473,38891
