"age","gender","value","quant","n"
"[20,21)","female",0,0.00330812854442344,16928
"[20,21)","female",7.3,0.003367202268431,16928
"[20,21)","female",9,0.00348534971644612,16928
"[20,21)","female",9.1,0.00360349716446125,16928
"[20,21)","female",9.3,0.00366257088846881,16928
"[20,21)","female",9.5,0.00372164461247637,16928
"[20,21)","female",9.6,0.00383979206049149,16928
"[20,21)","female",9.8,0.00419423440453686,16928
"[20,21)","female",10,0.00448960302457467,16928
"[20,21)","female",10.1,0.0049031190926276,16928
"[20,21)","female",10.3,0.00531663516068053,16928
"[20,21)","female",10.5,0.00578922495274102,16928
"[20,21)","female",10.6,0.00626181474480151,16928
"[20,21)","female",10.8,0.00744328922495274,16928
"[20,21)","female",11,0.00797495274102079,16928
"[20,21)","female",11.1,0.00921550094517958,16928
"[20,21)","female",11.3,0.0113421550094518,16928
"[20,21)","female",11.5,0.011991965973535,16928
"[20,21)","female",11.6,0.0133506616257089,16928
"[20,21)","female",11.8,0.0153000945179584,16928
"[20,21)","female",12,0.0173086011342155,16928
"[20,21)","female",12.1,0.0199669187145558,16928
"[20,21)","female",12.3,0.0232750472589792,16928
"[20,21)","female",12.5,0.0253426275992439,16928
"[20,21)","female",12.6,0.0274692816635161,16928
"[20,21)","female",12.8,0.032195179584121,16928
"[20,21)","female",13,0.0352670132325142,16928
"[20,21)","female",13.1,0.0383388468809074,16928
"[20,21)","female",13.3,0.0434782608695652,16928
"[20,21)","female",13.5,0.047140831758034,16928
"[20,21)","female",13.6,0.0506261814744802,16928
"[20,21)","female",13.8,0.0560609640831758,16928
"[20,21)","female",14,0.0609050094517958,16928
"[20,21)","female",14.1,0.0645085066162571,16928
"[20,21)","female",14.3,0.070711247637051,16928
"[20,21)","female",14.5,0.075437145557656,16928
"[20,21)","female",14.6,0.0772684310018904,16928
"[20,21)","female",14.8,0.0828804347826087,16928
"[20,21)","female",15,0.0876654064272212,16928
"[20,21)","female",15.1,0.0908553875236295,16928
"[20,21)","female",15.3,0.102079395085066,16928
"[20,21)","female",15.5,0.112771739130435,16928
"[20,21)","female",15.6,0.143549149338374,16928
"[20,21)","female",15.8,0.21148393194707,16928
"[20,21)","female",16,0.262405482041588,16928
"[20,21)","female",16.1,0.316280718336484,16928
"[20,21)","female",16.2,0.362062854442344,16928
"[20,21)","female",16.25,0.417237712665406,16928
"[20,21)","female",16.3,0.466623345935728,16928
"[20,21)","female",16.5,0.522920604914934,16928
"[20,21)","female",16.6,0.563504253308129,16928
"[20,21)","female",16.7,0.596999054820416,16928
"[20,21)","female",16.75,0.633742911153119,16928
"[20,21)","female",16.8,0.659026465028355,16928
"[20,21)","female",17,0.697542533081285,16928
"[20,21)","female",17.1,0.716032608695652,16928
"[20,21)","female",17.2,0.730151228733459,16928
"[20,21)","female",17.25,0.748405009451796,16928
"[20,21)","female",17.3,0.758447542533081,16928
"[20,21)","female",17.5,0.774338374291115,16928
"[20,21)","female",17.6,0.781604442344045,16928
"[20,21)","female",17.7,0.787216446124764,16928
"[20,21)","female",17.75,0.798676748582231,16928
"[20,21)","female",17.8,0.802693761814745,16928
