"age","gender","value","quant","n"
"[20,21)","female",-2,0,42910
"[20,21)","female",0.5,0.0000233045910044279,42910
"[20,21)","female",0.8,0.0000466091820088558,42910
"[20,21)","female",0.89,0.000116522955022139,42910
"[20,21)","female",1,0.000163132137030995,42910
"[20,21)","female",1.1,0.000233045910044279,42910
"[20,21)","female",1.2,0.000302959683057562,42910
"[20,21)","female",1.29,0.000489396411092985,42910
"[20,21)","female",1.39,0.000652528548123981,42910
"[20,21)","female",1.5,0.000815660685154976,42910
"[20,21)","female",1.6,0.000978792822185971,42910
"[20,21)","female",1.7,0.00121183873223025,42910
"[20,21)","female",1.79,0.0014215800512701,42910
"[20,21)","female",1.87,0.00146818923327896,42910
"[20,21)","female",1.89,0.00174784432533209,42910
"[20,21)","female",2,0.00212071778140294,42910
"[20,21)","female",2.05,0.00214402237240736,42910
"[20,21)","female",2.06,0.00216732696341179,42910
"[20,21)","female",2.09,0.00277324632952692,42910
"[20,21)","female",2.13,0.00279655092053135,42910
"[20,21)","female",2.17,0.00281985551153577,42910
"[20,21)","female",2.2,0.00344907946865533,42910
"[20,21)","female",2.22,0.00347238405965975,42910
"[20,21)","female",2.25,0.00349568865066418,42910
"[20,21)","female",2.29,0.00417152178979259,42910
"[20,21)","female",2.31,0.00424143556280587,42910
"[20,21)","female",2.33,0.0042647401538103,42910
"[20,21)","female",2.34,0.00428804474481473,42910
"[20,21)","female",2.35,0.00431134933581916,42910
"[20,21)","female",2.36,0.00433465392682358,42910
"[20,21)","female",2.38,0.00438126310883244,42910
"[20,21)","female",2.39,0.00445117688184572,42910
"[20,21)","female",2.4,0.00561640643206712,42910
"[20,21)","female",2.41,0.00566301561407597,42910
"[20,21)","female",2.43,0.0056863202050804,42910
"[20,21)","female",2.44,0.00575623397809368,42910
"[20,21)","female",2.45,0.00580284316010254,42910
"[20,21)","female",2.46,0.00582614775110697,42910
"[20,21)","female",2.47,0.00587275693311582,42910
"[20,21)","female",2.49,0.00589606152412025,42910
"[20,21)","female",2.5,0.00804008389652762,42910
"[20,21)","female",2.51,0.00806338848753204,42910
"[20,21)","female",2.52,0.0081099976695409,42910
"[20,21)","female",2.53,0.00820321603355861,42910
"[20,21)","female",2.54,0.00822652062456304,42910
"[20,21)","female",2.56,0.00824982521556747,42910
"[20,21)","female",2.58,0.00834304357958518,42910
"[20,21)","female",2.59,0.0107434164530412,42910
"[20,21)","female",2.6,0.010836634817059,42910
"[20,21)","female",2.61,0.0109764623630855,42910
"[20,21)","female",2.63,0.0111162899091121,42910
"[20,21)","female",2.64,0.0111862036821254,42910
"[20,21)","female",2.65,0.0112561174551387,42910
"[20,21)","female",2.66,0.0113027266371475,42910
"[20,21)","female",2.67,0.0114192495921697,42910
"[20,21)","female",2.69,0.0114891633651829,42910
"[20,21)","female",2.7,0.0144721510137497,42910
"[20,21)","female",2.71,0.014542064786763,42910
"[20,21)","female",2.72,0.0145886739687718,42910
"[20,21)","female",2.74,0.0146585877417851,42910
"[20,21)","female",2.75,0.014868329060825,42910
"[20,21)","female",2.76,0.0149382428338383,42910
"[20,21)","female",2.77,0.0151013749708693,42910
"[20,21)","female",2.78,0.0151712887438825,42910
"[20,21)","female",2.79,0.0198089023537637,42910
"[20,21)","female",2.8,0.019878816126777,42910
"[20,21)","female",2.81,0.0199953390817991,42910
"[20,21)","female",2.82,0.0200652528548124,42910
"[20,21)","female",2.83,0.0203216033558611,42910
"[20,21)","female",2.84,0.0204148217198788,42910
"[20,21)","female",2.85,0.0205546492659054,42910
"[20,21)","female",2.86,0.0207177814029364,42910
"[20,21)","female",2.88,0.0208809135399674,42910
"[20,21)","female",2.89,0.0209275227219762,42910
"[20,21)","female",2.9,0.0268002796550921,42910
"[20,21)","female",2.91,0.0269634117921231,42910
"[20,21)","female",2.92,0.0271032393381496,42910
"[20,21)","female",2.93,0.0272663714751806,42910
"[20,21)","female",2.94,0.027452808203216,42910
"[20,21)","female",2.95,0.0276625495222559,42910
"[20,21)","female",2.96,0.0280354229783267,42910
"[20,21)","female",2.97,0.028268468888371,42910
"[20,21)","female",2.98,0.0285481239804241,42910
"[20,21)","female",2.99,0.0286413423444419,42910
"[20,21)","female",3,0.0378932649731997,42910
"[20,21)","female",3.01,0.0380797017012351,42910
"[20,21)","female",3.02,0.0384059659752971,42910
"[20,21)","female",3.03,0.038778839431368,42910
"[20,21)","female",3.04,0.0389885807504078,42910
"[20,21)","female",3.05,0.0393614542064787,42910
"[20,21)","female",3.06,0.0398275460265672,42910
"[20,21)","female",3.07,0.0401538103006292,42910
"[20,21)","female",3.08,0.0404567699836868,42910
"[20,21)","female",3.09,0.0523188068049406,42910
"[20,21)","female",3.1,0.0527149848520159,42910
"[20,21)","female",3.11,0.0531344674900956,42910
"[20,21)","female",3.13,0.0536005593101841,42910
"[20,21)","female",3.14,0.0540200419482638,42910
"[20,21)","female",3.15,0.0544395245863435,42910
"[20,21)","female",3.16,0.0550687485434631,42910
"[20,21)","female",3.17,0.0558378000466092,42910
"[20,21)","female",3.18,0.0561640643206712,42910
"[20,21)","female",3.19,0.0568398974597996,42910
"[20,21)","female",3.2,0.0722675367047308,42910
"[20,21)","female",3.21,0.0728501514798415,42910
"[20,21)","female",3.22,0.0735026800279655,42910
"[20,21)","female",3.23,0.0743882544861338,42910
"[20,21)","female",3.24,0.0751806105802843,42910
"[20,21)","female",3.25,0.07657888604055,42910
"[20,21)","female",3.26,0.0775343742717315,42910
"[20,21)","female",3.27,0.0784665579119087,42910
"[20,21)","female",3.28,0.0795851782801212,42910
"[20,21)","female",3.29,0.100046609182009,42910
"[20,21)","female",3.3,0.100792356094151,42910
"[20,21)","female",3.31,0.102120717781403,42910
"[20,21)","female",3.32,0.102982987648567,42910
"[20,21)","female",3.33,0.103658820787695,42910
"[20,21)","female",3.34,0.105010487065952,42910
"[20,21)","female",3.35,0.106338848753204,42910
"[20,21)","female",3.36,0.107597296667443,42910
"[20,21)","female",3.38,0.108809135399674,42910
"[20,21)","female",3.39,0.109974364949895,42910
"[20,21)","female",3.4,0.136728035422978,42910
"[20,21)","female",3.41,0.137986483337217,42910
"[20,21)","female",3.42,0.139338149615474,42910
"[20,21)","female",3.43,0.140852948030762,42910
"[20,21)","female",3.44,0.142297832673037,42910
"[20,21)","female",3.45,0.143812631088324,42910
"[20,21)","female",3.46,0.145327429503612,42910
"[20,21)","female",3.47,0.146539268235842,42910
"[20,21)","female",3.48,0.148030762060126,42910
"[20,21)","female",3.49,0.149522255884409,42910
"[20,21)","female",3.5,0.186436728035423,42910
"[20,21)","female",3.51,0.188021440223724,42910
"[20,21)","female",3.52,0.189652761594034,42910
"[20,21)","female",3.53,0.191284082964344,42910
"[20,21)","female",3.54,0.193171754835703,42910
"[20,21)","female",3.55,0.19510603588907,42910
"[20,21)","female",3.56,0.196807271032393,42910
"[20,21)","female",3.57,0.198694942903752,42910
"[20,21)","female",3.58,0.201095315777208,42910
"[20,21)","female",3.59,0.243183407131205,42910
"[20,21)","female",3.6,0.245047774411559,42910
"[20,21)","female",3.61,0.247354928920997,42910
"[20,21)","female",3.63,0.249871824749476,42910
"[20,21)","female",3.64,0.252295502213936,42910
"[20,21)","female",3.65,0.254765788860406,42910
"[20,21)","female",3.66,0.257375903052901,42910
"[20,21)","female",3.67,0.259869494290375,42910
