"age","gender","value","quant","n"
"[20,21)","female",-1.4,0,50349
"[20,21)","female",3.08,0.0000198613676537766,50349
"[20,21)","female",3.29,0.0000595841029613299,50349
"[20,21)","female",3.5,0.0000794454706151066,50349
"[20,21)","female",3.75,0.0000993068382688832,50349
"[20,21)","female",3.79,0.00011916820592266,50349
"[20,21)","female",3.9,0.000158890941230213,50349
"[20,21)","female",4,0.00017875230888399,50349
"[20,21)","female",4.09,0.000198613676537766,50349
"[20,21)","female",4.19,0.000218475044191543,50349
"[20,21)","female",4.3,0.00029792051480665,50349
"[20,21)","female",4.4,0.000317781882460426,50349
"[20,21)","female",4.48,0.000337643250114203,50349
"[20,21)","female",4.5,0.000436950088383086,50349
"[20,21)","female",4.59,0.000496534191344416,50349
"[20,21)","female",4.69,0.000536256926651969,50349
"[20,21)","female",4.8,0.000575979661959523,50349
"[20,21)","female",4.9,0.000675286500228406,50349
"[20,21)","female",4.98,0.000695147867882182,50349
"[20,21)","female",5,0.000774593338497289,50349
"[20,21)","female",5.09,0.000873900176766172,50349
"[20,21)","female",5.11,0.000893761544419949,50349
"[20,21)","female",5.19,0.00101292975034261,50349
"[20,21)","female",5.23,0.00103279111799639,50349
"[20,21)","female",5.28,0.00107251385330394,50349
"[20,21)","female",5.3,0.0011916820592266,50349
"[20,21)","female",5.34,0.00121154342688038,50349
"[20,21)","female",5.4,0.00141015710341814,50349
"[20,21)","female",5.44,0.00143001847107192,50349
"[20,21)","female",5.46,0.00148960257403325,50349
"[20,21)","female",5.48,0.00150946394168702,50349
"[20,21)","female",5.5,0.00168821625057101,50349
"[20,21)","female",5.51,0.00172793898587857,50349
"[20,21)","female",5.55,0.00174780035353234,50349
"[20,21)","female",5.57,0.00176766172118612,50349
"[20,21)","female",5.59,0.00200599813303144,50349
"[20,21)","female",5.63,0.00202585950068522,50349
"[20,21)","female",5.67,0.00206558223599277,50349
"[20,21)","female",5.69,0.00228405728018431,50349
"[20,21)","female",5.71,0.00230391864783809,50349
"[20,21)","female",5.76,0.00232378001549187,50349
"[20,21)","female",5.8,0.00284017557449006,50349
"[20,21)","female",5.82,0.00287989830979761,50349
"[20,21)","female",5.84,0.00289975967745139,50349
"[20,21)","female",5.86,0.00295934378041272,50349
"[20,21)","female",5.88,0.00301892788337405,50349
"[20,21)","female",5.9,0.00369421438360246,50349
"[20,21)","female",5.92,0.00371407575125623,50349
"[20,21)","female",5.94,0.00375379848656379,50349
"[20,21)","female",5.96,0.00381338258952512,50349
"[20,21)","female",5.98,0.00385310532483267,50349
"[20,21)","female",6,0.00474686686925262,50349
"[20,21)","female",6.01,0.00480645097221395,50349
"[20,21)","female",6.03,0.00490575781048283,50349
"[20,21)","female",6.05,0.00494548054579038,50349
"[20,21)","female",6.07,0.00504478738405927,50349
"[20,21)","female",6.09,0.00639536038451608,50349
"[20,21)","female",6.11,0.00643508311982363,50349
"[20,21)","female",6.13,0.00649466722278496,50349
"[20,21)","female",6.15,0.00659397406105384,50349
"[20,21)","female",6.17,0.00665355816401517,50349
"[20,21)","female",6.19,0.0085006653558164,50349
"[20,21)","female",6.21,0.00858011082643151,50349
"[20,21)","female",6.23,0.00873900176766172,50349
"[20,21)","female",6.25,0.00889789270889193,50349
"[20,21)","female",6.26,0.00905678365012215,50349
"[20,21)","female",6.28,0.00919581322369858,50349
"[20,21)","female",6.3,0.011916820592266,50349
"[20,21)","female",6.32,0.0120558501658424,50349
"[20,21)","female",6.34,0.0122941865776877,50349
"[20,21)","female",6.36,0.0126318298278019,50349
"[20,21)","female",6.38,0.0128701662396473,50349
"[20,21)","female",6.4,0.0171403602852092,50349
"[20,21)","female",6.42,0.0173985580647083,50349
"[20,21)","female",6.44,0.0177560626824763,50349
"[20,21)","female",6.46,0.0181135673002443,50349
"[20,21)","female",6.48,0.0185902401239349,50349
"[20,21)","female",6.5,0.0263163121412541,50349
"[20,21)","female",6.51,0.0268327077002522,50349
"[20,21)","female",6.53,0.0273292418915967,50349
"[20,21)","female",6.55,0.0279052215535562,50349
"[20,21)","female",6.57,0.0285805080537846,50349
"[20,21)","female",6.59,0.0407952491608572,50349
"[20,21)","female",6.61,0.0416095652346621,50349
"[20,21)","female",6.63,0.0423047131025442,50349
"[20,21)","female",6.65,0.0432580587499255,50349
"[20,21)","female",6.67,0.0442511271326144,50349
"[20,21)","female",6.69,0.0626626149476653,50349
"[20,21)","female",6.71,0.063754990168623,50349
"[20,21)","female",6.73,0.0651651472720412,50349
"[20,21)","female",6.75,0.0658801565075771,50349
"[20,21)","female",6.76,0.0672307295080339,50349
"[20,21)","female",6.78,0.0690579753321814,50349
"[20,21)","female",6.8,0.0986911358716161,50349
"[20,21)","female",6.82,0.100915609048839,50349
"[20,21)","female",6.84,0.10276271624064,50349
"[20,21)","female",6.86,0.104848159844287,50349
"[20,21)","female",6.88,0.107350692168663,50349
"[20,21)","female",6.9,0.141909471886234,50349
"[20,21)","female",6.92,0.143975054122227,50349
"[20,21)","female",6.94,0.146557031917218,50349
"[20,21)","female",6.96,0.148940396035671,50349
"[20,21)","female",6.98,0.15130389878647,50349
"[20,21)","female",7,0.2043138890544,50349
"[20,21)","female",7.01,0.207471846511351,50349
"[20,21)","female",7.03,0.210490774394725,50349
"[20,21)","female",7.05,0.213271365866254,50349
"[20,21)","female",7.07,0.216210848279013,50349
"[20,21)","female",7.09,0.272001430018471,50349
"[20,21)","female",7.11,0.275218971578383,50349
"[20,21)","female",7.13,0.279111799638523,50349
"[20,21)","female",7.15,0.282845736757433,50349
"[20,21)","female",7.17,0.286678980714612,50349
"[20,21)","female",7.19,0.354227492105106,50349
"[20,21)","female",7.21,0.3581401815329,50349
"[20,21)","female",7.23,0.362092593696002,50349
"[20,21)","female",7.25,0.364336928240879,50349
"[20,21)","female",7.26,0.36797155852152,50349
"[20,21)","female",7.28,0.371606188802161,50349
"[20,21)","female",7.3,0.451885836858726,50349
"[20,21)","female",7.32,0.45579852628652,50349
"[20,21)","female",7.34,0.458936622375817,50349
"[20,21)","female",7.36,0.463127370950764,50349
"[20,21)","female",7.38,0.467040060378558,50349
"[20,21)","female",7.4,0.539375161373612,50349
"[20,21)","female",7.42,0.542652287036485,50349
"[20,21)","female",7.44,0.546584837831933,50349
"[20,21)","female",7.46,0.550080438538998,50349
"[20,21)","female",7.48,0.553715068819639,50349
"[20,21)","female",7.5,0.630717591213331,50349
