"age","gender","value","quant","n"
"[20,21)","female",0,0.0000184663681270486,108305
"[20,21)","female",0.01,0.0000276995521905729,108305
"[20,21)","female",0.05,0.0000369327362540972,108305
"[20,21)","female",1.53,0.0000461659203176215,108305
"[20,21)","female",1.73,0.0000553991043811458,108305
"[20,21)","female",1.76,0.0000646322884446701,108305
"[20,21)","female",1.86,0.0000830986565717188,108305
"[20,21)","female",1.94,0.0000923318406352431,108305
"[20,21)","female",2.02,0.000101565024698767,108305
"[20,21)","female",2.05,0.000110798208762292,108305
"[20,21)","female",2.1,0.000120031392825816,108305
"[20,21)","female",2.11,0.00012926457688934,108305
"[20,21)","female",2.15,0.000138497760952865,108305
"[20,21)","female",2.19,0.000147730945016389,108305
"[20,21)","female",2.21,0.000166197313143438,108305
"[20,21)","female",2.22,0.000184663681270486,108305
"[20,21)","female",2.25,0.00019389686533401,108305
"[20,21)","female",2.29,0.000221596417524583,108305
"[20,21)","female",2.3,0.000230829601588108,108305
"[20,21)","female",2.31,0.000240062785651632,108305
"[20,21)","female",2.32,0.000258529153778681,108305
"[20,21)","female",2.33,0.000267762337842205,108305
"[20,21)","female",2.34,0.000286228705969254,108305
"[20,21)","female",2.35,0.000295461890032778,108305
"[20,21)","female",2.36,0.000304695074096302,108305
"[20,21)","female",2.4,0.000323161442223351,108305
"[20,21)","female",2.42,0.000341627810350399,108305
"[20,21)","female",2.46,0.000350860994413924,108305
"[20,21)","female",2.48,0.000369327362540972,108305
"[20,21)","female",2.5,0.000452426019112691,108305
"[20,21)","female",2.51,0.00047089238723974,108305
"[20,21)","female",2.52,0.000498591939430313,108305
"[20,21)","female",2.55,0.000507825123493837,108305
"[20,21)","female",2.57,0.000526291491620885,108305
"[20,21)","female",2.59,0.000553991043811458,108305
"[20,21)","female",2.6,0.000572457411938507,108305
"[20,21)","female",2.61,0.000581690596002031,108305
"[20,21)","female",2.63,0.00060015696412908,108305
"[20,21)","female",2.64,0.000618623332256129,108305
"[20,21)","female",2.67,0.000646322884446701,108305
"[20,21)","female",2.68,0.00066478925257375,108305
"[20,21)","female",2.69,0.000683255620700799,108305
"[20,21)","female",2.7,0.000701721988827847,108305
"[20,21)","female",2.71,0.000720188356954896,108305
"[20,21)","female",2.74,0.000738654725081945,108305
"[20,21)","female",2.75,0.000757121093208993,108305
"[20,21)","female",2.76,0.000784820645399566,108305
"[20,21)","female",2.77,0.000803287013526615,108305
"[20,21)","female",2.78,0.000821753381653663,108305
"[20,21)","female",2.79,0.000886385670098333,108305
"[20,21)","female",2.8,0.000914085222288906,108305
"[20,21)","female",2.81,0.000932551590415955,108305
"[20,21)","female",2.82,0.000969484326670052,108305
"[20,21)","female",2.83,0.00100641706292415,108305
"[20,21)","female",2.84,0.00101565024698767,108305
"[20,21)","female",2.85,0.00104334979917825,108305
"[20,21)","female",2.86,0.00108028253543234,108305
"[20,21)","female",2.88,0.00108951571949587,108305
"[20,21)","female",2.89,0.00109874890355939,108305
"[20,21)","female",2.91,0.00111721527168644,108305
"[20,21)","female",2.92,0.00113568163981349,108305
"[20,21)","female",2.93,0.00114491482387701,108305
"[20,21)","female",2.94,0.00117261437606759,108305
"[20,21)","female",2.95,0.00123724666451226,108305
"[20,21)","female",2.97,0.00126494621670283,108305
"[20,21)","female",2.98,0.00131111213702045,108305
"[20,21)","female",2.99,0.00134804487327455,108305
"[20,21)","female",3,0.00143114352984627,108305
"[20,21)","female",3.01,0.00147730945016389,108305
"[20,21)","female",3.02,0.00153270855454504,108305
"[20,21)","female",3.03,0.00155117492267208,108305
"[20,21)","female",3.04,0.00157887447486266,108305
"[20,21)","female",3.05,0.00158810765892618,108305
"[20,21)","female",3.06,0.00160657402705323,108305
"[20,21)","female",3.07,0.00165273994737085,108305
"[20,21)","female",3.08,0.0016712063154979,108305
"[20,21)","female",3.09,0.00177277134019667,108305
"[20,21)","female",3.1,0.00180047089238724,108305
"[20,21)","female",3.11,0.00183740362864134,108305
"[20,21)","female",3.13,0.00187433636489543,108305
"[20,21)","female",3.14,0.00191126910114953,108305
"[20,21)","female",3.15,0.00195743502146715,108305
"[20,21)","female",3.16,0.0020128341258483,108305
"[20,21)","female",3.17,0.00204053367803887,108305
"[20,21)","female",3.18,0.00209593278242002,108305
"[20,21)","female",3.19,0.00212363233461059,108305
"[20,21)","female",3.2,0.00222519735930936,108305
"[20,21)","female",3.21,0.00227136327962698,108305
"[20,21)","female",3.22,0.00234522875213517,108305
"[20,21)","female",3.23,0.00237292830432575,108305
"[20,21)","female",3.24,0.00241909422464337,108305
"[20,21)","female",3.25,0.00250219288121509,108305
"[20,21)","female",3.26,0.00255759198559623,108305
"[20,21)","female",3.27,0.00260375790591385,108305
"[20,21)","female",3.28,0.002659157010295,108305
"[20,21)","female",3.29,0.00285305387562901,108305
"[20,21)","female",3.3,0.00289921979594663,108305
"[20,21)","female",3.31,0.0029269193481372,108305
"[20,21)","female",3.32,0.00295461890032778,108305
"[20,21)","female",3.33,0.00302848437283597,108305
"[20,21)","female",3.34,0.00307465029315359,108305
"[20,21)","female",3.35,0.00313004939753474,108305
"[20,21)","female",3.36,0.00318544850191589,108305
"[20,21)","female",3.38,0.00324084760629703,108305
"[20,21)","female",3.39,0.00329624671067818,108305
"[20,21)","female",3.4,0.00358247541664743,108305
"[20,21)","female",3.41,0.00366557407321915,108305
"[20,21)","female",3.42,0.00374867272979087,108305
"[20,21)","female",3.43,0.00380407183417201,108305
"[20,21)","female",3.44,0.00385947093855316,108305
"[20,21)","female",3.45,0.00390563685887078,108305
"[20,21)","female",3.46,0.0039887355154425,108305
"[20,21)","female",3.47,0.00406260098795069,108305
"[20,21)","female",3.48,0.00409953372420479,108305
"[20,21)","female",3.49,0.00420109874890356,108305
"[20,21)","female",3.5,0.00458889247957158,108305
"[20,21)","female",3.51,0.00466275795207977,108305
"[20,21)","female",3.52,0.00474585660865149,108305
"[20,21)","female",3.53,0.00485665481741379,108305
"[20,21)","female",3.54,0.00502285213055722,108305
"[20,21)","female",3.55,0.00515211670744656,108305
"[20,21)","female",3.56,0.00529061446839943,108305
"[20,21)","female",3.57,0.00546604496560639,108305
"[20,21)","female",3.58,0.00561377591062278,108305
"[20,21)","female",3.59,0.00609390148192604,108305
"[20,21)","female",3.6,0.00622316605881538,108305
"[20,21)","female",3.61,0.00647246202853054,108305
"[20,21)","female",3.63,0.00662019297354693,108305
"[20,21)","female",3.64,0.00681408983888094,108305
"[20,21)","female",3.65,0.00708185217672314,108305
"[20,21)","female",3.66,0.00734038133050182,108305
"[20,21)","female",3.67,0.00751581182770879,108305
"[20,21)","female",3.68,0.00788513919024976,108305
"[20,21)","female",3.69,0.00816213471215549,108305
"[20,21)","female",3.7,0.00904852038225382,108305
"[20,21)","female",3.71,0.00933474908822307,108305
"[20,21)","female",3.72,0.00975947555514519,108305
"[20,21)","female",3.73,0.0102396011264485,108305
"[20,21)","female",3.74,0.0106827939614976,108305
"[20,21)","female",3.75,0.0117723096809935,108305
"[20,21)","female",3.76,0.0122893679885509,108305
"[20,21)","female",3.77,0.0129449240570611,108305
"[20,21)","female",3.78,0.0136004801255713,108305
"[20,21)","female",3.79,0.0155579151470385,108305
"[20,21)","female",3.8,0.0161673052952311,108305
"[20,21)","female",3.81,0.0169336595725036,108305
"[20,21)","female",3.82,0.0176907806657126,108305
"[20,21)","female",3.83,0.0185402335995568,108305
"[20,21)","female",3.84,0.0193804533493375,108305
"[20,21)","female",3.85,0.0206269331979133,108305
"[20,21)","female",3.86,0.0217903143899174,108305
"[20,21)","female",3.88,0.0229444623978579,108305
"[20,21)","female",3.89,0.0241724758783066,108305
"[20,21)","female",3.9,0.0275333548774295,108305
"[20,21)","female",3.91,0.028881399750704,108305
"[20,21)","female",3.92,0.0304510410415032,108305
"[20,21)","female",3.93,0.031891417755413,108305
"[20,21)","female",3.94,0.033793453672499,108305
"[20,21)","female",3.95,0.0354831263561239,108305
"[20,21)","female",3.96,0.0372189649600665,108305
"[20,21)","female",3.97,0.0391763999815336,108305
"[20,21)","female",3.98,0.0412354000276996,108305
"[20,21)","female",3.99,0.0435436960435806,108305
"[20,21)","female",4,0.0499053598633489,108305
"[20,21)","female",4.01,0.0551221088592401,108305
"[20,21)","female",4.03,0.0603296246710678,108305
"[20,21)","female",4.05,0.0667097548589631,108305
"[20,21)","female",4.07,0.0740224366372744,108305
"[20,21)","female",4.09,0.0861917732329994,108305
"[20,21)","female",4.11,0.094584737546743,108305
"[20,21)","female",4.13,0.104122616684364,108305
"[20,21)","female",4.15,0.113688195374175,108305
"[20,21)","female",4.17,0.123909330132496,108305
"[20,21)","female",4.19,0.142837357462721,108305
"[20,21)","female",4.21,0.155412954157241,108305
"[20,21)","female",4.23,0.168505609159319,108305
"[20,21)","female",4.25,0.175218133973501,108305
"[20,21)","female",4.26,0.189658833848853,108305
"[20,21)","female",4.28,0.204302663773602,108305
"[20,21)","female",4.3,0.229370758506071,108305
"[20,21)","female",4.32,0.245704261114445,108305
"[20,21)","female",4.34,0.263745902774572,108305
"[20,21)","female",4.36,0.282267670006002,108305
"[20,21)","female",4.38,0.30154655833064,108305
"[20,21)","female",4.4,0.329532339227183,108305
"[20,21)","female",4.42,0.350233137897604,108305
"[20,21)","female",4.44,0.371007802040534,108305
"[20,21)","female",4.46,0.391994829416924,108305
"[20,21)","female",4.48,0.414089838880938,108305
"[20,21)","female",4.5,0.436138682424634,108305
"[20,21)","female",4.51,0.457513503531693,108305
"[20,21)","female",4.53,0.478842158718434,108305
"[20,21)","female",4.55,0.500032316144222,108305
"[20,21)","female",4.57,0.520631549789945,108305
"[20,21)","female",4.59,0.549291353123125,108305
"[20,21)","female",4.61,0.570481510548913,108305
"[20,21)","female",4.63,0.591062277826508,108305
"[20,21)","female",4.65,0.611476847790961,108305
"[20,21)","female",4.67,0.631789852730714,108305
"[20,21)","female",4.69,0.659415539448779,108305
"[20,21)","female",4.71,0.678048104888971,108305
"[20,21)","female",4.73,0.696902266746688,108305
"[20,21)","female",4.75,0.706320114491482,108305
"[20,21)","female",4.76,0.723687733714972,108305
"[20,21)","female",4.78,0.740168967268363,108305
"[20,21)","female",4.8,0.762817967776188,108305
"[20,21)","female",4.82,0.777960389640368,108305
"[20,21)","female",4.84,0.791662434790638,108305
"[20,21)","female",4.86,0.805253681732145,108305
"[20,21)","female",4.88,0.818475601311112,108305
"[20,21)","female",4.9,0.834550574765708,108305
"[20,21)","female",4.92,0.845879691611652,108305
"[20,21)","female",4.94,0.856313189603435,108305
"[20,21)","female",4.96,0.866691288490836,108305
"[20,21)","female",4.98,0.875942938922487,108305
"[20,21)","female",5,0.884003508609944,108305
"[20,21)","female",5.01,0.892747333918102,108305
"[20,21)","female",5.03,0.900835603157749,108305
"[20,21)","female",5.05,0.907843589861964,108305
"[20,21)","female",5.07,0.915257836664974,108305
"[20,21)","female",5.09,0.922939845805826,108305
"[20,21)","female",5.11,0.928655186741148,108305
"[20,21)","female",5.13,0.933955034393611,108305
"[20,21)","female",5.15,0.938940953787914,108305
"[20,21)","female",5.17,0.943086653432436,108305
"[20,21)","female",5.19,0.948460366557407,108305
"[20,21)","female",5.21,0.952052075158118,108305
"[20,21)","female",5.23,0.955588384654448,108305
"[20,21)","female",5.25,0.957194958681501,108305
"[20,21)","female",5.26,0.960325008079036,108305
"[20,21)","female",5.28,0.963058030561839,108305
"[20,21)","female",5.3,0.966603573242233,108305
"[20,21)","female",5.32,0.969087299755321,108305
"[20,21)","female",5.34,0.971118600249296,108305
"[20,21)","female",5.36,0.973279165320161,108305
"[20,21)","female",5.38,0.974996537555976,108305
"[20,21)","female",5.4,0.976880107104935,108305
"[20,21)","female",5.42,0.978209685610083,108305
"[20,21)","female",5.44,0.979520797747103,108305
"[20,21)","female",5.46,0.98097964082914,108305
"[20,21)","female",5.48,0.98213378883708,108305
"[20,21)","female",5.5,0.982983241770925,108305
"[20,21)","female",5.51,0.984008125201976,108305
"[20,21)","female",5.53,0.984894510872074,108305
"[20,21)","female",5.55,0.9857993629103,108305
"[20,21)","female",5.57,0.986685748580398,108305
"[20,21)","female",5.59,0.987609066986751,108305
"[20,21)","female",5.61,0.988356954895896,108305
"[20,21)","female",5.63,0.989012510964406,108305
"[20,21)","female",5.65,0.989760398873552,108305
"[20,21)","female",5.67,0.990379022205808,108305
"[20,21)","female",5.69,0.991163842851207,108305
"[20,21)","female",5.71,0.991708600710955,108305
"[20,21)","female",5.73,0.992216425834449,108305
"[20,21)","female",5.75,0.992391856331656,108305
"[20,21)","female",5.76,0.992871981902959,108305
"[20,21)","female",5.78,0.99339827339458,108305
"[20,21)","female",5.8,0.993887632149947,108305
"[20,21)","female",5.82,0.99418309403998,108305
"[20,21)","female",5.84,0.994617053690965,108305
"[20,21)","female",5.86,0.994866349660681,108305
"[20,21)","female",5.88,0.995272609759476,108305
"[20,21)","female",5.9,0.995660403490144,108305
"[20,21)","female",5.92,0.995937399012049,108305
"[20,21)","female",5.94,0.996223627718019,108305
"[20,21)","female",5.96,0.996426757767416,108305
"[20,21)","female",5.98,0.996629887816814,108305
"[20,21)","female",6,0.99677761876183,108305
