"age","gender","value","quant","n"
"[20,21)","female",0,0,14604
"[20,21)","female",10.8,0.0000684743905779239,14604
"[20,21)","female",11,0.000273897562311695,14604
"[20,21)","female",11.1,0.000821692686935086,14604
"[20,21)","female",11.3,0.00219118049849356,14604
"[20,21)","female",11.5,0.00362914270062996,14604
"[20,21)","female",11.6,0.00938099150917557,14604
"[20,21)","female",11.8,0.0299233086825527,14604
"[20,21)","female",12,0.0460832648589428,14604
"[20,21)","female",12.1,0.0861407833470282,14604
"[20,21)","female",12.3,0.143933168994796,14604
"[20,21)","female",12.5,0.175842235004108,14604
"[20,21)","female",12.6,0.252738975623117,14604
"[20,21)","female",12.8,0.335387565050671,14604
"[20,21)","female",13,0.393933168994796,14604
"[20,21)","female",13.1,0.480690221857025,14604
"[20,21)","female",13.3,0.553889345384826,14604
"[20,21)","female",13.5,0.582990961380444,14604
"[20,21)","female",13.6,0.639961654341276,14604
"[20,21)","female",13.8,0.685428649685018,14604
"[20,21)","female",14,0.71603670227335,14604
"[20,21)","female",14.1,0.752122706107916,14604
"[20,21)","female",14.3,0.780402629416598,14604
"[20,21)","female",14.5,0.79354971240756,14604
"[20,21)","female",14.6,0.819296083264859,14604
"[20,21)","female",14.8,0.837989591892632,14604
"[20,21)","female",15,0.85257463708573,14604
"[20,21)","female",15.1,0.868460695699808,14604
"[20,21)","female",15.3,0.883182689674062,14604
"[20,21)","female",15.5,0.889619282388387,14604
"[20,21)","female",15.6,0.901122980005478,14604
"[20,21)","female",15.8,0.91228430566968,14604
"[20,21)","female",16,0.919748014242673,14604
"[20,21)","female",16.1,0.924198849630238,14604
"[20,21)","female",16.2,0.932895097233635,14604
"[20,21)","female",16.3,0.936250342371953,14604
"[20,21)","female",16.5,0.939605587510271,14604
"[20,21)","female",16.6,0.943166255820323,14604
"[20,21)","female",16.7,0.94919200219118,14604
"[20,21)","female",16.8,0.952067926595453,14604
"[20,21)","female",17,0.955765543686661,14604
"[20,21)","female",17.1,0.958709942481512,14604
"[20,21)","female",17.2,0.964735688852369,14604
"[20,21)","female",17.3,0.966516023007395,14604
"[20,21)","female",17.5,0.968364831552999,14604
"[20,21)","female",17.6,0.970419063270337,14604
"[20,21)","female",17.7,0.973842782799233,14604
"[20,21)","female",17.8,0.975075321829636,14604
"[20,21)","female",18,0.976992604765818,14604
"[20,21)","female",18.1,0.978362092577376,14604
"[20,21)","female",18.2,0.980347849904136,14604
"[20,21)","female",18.3,0.980964119419337,14604
"[20,21)","female",18.5,0.982059709668584,14604
"[20,21)","female",18.6,0.983292248698987,14604
"[20,21)","female",18.7,0.985004108463435,14604
"[20,21)","female",18.8,0.985757326759792,14604
"[20,21)","female",19,0.986373596274993,14604
"[20,21)","female",19.1,0.987263763352506,14604
"[20,21)","female",19.2,0.988496302382909,14604
"[20,21)","female",19.3,0.989044097507532,14604
"[20,21)","female",19.5,0.989523418241578,14604
"[20,21)","female",19.6,0.989934264585045,14604
"[20,21)","female",19.7,0.99075595727198,14604
"[20,21)","female",19.8,0.991235278006026,14604
"[20,21)","female",20,0.991988496302383,14604
"[20,21)","female",20.1,0.992467817036428,14604
"[20,21)","female",20.2,0.993152560942208,14604
"[20,21)","female",20.3,0.993563407285675,14604
"[20,21)","female",20.5,0.993974253629143,14604
"[20,21)","female",20.6,0.994179676800876,14604
"[20,21)","female",20.7,0.994590523144344,14604
"[20,21)","female",20.8,0.994932895097234,14604
"[20,21)","female",21,0.995206792659545,14604
"[20,21)","female",21.1,0.995549164612435,14604
"[20,21)","female",21.2,0.99602848534648,14604
