week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",497,21.6150905428758,17.9074151621241,13,14,16,19,23,28,33,0.574719119743937,0.288673596128285,0.0852740257978439,0.148638144135475,0.329106539487839,0.621358811855316,0.834860265254974,0.930117845535278,0.959006059169769,22.8550825500951,1.43289504059047,20.3309589041096,20.7423287671233,21.6832191780822,22.9631278538813,24.1598173515982,24.6351369863014,24.7770091324201,161,23.7716888164141,5.59003628133577,17.8174495697021,18.3143005371094,20.0692005157471,22.4995994567871,25.7117004394531,32.1310997009277,35.8749008178711,464,3095.11422413793,493.542930324906,2291.75,2523,2823,3121,3406.25,3675.8,3880
"[-60,-59)","[25,30)",849,20.0358068322405,10.7954956249673,12,14,16,18,22,26,32,0.533898544260981,0.286200964605734,0.0492514818906784,0.152307614684105,0.335684657096863,0.540129542350769,0.801791489124298,0.90533834695816,0.952939033508301,27.684038030237,1.44632467666828,25.2360502283105,25.6036301369863,26.4804794520548,27.77899543379,28.97899543379,29.6159360730594,29.8193835616438,263,24.4735550350613,5.23996362679635,17.8617404937744,19.1418201446533,20.6093001365662,23.6243991851807,26.9011254310608,31.5325008392334,34.885831451416,789,3171.80228136882,555.410566523501,2170.4,2492.4,2892,3216,3495,3826.8,4018.8
"[-60,-59)","[30,35]",775,20.8749677436583,14.8753405006337,12,14,15,18,22,28,36,0.531139294669979,0.288033284642,0.050687163323164,0.159845635294914,0.249494209885597,0.542506635189056,0.797443747520447,0.921775221824646,0.963265681266785,32.2911880983945,1.42270764818834,30.1884132420091,30.3976712328767,31.0792808219178,32.2448630136986,33.5133561643836,34.3880365296804,34.6270776255708,193,24.5363322544592,5.22509427469657,18.7968399047852,19.2288795471191,20.6396007537842,23.0111999511719,27.0051002502441,30.9357803344727,34.5114204406738,729,3175.2633744856,540.374416686178,2206.8,2605,2894,3210,3520,3770.8,3958
"[-59,-58)","[20,25)",489,19.8730061361395,6.51194735533586,12,14,16,19,23,28,31,0.552547618315973,0.290234113979677,0.047433152794838,0.138848036527634,0.329106539487839,0.610314130783081,0.834860265254974,0.927851557731628,0.950816988945007,22.8778172302061,1.42458856440365,20.3488584474886,20.6851369863014,21.8720319634703,23.0631278538813,24.1167808219178,24.6653652968037,24.8207534246575,169,23.4377064704895,4.80036982621084,17.3368000030518,18.5909004211426,20.3125,22.6756992340088,25.4619998931885,29.8279800415039,31.8816612243652,451,3111.29711751663,512.241258666814,2336.5,2495,2865.5,3148,3405,3678,3819
"[-59,-58)","[25,30)",893,20.2657334839243,11.9334294857334,13,13.0799999237061,16,18,22,27,33,0.528240881466556,0.289336546595928,0.0880950689315796,0.0930252522230148,0.335684657096863,0.539551019668579,0.798389732837677,0.916319668292999,0.955052971839905,27.5357149979291,1.41282196295004,25.2448858447489,25.5477853881279,26.3440639269406,27.5434931506849,28.7084474885845,29.4965068493151,29.75,264,24.4532231995554,5.28857513079764,18.3603147506714,18.8335996627808,20.5386500358582,23.4375,26.5736742019653,32.0244997978211,35.1233940124512,839,3173.9189511323,528.947137782999,2301.2,2635.2,2898,3200,3500,3787,3940
"[-59,-58)","[30,35]",793,20.5523329141913,11.0278010812772,13,14,16,18,22,28,35,0.546843755892532,0.284550764653451,0.0938891470432281,0.160511910915375,0.345575898885727,0.543607950210571,0.799321532249451,0.923410356044769,0.960249066352844,32.3072607346243,1.4610702388786,30.2040410958904,30.3586301369863,31.000799086758,32.324200913242,33.57899543379,34.3663698630137,34.7000456621005,242,24.641930202873,5.20396907960082,18.3593997955322,19.2436105728149,21.1810998916626,23.2762498855591,27.2418372631073,32.3450912475586,35.6433586120605,735,3168.17414965986,533.365441724731,2324.8,2537.2,2848,3194,3540,3805,3949.6
"[-58,-57)","[20,25)",465,20.3870967741935,7.72616225224025,13,14,17,19,22,27.6,32,0.580068904050295,0.276457426038577,0.0834733992815018,0.148638144135475,0.420293182134628,0.621358811855316,0.803874373435974,0.926397585868836,0.954935431480408,22.7926940639269,1.37947212710399,20.4661872146119,20.9670091324201,21.6022831050228,22.8202054794521,23.9880136986301,24.6395205479452,24.8240182648402,179,22.5793815501797,4.22441718179063,17.1509149551392,18.18537940979,19.9432992935181,21.5644998550415,24.4398002624512,28.5192600250244,29.867995262146,434,3106.47465437788,513.929511933323,2253,2480,2850.5,3141,3400,3682.9,3915.25
"[-58,-57)","[25,30)",852,20.4638497650344,11.7069127275863,12,14,16,18,22,28,34,0.54543478610067,0.289627005427198,0.0499666519463062,0.152307614684105,0.335684657096863,0.541924715042114,0.801791489124298,0.92706286907196,0.960323747992516,27.6262326623363,1.37530488016723,25.3794863013699,25.6781621004566,26.5202054794521,27.6888127853881,28.7799372146119,29.5112899543379,29.7498801369863,221,23.858844294771,5.23070468432186,18.1312007904053,18.8189496994019,20.3125,22.4913005828857,25.3901996612549,32.6669006347656,36.1682014465332,797,3166.59222082811,540.760390180022,2309.2,2545,2868,3194,3505,3802.4,3962.4
"[-58,-57)","[30,35]",802,20.6073566089545,21.1168252314343,12,13,16,18,21,26,31.9499999999999,0.522818635225974,0.278981666752156,0.0507943667471409,0.0956117212772369,0.344672322273254,0.541955649852753,0.754899203777313,0.899284183979034,0.949526929855346,32.2760121670709,1.3960600152672,30.2314155251142,30.4330365296804,31.0701198630137,32.202397260274,33.5063926940639,34.2417237442922,34.5157648401827,245,24.6790276851784,5.59798649784115,18.2357997894287,19.1624797821045,20.6193008422852,23.3090991973877,27.1415996551514,33.1535194396973,36.8518409729004,748,3178.88101604278,528.04692097411,2297,2564.1,2893.75,3234.5,3504.5,3771.2,3920.85
"[-57,-56)","[20,25)",473,20.9147991519146,11.4088295063431,13,14,16,19,22,28,34,0.561960112097738,0.28230251739531,0.0857241824269295,0.148638144135475,0.329200923442841,0.618274629116058,0.801810681819916,0.929972648620605,0.962748885154724,22.9403359012231,1.37587384473582,20.5374657534247,20.8201826484018,21.8688356164384,23.1732876712329,24.0940639269406,24.675502283105,24.8365753424658,167,23.4097096582135,4.83630148681251,18.0906945228577,18.8730003356934,20.1845006942749,21.8548994064331,25.3966999053955,30.837140083313,34.1360952377319,448,3073.81696428571,626.350819408193,1910,2372.8,2838,3141,3435,3737.7,3927.2
"[-57,-56)","[25,30)",866,19.847344107771,8.12843712270341,13,14,16,18,22,27,32,0.538906835946878,0.282064363802811,0.0880950689315796,0.152307614684105,0.336729168891907,0.540129542350769,0.801071435213089,0.915565937757492,0.950169205665588,27.5824236504371,1.37998793418815,25.4091609589041,25.6681506849315,26.4146689497717,27.589897260274,28.7658961187215,29.5283675799087,29.7588755707763,259,23.5468971343969,5.06385995458588,17.4423454284668,18.5818996429443,19.9066495895386,22.3080997467041,25.9890664418538,29.6474601745606,33.8716293334961,831,3160.1504211793,549.316745589248,2279.5,2556,2879,3195,3503.5,3775,3964.5
"[-57,-56)","[30,35]",839,19.5970202617623,8.41211640035491,12.9,14,15,18,22,26,30.0999999999999,0.524867058342963,0.28006663365437,0.0895796690136197,0.159845635294914,0.249494209885597,0.541955649852753,0.797443747520447,0.899284183979034,0.939308404922485,32.3135076003723,1.44066320414548,30.2178767123288,30.4580593607306,31.0587328767123,32.2092465753425,33.550799086758,34.4142237442922,34.7190639269406,214,25.7403278563041,5.42894646391165,18.7411973953247,19.8592147827148,21.3823747634888,24.9452495574951,28.1695410410563,33.7409799575806,35.8904592514038,784,3212.3431122449,556.878754539742,2240,2566.5,2895,3247.5,3554.25,3891.3,4103.5
"[-56,-55)","[20,25)",507,21.0958579889181,12.5535958746997,13,14,16,19,22,29,34.7,0.571550336674442,0.28485318014164,0.0857084020972252,0.146802455186844,0.330037191510201,0.62224817276001,0.803642809391022,0.936615467071533,0.964824324846268,22.9007878288437,1.3800292986123,20.4701712328767,20.8310045662101,21.8409246575342,23.1150684931507,24.060502283105,24.670296803653,24.8454223744292,163,23.8351797852779,4.83702901020097,17.3771889368693,18.6062206268311,20.4450750350952,22.9398002624512,26.2549505233765,29.9985195159912,33.9592113494873,479,3119.85803757829,514.618830275346,2242.5,2525,2858,3150,3451,3704.4,3837.9
"[-56,-55)","[25,30)",902,20.3123059917712,10.1927774663739,13,14,16,18,22,27,35,0.541864675996276,0.287091130943727,0.0880950689315796,0.152307614684105,0.335684657096863,0.540129542350769,0.798911273479462,0.918623459339142,0.963756200671196,27.6341681094271,1.41836193631727,25.3168321917808,25.5840639269406,26.4611015981735,27.6835045662101,28.9043378995434,29.5184931506849,29.7349942922374,273,24.3881964465783,5.17456299275518,18.0992298126221,18.8409404754639,20.4491004943848,23.1445503234863,27.4347991943359,31.7953205108643,34.8898811340332,853,3194.5123094959,558.598286710919,2320,2580,2920,3226,3528,3830,4050
"[-56,-55)","[30,35]",794,21.4720403013061,19.1200013220969,12,13.1800001144409,16,19,22,29,36,0.553369082508419,0.292734267660814,0.0506692960858345,0.0956117212772369,0.344672322273254,0.626699686050415,0.799431025981903,0.931912660598755,0.963218331336975,32.1642124725395,1.43700294529483,30.163299086758,30.3629223744292,30.9761700913242,31.9202054794521,33.3690068493151,34.3254109589041,34.645747716895,243,24.7249858164166,5.43638214389656,18.4273469289144,19.3394599914551,21.0117745399475,23.622200012207,26.7196502685547,31.9687801361084,36.1204978307088,742,3204.06334231806,574.277458395506,2285.35,2522.8,2885,3243,3580,3920,4044.65
