week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",892,0.471928256413494,0.302170752468012,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1,0.517621486065617,0.29198671214663,0.0559139139950275,0.164734974503517,0.327368855476379,0.501896321773529,0.765742480754852,0.926068961620331,0.95405493080616,22.8724160216639,1.42035265830061,20.3634075342466,20.7336643835616,21.7415810502283,23.0478310502283,24.1055365296804,24.6545547945206,24.8450684931507,271,23.5171327835519,5.06860250785239,17.7536249160767,18.3593997955322,20.2223248481751,22.4913005828857,25.342399597168,30.1103000640869,33.6605669657389,821,3123.25822168088,504.107536989881,2310,2540,2844,3155,3435,3716,3880
"[-60,-59)","[25,30)",1526,0.480000004933983,0.307877129262413,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.522762449804283,0.281441376527037,0.0541019476950169,0.161187648773193,0.320862412452698,0.496377646923065,0.759293496608734,0.89048171043396,0.952399790287018,27.6198538124562,1.42791313113845,25.2787385844749,25.6009703196347,26.4275399543379,27.6460616438356,28.8572203196347,29.5894406392694,29.7853595890411,405,24.1623522712697,5.04652997367766,18.0124996185303,19.0394596099854,20.4466991424561,23.1473007202148,26.8351993560791,31.2213798522949,34.0847943878174,1426,3147.87026647966,571.713555439428,2127,2480,2861.25,3190,3505,3823.5,4000
"[-60,-59)","[30,35]",1292,0.479326630766639,0.315625248609311,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.520918562885766,0.290762262385104,0.0530627183616161,0.161275863647461,0.322745233774185,0.497432947158814,0.760421991348267,0.891784429550171,0.95215231180191,32.329073451659,1.40678752893975,30.2110216894977,30.4184246575343,31.1483447488585,32.2962328767123,33.4838184931507,34.387899543379,34.6352910958904,296,24.8145212260452,5.30905203230596,18.6793255805969,19.2494506835938,20.6602913538615,23.5921497344971,27.8994255065918,31.8126834233602,34.5867500305176,1216,3160.22203947368,541.156309656406,2205.5,2572.5,2874,3190,3500,3800,3968.5
"[-59,-58)","[20,25)",893,0.470996645445052,0.317605270066597,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1,0.518572062746208,0.2863707786202,0.0559139139950275,0.164734974503517,0.327368855476379,0.501896321773529,0.765742480754852,0.926068961620331,0.952649593353271,22.8708401724217,1.4066937173419,20.333698630137,20.748401826484,21.8393835616438,22.9543378995434,24.1135844748858,24.6403881278539,24.8196575342466,274,23.225849272851,4.50429911498001,17.42649974823,18.6150405883789,20.1509623527527,22.1865997314453,25.2362995147705,29.2503848075867,31.6374097824097,827,3127.74244256348,503.066509522094,2286.5,2505,2867,3170,3445,3703.2,3842.8
"[-59,-58)","[25,30)",1616,0.491547035071814,0.54904811813953,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.528303828422962,0.284601063098662,0.0542401857674122,0.161187648773193,0.320862412452698,0.496377646923065,0.759293496608734,0.89048171043396,0.952318549156189,27.6009571804783,1.41585647035373,25.3364155251142,25.6211187214612,26.4374143835616,27.6063356164384,28.8120433789954,29.5724885844749,29.7853310502283,421,24.2405054909411,5.25945739807145,18.3593997955322,18.8188991546631,20.3856000900269,23.0701007843018,26.5730991363525,31.7220001220703,34.9494018554688,1492,3157.79758713137,526.917573589094,2267.45,2574.1,2886,3170,3486.25,3766,3920.9
"[-59,-58)","[30,35]",1334,0.485344833218265,0.298806315736135,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1,0.529657258280041,0.286781963434378,0.0533388666808605,0.162074074149132,0.322745233774185,0.497432947158814,0.760421991348267,0.925258576869965,0.952785432338715,32.2880877198387,1.41800067159468,30.2068550228311,30.3802511415525,31.0427796803653,32.2337899543379,33.4529680365297,34.2995091324201,34.6752739726028,361,24.7917289237677,5.28447444773964,18.3593997955322,19.1368007659912,20.8696333567301,23.4375,27.9229249954224,31.7073993682861,35.6512985229492,1243,3162.21480289622,573.992618668859,2241,2545,2840,3198,3547,3820,3969.6
"[-58,-57)","[20,25)",912,0.462500005421278,0.289739462556912,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.516361945716199,0.281415880452823,0.0559139139950275,0.164734974503517,0.327368855476379,0.504994988441467,0.765742480754852,0.893623054027557,0.95258042216301,22.7344154299848,1.43676720703006,20.2977568493151,20.6205251141553,21.5323344748858,22.833904109589,23.973544520548,24.6476369863014,24.8105707762557,287,22.677245527139,4.08110879886059,17.2810202598572,18.1397396087647,19.8236999511719,22.0386009216309,24.5225744247437,28.3553997039795,29.9907404899597,856,3134.27336448598,516.971274138004,2318.75,2505,2860,3189,3448.5,3714,3913.75
"[-58,-57)","[25,30)",1533,0.498532294583083,0.351427336359216,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1.10000002384186,0.5306246475124,0.285358508483861,0.0542401857674122,0.161187648773193,0.320862412452698,0.496377646923065,0.759293496608734,0.925041735172272,0.967001271247864,27.5468481087312,1.40394192761364,25.2837899543379,25.5826712328767,26.3851598173516,27.5599315068493,28.7625570776256,29.4771689497717,29.7269406392694,363,23.9539548558262,5.28391667031871,18.1314507484436,18.8245197296143,20.4327249526978,22.4913005828857,25.7541097640991,32.4479404449463,36.0412598800659,1431,3179.84696016771,507.824795983396,2316.5,2575,2900.5,3200,3506,3784,3942
"[-58,-57)","[30,35]",1370,0.491788327065806,0.519805070256643,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.529090124148413,0.282601919528503,0.0533388666808605,0.162074074149132,0.322745233774185,0.497515767812729,0.760559633374214,0.890933275222778,0.952785432338715,32.2163284504883,1.41064852055027,30.1914897260274,30.4010159817352,30.9673515981735,32.1105593607306,33.3715182648402,34.2639269406393,34.6028595890411,367,24.5824347434966,5.46493346101072,17.9292798995972,18.6864402770996,20.6654996871948,23.3843994140625,27.1612501144409,32.4419395446778,35.5529899597168,1279,3176.28616106333,521.186885270508,2268,2550,2895,3210,3505.5,3778.4,3950.4
"[-57,-56)","[20,25)",897,0.458974364360041,0.307514255088059,0.100000001490116,0.100000001490116,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.506537286765093,0.288304866328581,0.0559139139950275,0.057386502623558,0.327368855476379,0.501896321773529,0.765742480754852,0.894020080566406,0.952649593353271,22.8936444668428,1.39299372651948,20.4692694063927,20.7670547945206,21.7845890410959,23.0748858447489,24.1052511415525,24.6375799086758,24.8531050228311,261,23.2133910579852,4.58645875482933,18.0651998519897,18.6214008331299,20.1119499206543,21.8469003041585,25.1485996246338,29.7210998535156,32.9277505874634,847,3105.40141676505,568.064454104376,2028,2527.4,2855,3154,3446.5,3727.6,3888.8
"[-57,-56)","[25,30)",1563,0.477703139757927,0.308224700778179,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.519016255152675,0.289062884482616,0.0541019476950169,0.161087453365326,0.32057848572731,0.496377646923065,0.759293496608734,0.89048171043396,0.952318549156189,27.6131401239275,1.40074897342486,25.300399543379,25.6535159817352,26.4142694063927,27.7187214611872,28.7984589041096,29.5443378995434,29.7566324200913,394,23.4904100860695,4.8891945916337,17.731400346756,18.6868900299072,20.0071997642517,22.3147497177124,25.6308746337891,29.6812000274658,33.6968282699585,1481,3169.43889264011,547.006712691521,2310,2556,2890,3195,3510,3800,3970
"[-57,-56)","[30,35]",1362,0.489926583749505,0.306789676488209,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1.10000002384186,0.532917147950414,0.285821984415528,0.0530765257775784,0.162074074149132,0.322745233774185,0.497515767812729,0.76060551404953,0.925291001796722,0.967042326927185,32.2860700420413,1.42985465080304,30.2310559360731,30.4273173515982,31.0404109589041,32.1608447488585,33.4737157534247,34.4082648401827,34.6885273972603,328,25.2589614660233,5.44911019269923,18.2419445991516,19.3538595199585,21.0313506126404,24.4154500961304,27.9423503875732,32.9395893096924,35.5426996231079,1278,3195.34663536776,546.026675481284,2261.65,2589.4,2906,3235,3530,3847.3,4023.2
"[-56,-55)","[20,25)",978,0.460071580419755,0.2856752213544,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1,0.510746073216802,0.288670848283285,0.0560336001217365,0.164734974503517,0.327368855476379,0.501896321773529,0.765742480754852,0.893623054027557,0.953741192817688,22.78200152207,1.41391652109521,20.359446347032,20.7028652968037,21.6595034246575,22.9320776255708,23.9682363013699,24.6319520547945,24.8122831050228,291,23.3481476282336,4.5209394887721,17.9509992599487,18.6709003448486,20.3099498748779,22.6410007476807,25.3447999954224,28.9062995910645,31.2432498931885,915,3090.77595628415,529.52743999318,2105.7,2454,2835.5,3120,3432.5,3691.2,3832.9
