week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",140,3.0214285671711,0.461587131486397,2.40000009536743,2.5,2.70000004768372,3,3.29999995231628,3.59999990463257,3.90500009059906,0.53562106340791,0.303092689000378,0.0768003836274147,0.126370802521706,0.26761719584465,0.571263700723648,0.817583620548248,0.94674146771431,0.986090549826622,22.8937190150033,1.34837724708036,20.4641324200913,20.897397260274,22.0249143835616,22.9571917808219,24.152796803653,24.524600456621,24.7183447488584,40,23.8131587584813,5.10513428078107,17.9873477458954,18.3300798416138,20.5261500676473,23.2658500671387,26.4252870082855,29.1007099151611,33.3783893585205,134,3070.73880597015,547.925341068498,2157.4,2395,2831.5,3098,3451.25,3750,3872.3
"[-60,-59)","[25,30)",165,3.03151515902895,0.385848147421353,2.40000009536743,2.53999996185303,2.70000004768372,3,3.29999995231628,3.46000003814697,3.70000004768372,0.558134367757223,0.278433917930582,0.0804195776581764,0.155592411756516,0.275435835123062,0.565160632133484,0.809777557849884,0.896752536296844,0.962466478347778,27.7332440846824,1.46610984158387,25.4766666666667,25.721095890411,26.496803652968,27.7521689497717,29.0315068493151,29.712899543379,29.8049543378995,44,23.3502294583754,4.56487014850854,16.0634750843048,18.3449792861938,21.1459746360779,22.3665747642517,25.0143256187439,30.8509655952454,31.8595928192139,158,3190.44303797468,525.654865987118,2323.25,2636,2886.25,3235,3483.75,3888.6,4024.3
"[-60,-59)","[30,35]",170,3.0382352976238,0.424831824886878,2.40000009536743,2.5,2.70000004768372,3,3.40000009536743,3.59999990463257,3.70000004768372,0.543012325742337,0.300313455076759,0.0757549405097961,0.126708196848631,0.256925612688065,0.546917378902435,0.852036669850349,0.933625328540802,0.955396699905396,32.218963201719,1.43826618112462,30.180553652968,30.3224771689498,30.8969748858448,32.1247146118722,33.6276255707763,34.3108561643836,34.5292865296804,30,26.0710232416789,5.94134349145212,19.5216799736023,19.8270146369934,20.8056755065918,25.068874835968,29.9543504714966,34.3687397003174,35.4425594329834,161,3136.47826086957,592.571800364274,2150,2345,2850,3210,3545,3780,3960
"[-59,-58)","[20,25)",117,2.99316240273989,0.404868313999601,2.40000009536743,2.5,2.70000004768372,3,3.20000004768372,3.53999996185303,3.72000002861023,0.533352987929327,0.281429698614671,0.0763755813241005,0.127452880144119,0.273506432771683,0.569985508918762,0.749475300312042,0.927597892284393,0.967588198184967,22.7711889708465,1.45533731440521,20.3511415525114,20.636301369863,21.6783105022831,22.7845890410959,24.102397260274,24.677899543379,24.8229908675799,33,22.4720354947177,4.35309561146097,16.333150100708,18.5902996063232,18.8188991546631,21.3332996368408,24.7409000396729,28.6764595031738,31.2250400543213,113,3054.11504424779,503.25844951058,2308,2391,2745,3124,3400,3638,3744
"[-59,-58)","[25,30)",193,3.03056995547497,0.398758735108145,2.40000009536743,2.5,2.79999995231628,3,3.29999995231628,3.5,3.70000004768372,0.559524891799113,0.288661163142475,0.0773832201957703,0.132056832313538,0.345395296812058,0.565160632133484,0.810106754302979,0.914568483829498,0.963038158416748,27.5758949061916,1.39493985308741,25.2276484018265,25.562100456621,26.5433789954338,27.6036529680365,28.7849315068493,29.3773059360731,29.8074657534247,41,24.8097638835752,4.67061995042158,18.5119495391846,20.0776996612549,21.5561008453369,24.6711006164551,26.8136005401611,30.9468994140625,32.3080802917481,186,3153.47849462366,503.265146461711,2453.75,2652.5,2870,3131,3425,3770,3918.75
"[-59,-58)","[30,35]",153,3.0751633831099,0.546914921113267,2.29999995231628,2.5,2.70000004768372,3.09999990463257,3.29999995231628,3.59999990463257,3.94000005722046,0.554034138124229,0.305422794013951,0.0478474572300911,0.121833883225918,0.260969966650009,0.638291597366333,0.800023674964905,0.934869766235352,0.985885405540466,32.2655146685767,1.39933223952318,30.2502054794521,30.3422146118721,31.0235159817352,32.3109589041096,33.3820776255708,34.2711187214612,34.5136301369863,47,25.3742460315109,6.18153739979515,18.4491395950317,19.128239440918,21.508900642395,23.7387008666992,27.801100730896,35.0784591674805,39.1682704925537,145,3203.81379310345,570.390996332619,2489.6,2569,2870,3240,3578,3850.8,3958
"[-58,-57)","[20,25)",99,3.08181817844661,0.367663236011805,2.59999990463257,2.59999990463257,2.85000002384186,3.09999990463257,3.35000002384186,3.59999990463257,3.70000004768372,0.601888058377863,0.273951768498637,0.189696207642555,0.194411054253578,0.413979575037956,0.664910614490509,0.848688423633575,0.945867598056793,0.964020568132401,22.8008613532586,1.37589527348883,20.5949200913242,20.8099771689498,21.7040525114155,22.7571917808219,24.0680936073059,24.4936073059361,24.7605707762557,35,22.8153763771057,4.3032697544179,17.8322994232178,18.7380195617676,19.9286499023438,21.4529991149902,25.4430999755859,29.1147396087647,30.019212770462,93,3009.56989247312,550.616677953189,2204,2329.6,2685,3038,3350,3582,3768
"[-58,-57)","[25,30)",194,3.03195876559031,0.399234089077768,2.4650000333786,2.5,2.72500002384186,3,3.29999995231628,3.5,3.70000004768372,0.552877927962307,0.284192993187442,0.109553614258766,0.132316507399082,0.292925700545311,0.560979306697846,0.809735879302025,0.916871845722198,0.963293254375458,27.5908899402156,1.3140964679143,25.554446347032,25.8307305936073,26.5689212328767,27.6113584474886,28.6087614155251,29.4796461187215,29.7718835616438,41,22.5365724749681,3.391163837422,18.1337003707886,18.3143005371094,20.1408004760742,21.9363339742025,24.3864994049072,26.8922996520996,29.2968997955322,186,3118.36021505376,520.323261608362,2235.75,2487.5,2803.75,3187,3466.5,3714,3855
"[-58,-57)","[30,35]",172,3.03139534384705,0.418787333865519,2.35500003099442,2.5,2.70000004768372,3,3.29999995231628,3.59999990463257,3.70000004768372,0.548879817610087,0.298298325833997,0.0612026356160641,0.118049800395966,0.255839556455612,0.55485999584198,0.801113218069077,0.934063142538071,0.955299210548401,32.4583963841988,1.38531347830273,30.360553652968,30.5140639269406,31.3435502283105,32.4025684931507,33.7489155251142,34.3535273972603,34.5580479452055,42,24.8134502286003,5.95919022794273,18.8553141593933,19.4956592559814,20.7158999443054,22.4918994903564,27.2467124462128,30.485830116272,39.8852667808533,156,3238.60897435897,514.947320496654,2495.25,2667.5,2930,3270,3515,3810,4065
"[-57,-56)","[20,25)",102,3.04607841781541,0.401647986071943,2.5,2.59999990463257,2.79999995231628,3,3.27499997615814,3.5,3.70000004768372,0.564376676199483,0.264684359660431,0.127568712830544,0.194867487251759,0.36118433624506,0.575143694877625,0.799560844898224,0.918043273687363,0.965198466181755,22.7804414003044,1.45322046540225,20.2656278538813,20.6285844748858,21.6586757990868,23.0969748858448,23.9942636986301,24.4500342465753,24.8629337899543,29,23.1614301725366,5.04318398340442,17.8770793914795,18.930880355835,20.2847995758057,21.5645008087158,24.3864994049072,31.6236633300781,34.9947204589844,101,3053.22772277228,729.430940955868,1695,2334,2810,3090,3454,3825,4060
"[-57,-56)","[25,30)",209,3.0038277515384,0.461794878011102,2.29999995231628,2.40000009536743,2.70000004768372,3,3.29999995231628,3.59999990463257,3.79999995231628,0.540595255402233,0.30464796695762,0.043350700289011,0.0824406638741493,0.273439526557922,0.560979306697846,0.809777557849884,0.944333457946777,0.977408587932587,27.3741222608202,1.33323621162754,25.3276940639269,25.6042465753425,26.1707762557078,27.3132420091324,28.5488584474886,29.1630593607306,29.5896575342466,50,23.4544894599915,5.44329926133224,17.2039450645447,18.1400374412537,19.5778994560242,21.8500003814697,27.1308498382568,31.0278503417969,33.8342744827271,200,3117.72,517.537920442046,2358.1,2564.1,2793.75,3102.5,3436.25,3696.1,3925.05
"[-57,-56)","[30,35]",190,3.10631578721498,0.415521736052928,2.5,2.59999990463257,2.79999995231628,3.09999990463257,3.29999995231628,3.70000004768372,3.79999995231628,0.589298113200225,0.278210737283705,0.123894847929478,0.184657657146454,0.346929162740707,0.640111178159714,0.804381847381592,0.955835402011871,0.9727594435215,32.4663434270608,1.45440942207124,30.3690924657534,30.6248630136986,31.1717751141553,32.3231164383562,33.7508561643836,34.4727283105023,34.789446347032,46,26.7362516118873,6.17222753621548,19.4878749847412,20.5078001022339,22.2625002861023,25.3369250297546,29.5411252975464,35.6661491394043,40.5144872665405,173,3218.86705202312,511.75323326478,2450,2622.4,2906,3186,3550,3923,4101.6
"[-56,-55)","[20,25)",112,3.02410714541163,0.386773550040952,2.40000009536743,2.50999999046326,2.79999995231628,3,3.22500002384186,3.59999990463257,3.70000004768372,0.553638435417919,0.279091655953077,0.0801287062466145,0.1357622012496,0.359664119780064,0.571263700723648,0.765900582075119,0.945867598056793,0.964404276013374,22.7366876630789,1.43321459146385,20.2455878995434,20.6908789954338,21.4436643835616,22.8547374429224,23.9133561643836,24.5369634703196,24.8479737442922,31,23.9992982700307,6.83682993818019,16.9190502166748,17.3010005950928,19.4168996810913,22.4081993103027,27.1974506378174,34.527099609375,38.8532333374023,106,3112.15094339623,473.78775220763,2380.5,2600,2870,3125,3446.25,3647.5,3741.25
"[-56,-55)","[25,30)",218,3.00963302817913,0.351230685548729,2.40000009536743,2.59999990463257,2.79999995231628,3,3.20000004768372,3.4300000667572,3.59999990463257,0.552063655377891,0.261181425252634,0.0799641240388155,0.188375741243362,0.354179114103317,0.565160632133484,0.74766081571579,0.885291457176209,0.94283874630928,27.5202175233547,1.38267277390472,25.3704965753425,25.66399543379,26.3405251141553,27.4823059360731,28.6680079908676,29.3958561643836,29.7194920091324,63,23.4376108280565,4.34926797871483,17.760364151001,18.8420806884766,20.2572498321533,22.6473999023438,25.9212250709534,30.5372001647949,31.587410736084,210,3228.40952380952,551.514724893989,2421.4,2623.3,2961.25,3276,3557.5,3898,4042
"[-56,-55)","[30,35]",163,3.08711656544106,0.459084866348229,2.40000009536743,2.5,2.70000004768372,3.09999990463257,3.40000009536743,3.70000004768372,3.79999995231628,0.571324573581227,0.310317642567451,0.0804761052131653,0.124520036578178,0.255839556455612,0.639470279216766,0.862029075622559,0.956886732578278,0.975048977136612,32.3097207048211,1.44403365431868,30.2580479452055,30.4217579908676,31.0545091324201,32.2485159817352,33.5563926940639,34.3989497716895,34.7606506849315,41,24.1974286916779,3.64029906661424,19.9218997955322,20.5457000732422,21.6713008880615,23.4375,26.2985000610352,29.5684003829956,31.2313995361328,154,3242.34415584416,626.089517079623,2348.65,2587.5,2875.25,3302.5,3658.75,3988.4,4096.55
"[-55,-54)","[20,25)",128,3.02578124217689,0.438365983625427,2.40000009536743,2.5699999332428,2.70000004768372,3,3.20000004768372,3.59999990463257,3.59999990463257,0.552248226998927,0.286493098509079,0.0786422856152058,0.17171820551157,0.271557629108429,0.575932562351227,0.752714097499847,0.945867598056793,0.947368443012238,22.7507678724315,1.54400000132391,20.525901826484,20.7705707762557,21.2929223744292,22.7683789954338,24.2543664383562,24.7034931506849,24.9032420091324,41,22.5983674816969,4.90047561313631,18.2867498397827,18.36549949646,19.1326999664307,21.4109001159668,24.5261001586914,27.9680004119873,33.9229488372803,124,3149.01612903226,498.297214078985,2220.95,2465.5,2891.25,3240,3460,3680,3779.45
