week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",729,37.9832921374809,3.43438733822119,32.5,34.0999984741211,36.2000007629395,38.1000003814697,40.2999992370606,41.7000007629395,42.7599998474121,0.453399031186531,0.292946545257593,0.0286522183567286,0.0677584320306778,0.194090887904167,0.429265230894089,0.716902732849121,0.865239560604096,0.931853926181793,22.8447952095508,1.39859049744708,20.4047488584475,20.7478538812785,21.7283105022831,23.0147260273973,24.0107305936073,24.6263242009132,24.7813470319635,218,23.8458673171676,5.25097215932131,18.1163502693176,18.5097896575928,20.2917246818543,22.5702495574951,25.7865877151489,31.3003545761108,34.0271450042724,680,3107.27058823529,515.981347934635,2184.75,2507.7,2835.75,3130,3430,3722.4,3880
"[-60,-59)","[25,30)",1214,38.4480560089061,3.13300417421639,33.2000007629395,34.5299995422363,36.7000007629395,38.5999984741211,40.2999992370606,42.0999984741211,43.2999992370605,0.485662062932324,0.288244728996008,0.0434986777603626,0.0853426963090897,0.236751977354288,0.482733905315399,0.719281241297722,0.888089597225189,0.949125772714615,27.6177582880098,1.4172680980386,25.3077226027397,25.6256849315069,26.4210331050228,27.6697488584475,28.8392694063927,29.5674200913242,29.7734817351598,325,24.0398379674732,4.98001677150804,17.8669803619385,18.9339405059814,20.3222999572754,23.2334995269775,26.2336006164551,30.8711799621582,33.5351703643799,1143,3158.21522309711,556.775743540139,2250.5,2515.2,2870,3198,3505,3800,3988
"[-60,-59)","[30,35]",1028,38.1243482341098,3.06739035164393,32.9000015258789,34.2000007629395,36.2000007629395,38.2999992370605,40.0999984741211,41.9000015258789,43,0.466369804971967,0.288942658073549,0.0431727886199951,0.0821558013558388,0.20642152428627,0.458336085081101,0.702651858329773,0.879853421449661,0.943572929501534,32.3444172751986,1.40492532681106,30.2056107305936,30.4224885844749,31.1736301369863,32.3186643835617,33.5151255707763,34.3620776255708,34.609200913242,245,25.0255244057844,5.55640123752076,18.755659866333,19.2653007507324,20.6905002593994,23.6651992797852,28.1336994171143,32.534260559082,35.4698593139648,971,3174.85890834192,536.423207357968,2293.5,2610,2880,3210,3500,3800,3970
"[-59,-58)","[20,25)",718,38.0176323489558,3.0950008616461,32.9850002288818,34.0999984741211,36.1249990463257,38.0999984741211,40.0999984741211,41.7999992370606,42.8299993515015,0.446522597375606,0.292420445445879,0.0336988659575582,0.0663883820176125,0.186823889613152,0.423055082559586,0.704440712928772,0.878833115100861,0.93962282538414,22.8660043118251,1.39989061505389,20.327448630137,20.7413356164384,21.8401255707763,22.9609589041096,24.1017123287671,24.6208789954338,24.799948630137,227,23.248748936142,4.6422978695472,17.3711994171143,18.7066596984863,20.1355247497559,22.1509990692139,25.4492998123169,29.2689897537231,31.9212213516235,668,3129.36826347305,513.78351896358,2227,2505,2863.5,3172,3452.5,3711.5,3848
"[-59,-58)","[25,30)",1293,38.0955297657435,3.31623131255924,32.3600006103516,34.0999984741211,36.0999984741211,38.2999992370605,40.2999992370606,42,43.2000007629395,0.458067601416545,0.298263815527951,0.0275564722716808,0.0659355193376541,0.186900854110718,0.439963936805725,0.722875058650971,0.884077799320221,0.947003436088562,27.5733617441298,1.40475217164928,25.3184474885845,25.6244748858448,26.4228310502283,27.5828767123288,28.7761415525114,29.5376255707763,29.779703196347,328,24.1036333083137,5.22176415837892,18.1562783241272,18.8188991546631,20.3071999549866,22.8626999855042,26.4576005935669,31.7239201545715,34.8726110458374,1200,3152.21083333333,518.037341274837,2303,2592.6,2890,3170,3480,3762.2,3898.1
"[-59,-58)","[30,35]",1063,38.0411382659022,3.25233384100497,32.910001373291,34.2000007629395,36.2000007629395,38.2000007629395,40.2000007629395,41.7999992370606,43,0.462821987215092,0.29086973351392,0.0432139497250319,0.0806335359811783,0.20642152428627,0.455052733421326,0.714270710945129,0.874624264240265,0.944917905330658,32.2889428343149,1.40823725348256,30.2045319634703,30.3818493150685,31.0727168949772,32.2557077625571,33.4283675799087,34.2640410958904,34.6630936073059,290,24.8672098152117,5.33318238337305,18.5448342323303,19.3316902160645,20.8417836825053,23.4375,27.9229249954224,32.733578491211,35.6999811410904,988,3191.32186234818,577.494293666701,2267.45,2582.1,2856.5,3250,3556.5,3845,3993.25
"[-58,-57)","[20,25)",714,37.9736274858149,3.32480243616736,32.7000007629395,34.2000007629395,36.2000007629395,38.0999984741211,40,41.7999992370606,42.9350009918213,0.440787904535815,0.293140234482554,0.0329309590160847,0.0672445699572563,0.187102481722832,0.409075677394867,0.692279070615768,0.872782123088837,0.940366241335869,22.7380330442679,1.42977812224298,20.3324257990868,20.7188356164384,21.5280821917808,22.8406392694064,23.9648116438356,24.6333219178082,24.7953595890411,227,22.6650134641168,4.08251696977787,17.3698702812195,18.1448993682861,19.8359994888306,22.0386009216309,24.5643997192383,28.5265199661255,30.0830952644348,673,3155.31649331352,518.395578275683,2350,2546.4,2898,3210,3480,3739.6,3916
"[-58,-57)","[25,30)",1233,38.331224653456,3.20856568270154,33,34.5,36.4000015258789,38.5,40.4000015258789,42.0999984741211,43.2000007629395,0.474885146665685,0.292917169510795,0.0372582674026489,0.078622268140316,0.214578092098236,0.465571910142899,0.727089822292328,0.889923822879791,0.947003436088562,27.5753291337533,1.39373208974477,25.3220319634703,25.618904109589,26.4230593607306,27.6091324200913,28.7625570776256,29.481894977169,29.7269406392694,297,23.8798225825158,5.20339249199112,18.110160446167,18.8356597900391,20.519100189209,22.4913005828857,25.6895999908447,31.3788398742676,35.4672203063965,1150,3181.37652173913,504.656323840707,2354.5,2581.6,2896.25,3201,3509.5,3780.4,3945.5
"[-58,-57)","[30,35]",1060,38.1228773535423,3.155778962433,33,34.2999992370606,36.4000015258789,38.2000007629395,40.2000007629395,41.7999992370606,42.7999992370606,0.469981740373761,0.286914557215346,0.0424973446875811,0.0849777765572071,0.226062178611755,0.441102385520935,0.719139441847801,0.878859162330627,0.935112425684929,32.2195852718187,1.38508057915139,30.1995319634703,30.4453652968037,31.0256563926941,32.1173515981735,33.3200057077626,34.2547831050228,34.54899543379,300,24.4972255500158,5.65171060043005,17.8679744720459,18.5050592422485,20.5746376514435,23.0886507034302,27.109875202179,33.0983295440674,36.6220905303955,990,3194.31313131313,515.763967431225,2354.5,2579.5,2908,3250,3515,3774.4,3928.75
"[-57,-56)","[20,25)",710,37.7704225110336,3.51987281166344,31.1450005531311,33.5799987792969,36.0999984741211,38.0999984741211,39.7999992370606,41.5999984741211,43,0.437963077382711,0.292848753581335,0.015292841475457,0.0480341035872698,0.178241573274136,0.422028541564941,0.66373997926712,0.863670283555985,0.942291855812073,22.8957092095955,1.36986452181429,20.4604052511416,20.7704109589041,21.8365582191781,23.0775684931507,24.0518835616438,24.5871118721461,24.8331392694064,210,23.1565049428788,4.53478388302048,17.9016446113586,18.5863794326782,20.0038251876831,21.8126503626506,25.186350107193,29.831579875946,33.2986429691315,676,3117.24112426036,571.594536034774,2082.75,2549.5,2870,3164,3454.25,3744,3901.5
