week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",20,2.96500002145767,0.113670773182609,2.79999995231628,2.89000008106232,2.90000009536743,2.95000004768372,3,3.09999990463257,3.10999990701675,0.513053014315665,0.292905138338631,0.0419730650261045,0.272210658341646,0.298572987318039,0.500995218753815,0.708365082740784,0.920892715454102,0.925910559296608,23.0730993150685,1.45561432490015,20.2526997716895,20.8680365296804,22.277654109589,23.1694063926941,24.1381849315069,24.7125570776256,24.9042751141553,5,22.154220199585,5.20044969819076,18.6653800964355,18.8396598815918,19.3624992370605,19.369800567627,22.5,27.6286205291748,29.3381607055664,6,2943.83333333333,513.320724953383,2357.5,2405,2540.75,2996.5,3333.75,3430,3477.5
"[-60,-59)","[25,30)",34,3.00882352099699,0.0753481985526478,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.09999990463257,3.09999990463257,0.679255169980666,0.232552840717832,0.29995346814394,0.300943821668625,0.703546762466431,0.705219984054565,0.918182849884033,0.918654561042786,0.919386929273605,27.7393802041365,1.35016962261286,25.880399543379,25.9819292237443,26.501598173516,28.0119863013699,28.9140696347032,29.3940182648402,29.6422945205479,9,24.6857113838196,4.62426106146468,20.0591205596924,20.1390407562256,20.6131000518799,23.1910991668701,27.7343997955322,30.3946204185486,31.554060459137,6,3324.16666666667,366.682651166737,2937.75,3014.5,3193.5,3297,3337.5,3661,3820.5
"[-60,-59)","[30,35]",24,2.9666666785876,0.0963086695526314,2.79999995231628,2.82999999523163,2.90000009536743,3,3,3.0699999332428,3.09999990463257,0.538478049449623,0.283272353937942,0.0374156828969717,0.113299640268087,0.294976510107517,0.685732662677765,0.693935871124268,0.839751124382019,0.902243375778198,32.2779727929985,1.5776464061373,30.3261187214612,30.5134817351598,30.7865296803653,32.435102739726,33.5843892694064,34.3033105022831,34.805502283105,1,27.8852005004883,,27.8852005004883,27.8852005004883,27.8852005004883,27.8852005004883,27.8852005004883,27.8852005004883,27.8852005004883,10,3177.1,445.329952581978,2566.15,2632.3,2880,3127,3587.25,3648.7,3710.35
"[-59,-58)","[20,25)",27,2.98148149914212,0.0833759779103763,2.90000009536743,2.90000009536743,2.90000009536743,3,3.04999995231628,3.09999990463257,3.09999990463257,0.581432620684306,0.26863417522087,0.296929106116295,0.297786623239517,0.301262706518173,0.706199586391449,0.813952386379242,0.920715510845184,0.920715510845184,22.6303018772197,1.29445208679768,20.2971917808219,20.5467123287671,21.8215182648402,22.8560502283105,23.5050799086758,24.1517123287671,24.3837671232877,11,21.0491819381714,1.95873638861902,18.7245998382568,18.778299331665,19.8815498352051,20.7007999420166,21.9362506866455,22.4985504150391,24.0043754577637,7,3154.42857142857,137.525582035801,2959.7,2998.4,3070,3204,3271,3272.8,3273.4
"[-59,-58)","[25,30)",54,2.96166668114839,0.103845828830237,2.79999995231628,2.79999995231628,2.90000009536743,2.95000004768372,3,3.09999990463257,3.09999990463257,0.515559825977242,0.30531449560228,0.0428960025310516,0.0429149415344,0.302974343299866,0.503583386540413,0.706707239151001,0.917682409286499,0.918636631965637,27.4349611026552,1.15390976312873,25.622049086758,25.8845890410959,26.6770833333333,27.4050228310502,28.2994577625571,28.8171575342466,28.9824657534247,10,24.7187501907349,6.74009037182677,19.5108153343201,19.9746297836304,20.509850025177,22.0806999206543,24.7731995582581,34.044660949707,36.997830581665,17,3365.64705882353,478.270705403393,2713.2,2885.6,3020,3270,3562,4064.8,4288.6
"[-59,-58)","[30,35]",42,2.98571429366157,0.127969912397767,2.80499995946884,2.90000009536743,2.90000009536743,3,3.07499992847443,3.09999990463257,3.19500004053116,0.571342151883679,0.296716812535656,0.0535844178870321,0.286268126964569,0.287253260612488,0.686586230993271,0.850166499614716,0.911819142103195,0.964885377883911,32.3256468797565,1.31899201724839,30.3017066210046,30.6403767123288,31.423401826484,32.226997716895,33.2749143835616,33.849303652968,34.6766609589041,9,23.6684998406304,7.276415999764,18.3975803375244,19.2180599212646,19.7054996490479,21.2584991455078,24.2187995910645,27.8827400207519,34.9490203857422,22,3377.77272727273,565.02178060152,2586.65,2717.7,3030.25,3387,3654.5,3952,4316.5
"[-58,-57)","[20,25)",31,2.97129034996033,0.078856033804,2.90000009536743,2.90000009536743,2.90000009536743,3,3,3,3.1049998998642,0.562521275373236,0.243351884724632,0.296561598777771,0.298572987318039,0.301262706518173,0.706199586391449,0.707155287265778,0.708365082740784,0.913769274950027,22.9661511268228,1.37986058296007,20.3408675799087,21.137899543379,22.0243721461187,23.1600456621005,24.2256278538813,24.425799086758,24.6051369863014,4,22.9408624172211,1.9069871584506,20.7882300376892,21.0573598861694,21.8647494316101,23.374249458313,24.450362443924,24.4776553153992,24.4867529392242,14,3109.35714285714,514.17665433986,2277.95,2726.1,3046.75,3235,3302,3580.8,3672.1
"[-58,-57)","[25,30)",52,2.9825000166893,0.102342633295404,2.85500003099442,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.09999990463257,0.574579812872868,0.268430209788,0.183281952142716,0.298114240169525,0.303287833929062,0.704115897417069,0.706707239151001,0.91860738992691,0.920747041702271,27.356860291535,1.49557802207314,25.215696347032,25.4504452054795,25.9584760273973,27.416095890411,28.4087899543379,29.6087442922374,29.7659703196347,12,24.5275528430939,4.65236596092359,19.4644697189331,20.018625831604,21.8098917007446,22.1183834075928,28.9564492702484,29.6488799095154,31.4748107910156,21,3250.95238095238,600.605151175918,2528,2683,3054,3378,3570,3824,3868
"[-58,-57)","[30,35]",40,2.97000004053116,0.0882885464950418,2.90000009536743,2.90000009536743,2.90000009536743,3,3,3.00999999046326,3.20000004768372,0.530968878697604,0.248347584623681,0.286207318305969,0.286207318305969,0.292698055505753,0.684233605861664,0.691726312041283,0.715749281644822,0.968636274337769,32.0729651826484,1.51520188760041,30.1472146118722,30.2611872146119,30.779252283105,32.0094748858448,33.0379566210046,34.3884246575342,34.5200570776256,16,25.2785125374794,5.75918926384378,19.3441495895386,20.3232002258301,22.5636253356934,24.2748003005981,25.8454751968384,31.8522491455078,36.5439987182617,16,3279,549.095741499908,2466.75,2807,3070,3265.5,3726.25,3836,3871.5
"[-57,-56)","[20,25)",26,2.98730770441202,0.105737672909031,2.82499998807907,2.90000009536743,2.90000009536743,3,3.04749995470047,3.09999990463257,3.17500001192093,0.58426025753411,0.293299104572273,0.105296039953828,0.296561598777771,0.301262706518173,0.706199586391449,0.709415480494499,0.922487556934357,0.961990281939507,23.2861872146119,1.04316864130552,21.5955194063927,21.7036529680365,22.3468892694064,23.4502283105023,24.1185216894977,24.513299086758,24.6358447488585,7,26.1751332964216,8.506606799329,18.8218006134033,19.0222003936768,20.8903503417969,22.6613998413086,28.5894498825073,35.6619522094727,39.3227420806885,12,3232.58333333333,512.681978039077,2585.5,2963.4,3084.75,3191.5,3323,3596,3965.5
"[-57,-56)","[25,30)",45,2.99866667853461,0.109078747891034,2.90000009536743,2.90000009536743,2.90000009536743,3,3.09999990463257,3.09999990463257,3.20000004768372,0.608393367628256,0.286567724855792,0.298114240169525,0.298114240169525,0.303287833929062,0.704685032367706,0.918182849884033,0.920747041702271,0.976112222671509,27.6133764586504,1.35434169744315,25.2821232876712,25.8623287671233,26.6888127853881,27.6639269406393,28.5545662100457,29.3472831050228,29.550502283105,13,22.6971960067749,3.27287260906469,18.4218795776367,19.5039394378662,19.8141002655029,22.6718006134033,24.7409000396729,26.3688800811768,27.5661998748779,20,3222.9,518.156133754459,2567.5,2669.2,2906.75,3206,3451.25,3742.6,4088.4
"[-57,-56)","[30,35]",32,2.98625000566244,0.102791653597527,2.79999995231628,2.90000009536743,2.90000009536743,3,3.01499998569489,3.09999990463257,3.14499996900558,0.581496477709152,0.287127940415489,0.0403759663924575,0.286207318305969,0.294075131416321,0.689214795827866,0.694868817925453,0.911741816997528,0.937087798118591,31.9533925513699,1.32173121116761,30.221198630137,30.2906050228311,30.9132420091324,32.0529109589041,32.8365011415525,34.0811757990868,34.2812557077626,8,24.0235434770584,6.88484391925982,19.6254244804382,20.1831495285034,20.7361998558044,20.8890495300293,23.6571128368378,31.4941248893738,35.6151120662689,11,3202.45454545455,390.39604599339,2815,2825,2952.5,3016,3430,3585,3827.5
"[-56,-55)","[20,25)",40,2.9964999973774,0.0932476437809377,2.85699989795685,2.90000009536743,2.90000009536743,3,3.02499997615814,3.09999990463257,3.10499991178513,0.63074581855908,0.274550112032847,0.0414626598358154,0.296561598777771,0.301262706518173,0.706199586391449,0.760251387953758,0.920892715454102,0.925005322694778,23.0064155251142,1.62755039411753,20.0704737442922,20.3072374429224,21.7132705479452,23.7406392694064,24.3216324200913,24.6929794520548,24.8150171232877,9,24.8101054297553,4.00037080197487,19.1732597351074,19.7350196838379,22.3945007324219,24.6903991699219,27.639799118042,29.7656299591064,29.9218898773193,13,3343.07692307692,729.599943066799,2315,2882,3078,3355,3758,3911.2,4226
"[-56,-55)","[25,30)",51,2.97254904578714,0.105978132076015,2.85000002384186,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.14999997615814,0.548546647413305,0.278771436947769,0.17051106877625,0.298114240169525,0.302974343299866,0.703546762466431,0.705219984054565,0.920747041702271,0.948539674282074,27.7397349807503,1.29756375539695,25.7162100456621,25.847602739726,26.6708333333333,27.839497716895,28.7405251141553,29.3624429223744,29.8489726027397,15,24.1281177944607,6.17878319566267,17.6509201049805,18.0827201843262,18.9713506698608,21.8462664286296,28.5744495391846,31.6634201049805,33.4598106384277,22,3141.86363636364,567.324069264737,2260.65,2731.4,2991.25,3272.5,3407,3652,3846.2
"[-56,-55)","[30,35]",42,2.97619048754374,0.0957881510457339,2.80499995946884,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.09999990463257,0.557780451540436,0.269666145759857,0.0535844178870321,0.286207318305969,0.294075131416321,0.686586230993271,0.693935871124268,0.90878838300705,0.909561634063721,32.0289764079148,1.28431492360393,30.1938184931507,30.3053881278539,31.0712614155251,31.8517694063927,32.953053652968,33.7141780821918,34.2509075342466,13,25.2475641201704,2.69932989116064,21.4937599182129,21.9722801208496,23.7812004089356,24.7409000396729,26.7299003601074,28.6945201873779,29.6607133229574,17,3152.29411764706,644.419774361584,2064,2583.8,3020,3212,3425,3734,3968.4
"[-55,-54)","[20,25)",24,3.09624999761581,0.416494806560739,2.90000009536743,2.90000009536743,2.97500002384186,3,3.09999990463257,3.10699989795685,3.27149994373322,0.681787921736638,0.247464852784669,0.298976445198059,0.301262706518173,0.599223464727402,0.707155287265778,0.91985821723938,0.920661795139313,0.981389996409416,22.7228025114155,1.22116561238999,20.7348173515982,21.0999315068493,21.902397260274,22.8942351598174,23.403453196347,24.4550684931507,24.6667979452055,3,22.6428998311361,4.76368907912564,18.7075996398926,19.0496997833252,20.076000213623,21.7865009307861,24.7815999984741,26.5786594390869,27.1776792526245,11,3284.72727272727,546.960709906862,2865,2880,2927.5,3082,3324.5,4198,4331
"[-55,-54)","[25,30)",42,3.08809525626046,0.525079517240506,2.90000009536743,2.90000009536743,2.90000009536743,3,3,3.20000004768372,3.29999995231628,0.628728420251892,0.274895052533633,0.298114240169525,0.298397198319435,0.303620010614395,0.705166935920715,0.706707239151001,0.976995867490768,0.991891622543335,27.4892232006958,1.2747326393847,25.6335901826484,25.9520547945206,26.3516837899543,27.401198630137,28.4475171232877,29.2148059360731,29.6895433789954,7,22.8556426456996,5.54437397862366,17.504510307312,17.5839202880859,18.7214498519897,21.0937995910645,26.7567998886108,30.441439666748,30.4777693939209,16,3449.8125,534.775120182929,2671.25,2782.5,3207,3470,3660.25,3916,4162
"[-55,-54)","[30,35]",41,3.01073170871269,0.122564037516681,2.83999991416931,2.90000009536743,2.90000009536743,3,3.09999990463257,3.20000004768372,3.20000004768372,0.617899461036048,0.301848798334651,0.0413411073386669,0.286207318305969,0.294075131416321,0.687439799308777,0.90878838300705,0.967665135860443,0.974752187728882,32.2784385789063,1.30733763121408,30.2885844748858,30.751598173516,31.1980593607306,32.1625570776256,33.1464611872146,34.1462328767123,34.4012557077626,5,23.6179197311401,6.38830352918181,19.0150604248047,19.0682201385498,19.2276992797852,21.2873992919922,24.2002992630005,30.3274997711182,32.3698999404907,15,3343.13333333333,467.164679845596,2679.7,2802.6,2896,3470,3701,3836.8,3897.6
"[-54,-53)","[20,25)",29,2.98275864535365,0.122675411207943,2.84000000953674,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.15999999046326,0.554746628064534,0.291064270871549,0.143840824067593,0.296561598777771,0.298572987318039,0.706199586391449,0.708365082740784,0.920536458492279,0.951920306682586,22.7390883325461,1.46303172631113,20.6900456621005,20.9201141552511,21.3214611872146,22.5405251141553,24.0969178082192,24.7231050228311,24.7446575342466,6,22.4251664479574,6.86272215453116,16.5298504829407,16.7615003585815,17.7655501365662,20.8968496322632,23.7676000595093,29.6171493530273,32.3149738311768,9,3196.66666666667,374.892651301676,2750,2880,3060,3132,3234,3577,3781
"[-54,-53)","[25,30)",57,2.9978947472154,0.0947691701986093,2.90000009536743,2.90000009536743,2.90000009536743,3,3.09999990463257,3.09999990463257,3.15200009346008,0.624898462507286,0.270120142301523,0.298114240169525,0.301762557029724,0.303620010614395,0.704685032367706,0.918182849884033,0.919986438751221,0.931896567344665,27.1359769286229,1.29707129726741,25.3844063926941,25.4633333333333,26.2802511415525,27.0311643835617,27.8502283105023,29.1486301369863,29.4570776255708,9,24.3970222473145,6.61282886764867,17.9496208190918,18.4245407104492,19.4734001159668,22.3477993011475,27.1415996551514,31.4393600463867,34.9430801391602,14,3324.35714285714,293.99885063691,2867.1,3055.8,3238.75,3366,3411,3603.4,3712
"[-54,-53)","[30,35]",33,2.99121212236809,0.112576538124351,2.79999995231628,2.90000009536743,2.90000009536743,3,3.09999990463257,3.09999990463257,3.13999996185303,0.585290261064515,0.298295608377761,0.0387578144669533,0.286328935623169,0.294075131416321,0.687439799308777,0.902243375778198,0.911568307876587,0.935754239559174,32.5469247267193,1.42472198835451,30.4885159817352,30.8244520547945,31.2147260273973,32.8424657534247,33.6941780821918,34.4349086757991,34.6924885844749,10,24.6533973693848,6.41606543530363,18.5500597000122,19.1912200927734,19.7187747955322,22.793399810791,28.3714752197266,33.2469970703125,35.0456357955933,9,3109.55555555556,479.227793202542,2418.2,2491.4,2934,3155,3345,3571.2,3745.6
"[-53,-52)","[20,25)",32,2.95625002682209,0.0840026366289854,2.85500003099442,2.90000009536743,2.90000009536743,2.90000009536743,3,3.09999990463257,3.09999990463257,0.508461160236038,0.273757867976101,0.181014877557754,0.297865259647369,0.301262706518173,0.304538726806641,0.707457736134529,0.920536458492279,0.920617032051086,22.8697738299087,1.22897832291367,20.842448630137,21.1354337899543,22.1407248858448,22.9352168949772,23.7927796803653,24.2990068493151,24.52274543379,8,20.2100124359131,3.45891098981581,16.4731201171875,17.160239982605,18.2571752071381,18.7746992111206,22.6966252326965,24.9177503585815,25.1818251609802,13,3380.38461538462,365.593931947623,2893,3025,3272,3380,3485,3876,4018.4
"[-53,-52)","[25,30)",42,2.96666668710254,0.100405651062687,2.79999995231628,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.09999990463257,0.531854186029661,0.293014401015881,0.0429090714082122,0.298114240169525,0.302974343299866,0.703546762466431,0.706707239151001,0.920490622520447,0.920747041702271,27.5549467275495,1.29795113537454,25.6495148401827,25.7923287671233,26.433247716895,27.5479452054795,28.57274543379,29.1531278538813,29.3194121004566,13,24.4853692421546,6.47276044548367,17.8811794281006,18.4720191955566,20.3222999572754,23.2254009246826,26.5643005371094,28.842639541626,34.3364997863769,9,3244.33333333333,547.835513635252,2612.4,2660.8,2925,3220,3350,3720.6,4077.8
"[-53,-52)","[30,35]",39,3.02051283151676,0.137629304831121,2.90000009536743,2.90000009536743,2.90000009536743,3,3.09999990463257,3.20000004768372,3.20000004768372,0.63080014126041,0.267975511866394,0.286207318305969,0.286815404891968,0.295276969671249,0.687439799308777,0.903778702020645,0.967665135860443,0.971515285968781,32.0474212621473,1.29715925824912,30.2403652968037,30.4644063926941,30.8284246575342,31.8998858447489,33.1051369863014,33.5194520547945,33.934600456621,7,21.732540675572,3.1847054926402,18.025315284729,18.8116302490234,20.1824750900269,21.3838996887207,23.1790504455566,25.6460739135742,26.2139537811279,14,3145.5,532.09509705286,2284,2644.3,2956.5,3305,3476.25,3637.1,3688.4
"[-52,-51)","[20,25)",29,3.01103450512064,0.12054469314428,2.90000009536743,2.90000009536743,2.90000009536743,3,3.09999990463257,3.20000004768372,3.25999999046326,0.620128942974683,0.273133084864846,0.296561598777771,0.298170709609985,0.301262706518173,0.706442356109619,0.9195396900177,0.973458695411682,0.985345447063446,22.9811053377421,1.2647072996846,21.2569178082192,21.3504337899543,21.8584474885845,23.3493150684932,24.0748858447489,24.463904109589,24.4864155251142,9,22.582616382175,3.60687210207829,18.9955795288086,19.3796592712402,20.5037498474121,21.4843997955322,23.2549991607666,27.1609394073486,28.6356197357178,13,3134.07692307692,519.627344279607,2397,2634.6,2875,3068,3485,3657.4,3784.4
"[-52,-51)","[25,30)",51,2.98235296268089,0.0887825861969766,2.90000009536743,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.14999997615814,0.58959918520322,0.25467853063753,0.299529030919075,0.300943821668625,0.302974343299866,0.704685032367706,0.706707239151001,0.917682409286499,0.947989463806152,27.5373578655206,1.44605842893777,25.3050228310502,25.6941780821918,26.3543378995434,27.6557077625571,28.6585616438356,29.5412100456621,29.7667808219178,10,24.0816202163696,5.68752653565915,18.8073750495911,19.924949836731,20.3466501235962,22.3528995513916,24.9721755981445,32.9553611755371,34.0207809448242,19,3195.31578947368,374.126991605729,2656,2856.8,2974.5,3114,3414,3560,3799.4
"[-52,-51)","[30,35]",27,3.00370368251094,0.109127566802773,2.79999995231628,2.86000003814697,3,3,3.09999990463257,3.09999990463257,3.09999990463257,0.641163438834526,0.283933651802254,0.0398397769778967,0.192981521785259,0.684233605861664,0.690989792346954,0.903778702020645,0.910564970970154,0.912069976329803,31.7153517672924,1.44297500575465,30.0314383561644,30.1144520547945,30.4310502283105,31.3761415525114,32.4968607305936,33.948904109589,34.2471347031964,7,23.9154573168073,2.88033224004615,20.7347499847412,20.7663997650146,21.9193000793457,23.8087005615234,25.0966997146606,27.1614799499512,28.0129404067993,10,3282.6,287.428135945898,2856.25,2867.5,3080,3323.5,3501.5,3567.4,3618.7
"[-51,-50)","[20,25)",22,2.96818182685158,0.121052346920357,2.79999995231628,2.8099999666214,2.90000009536743,2.95000004768372,3,3.09999990463257,3.09999990463257,0.520441648296335,0.319571556429787,0.0398785945028067,0.0670429281890393,0.301262706518173,0.505369156599045,0.708062633872032,0.920536458492279,0.920706558227539,22.9371056454961,1.26826319543652,21.1237671232877,21.188698630137,21.9332762557078,23.016095890411,23.860644977169,24.6575,24.713053652968,6,25.7260584831238,7.19740079873827,20.7590003013611,20.9593000411987,21.4835121631622,22.1367754936218,27.5045747756958,34.0820999145508,36.5233001708984,7,2895.57142857143,759.051789437071,1749.4,2078.8,2621.5,3220,3385.5,3507.6,3561.3
"[-51,-50)","[25,30)",51,2.97254903176252,0.100156707123195,2.79999995231628,2.90000009536743,2.90000009536743,3,3,3.09999990463257,3.09999990463257,0.554110447930939,0.295057305409009,0.0429078973829746,0.298114240169525,0.302974343299866,0.703546762466431,0.706707239151001,0.918654561042786,0.920747041702271,27.258973498075,1.44809739117747,25.251598173516,25.5215753424658,26.029794520548,27.0063926940639,28.6095319634703,29.3817351598174,29.4611301369863,11,23.4274817380038,4.64996944076457,18.7752494812012,19.297399520874,20.0228004455566,21.755500793457,24.9182500839233,29.7210998535156,31.4695491790772,20,3241.25,440.459553672131,2658,2739.7,2954,3240,3530.5,3719.4,3930.9
"[-51,-50)","[30,35]",36,2.98888891273075,0.103586461062558,2.87500005960465,2.90000009536743,2.90000009536743,3,3,3.14999997615814,3.20000004768372,0.581085685847534,0.273539753628492,0.224990765564144,0.286207318305969,0.294075131416321,0.687439799308777,0.693935871124268,0.938613384962082,0.971280634403229,32.1259354388635,1.27465648117613,30.5403253424658,30.6542808219178,31.0997431506849,31.8748287671233,33.1041952054795,33.97899543379,34.2255993150685,7,31.4596429552351,8.21013635025736,20.6130802154541,21.5051597595215,25.1881494522095,34.0176010131836,37.836799621582,40.0132598876953,40.2211303710938,11,3255.72727272727,398.151752704692,2763,2886,2982.5,3188,3621,3660,3791
