week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",49,2.70326531663233,0.450792753671417,2.12599997520447,2.18800005912781,2.38000011444092,2.64000010490418,3,3.23000001907349,3.43200006484985,0.542408460152469,0.344638714720857,0.0163234323263168,0.0370457753539085,0.213745474815369,0.59721565246582,0.896438241004944,0.962154686450958,0.983036959171295,22.8459183673469,1.41230092400036,20.4349315068493,21.0665068493151,21.7187214611872,23.0232876712329,23.9497716894977,24.5783105022831,24.776301369863,19,25.2499795880234,7.71709888637955,19.0749893188477,19.6903793334961,20.5694999694824,23.1404991149902,25.6420993804932,36.0474197387695,44.7406997680664,43,3110.48837209302,479.117659875348,2504.4,2525.2,2921,3122,3274,3499.6,3721.4
"[-60,-59)","[25,30)",85,2.58788235608269,0.324694337610474,2.16600008010864,2.21000003814697,2.34999990463257,2.52999997138977,2.77999997138977,3.03599996566773,3.19600005149841,0.471897962809924,0.302369306711434,0.0411051742732525,0.0715637221932411,0.189475834369659,0.454007744789124,0.729235887527466,0.917949163913727,0.952823913097382,27.6301289282836,1.4975205053816,25.3450228310502,25.5329452054795,26.4776255707763,27.5133561643836,29.1199771689498,29.6786301369863,29.7138127853881,28,25.637164252145,4.97543126544919,18.8657799720764,19.3220592498779,21.6892995834351,25.6406750679016,29.1503374576569,31.6363998413086,33.9258048057556,77,3265.8961038961,573.661567761625,2425.2,2640.2,3080,3320,3575,3933,4078
"[-60,-59)","[30,35]",66,2.59681819424485,0.283869758369043,2.25749999284744,2.30999994277954,2.37499994039536,2.50499999523163,2.77749997377396,2.95500004291534,3.13250005245209,0.470970921161951,0.285627731757184,0.0923943165689707,0.158929444849491,0.200596652925015,0.408529996871948,0.732533797621727,0.859895497560501,0.93067741394043,32.0665922927909,1.30665696322753,30.159046803653,30.3799657534247,30.9797945205479,32.2167808219178,32.8496575342466,33.7611301369863,34.4216038812785,12,22.1984001795451,2.69887840462497,19.6531052589417,19.9703998565674,19.9703998565674,21.4533004760742,23.9077749252319,25.9441904067993,26.2095002174377,54,3147.66666666667,596.830749372237,2339.15,2493,2874,3203,3450.75,3899.6,3954.8
"[-59,-58)","[20,25)",46,2.7567391447399,0.312545484268065,2.33249998092651,2.42500007152557,2.50999999046326,2.71000003814697,2.93500006198883,3.17000007629395,3.3374999165535,0.647625042409029,0.259932832742272,0.187731474637985,0.28955651819706,0.432053580880165,0.682121485471726,0.873296007514,0.947078615427017,0.974063456058502,23.1351077029978,1.38103491981515,21.003852739726,21.4811073059361,21.9591894977169,23.3415525114155,24.4336757990868,24.6614726027397,24.7424942922375,12,22.5378541946411,3.11119427829116,16.9153906345367,17.4067607879639,21.3494501113892,23.1515007019043,24.2728996276855,25.1391796112061,26.1630971431732,39,3314.84615384615,507.023177008992,2238,2696,3084,3355,3693.5,3828.8,3859.4
"[-59,-58)","[25,30)",81,2.6829629621388,0.336111759350074,2.29999995231628,2.3199999332428,2.45000004768372,2.57999992370605,2.88000011444092,3.10999989509583,3.38000011444092,0.557798123791998,0.289291037111563,0.149263843894005,0.173988938331604,0.320110142230988,0.51294732093811,0.819906175136566,0.938415288925171,0.974234819412231,27.4354994644568,1.31736076641764,25.5680365296804,25.861301369863,26.291095890411,27.3599315068493,28.5553652968037,29.2721461187215,29.7576484018265,18,25.7412832313114,5.76314312439645,17.6113954544067,19.0636699676514,22.1629257202148,24.9079494476318,29.5564435720444,34.4394905090332,34.685230255127,69,3203.5652173913,439.429023856723,2427.6,2694.4,2972,3235,3510,3728.4,3908
"[-59,-58)","[30,35]",77,2.62168829472034,0.279079330898631,2.26799998283386,2.32999992370605,2.44000005722046,2.54999995231628,2.75999999046326,2.9920000076294,3.1279999256134,0.498468413900632,0.263287798826655,0.0965896591544151,0.166376134753227,0.30286905169487,0.460484832525253,0.715621292591095,0.873307800292969,0.931968533992767,32.2736805432011,1.51664510944033,30.1616894977169,30.2770319634703,30.8732876712329,32.124200913242,33.8162100456621,34.3863698630137,34.5166210045662,22,25.7319001284513,5.59164254668353,19.5013595581055,19.8764503479004,21.6698503494263,24.3026494979858,29.2222747802734,33.2381101608276,34.1249214172363,63,3160.34920634921,560.573357368414,2148.2,2574.8,2940,3270,3479,3777.6,3929.4
"[-58,-57)","[20,25)",46,2.70152172834977,0.309156333080372,2.31249994039536,2.34499990940094,2.47250002622604,2.6800000667572,2.86249989271164,3.12000000476837,3.2150000333786,0.587376984565155,0.276216403558935,0.155518721789122,0.180106274783611,0.334068462252617,0.649158239364624,0.817920953035355,0.937426596879959,0.955809846520424,23.0242455826881,1.36996657702518,20.9871575342466,20.9891552511416,21.4462043378995,23.4099315068493,24.2160673515982,24.5421232876712,24.6730308219178,17,20.9314707587747,3.24964445340068,17.6172004699707,17.651050567627,17.651050567627,21.5018997192383,22.2136993408203,24.5029800415039,26.5833600997925,44,3218.20454545455,405.502649866343,2559.8,2807,2846,3274.5,3508,3748.8,3787.6
"[-58,-57)","[25,30)",87,2.6393103517335,0.319286254310213,2.24500000476837,2.29999995231628,2.40000009536743,2.59999990463257,2.82499992847443,2.95000004768372,3.13500003814697,0.527571479886256,0.284705665516714,0.0887873768806458,0.148392477631569,0.281005322933197,0.564784049987793,0.789313435554504,0.870431566238403,0.944669944047928,27.2831666929093,1.44655074315969,25.2542808219178,25.5042465753425,25.8145547945206,27.1489726027397,28.4502853881279,29.2556392694064,29.5012785388128,16,25.2129556934039,5.31984910679609,20.1201875209808,20.411500453949,21.8708257675171,23.283899307251,27.8744502067566,33.5332498550415,36.0598993301392,78,3237.74358974359,509.704509148866,2379.2,2714,3008.25,3253.5,3540.25,3761.1,4035.4
"[-58,-57)","[30,35]",60,2.58083332777023,0.274370104328023,2.19950004816055,2.26999998092651,2.3374999165535,2.54499995708466,2.79249995946884,2.95000004768372,3.05099995136261,0.472823872091249,0.293919581023548,0.0614809630438686,0.0985758863389492,0.174254216253757,0.45118160545826,0.735123425722122,0.86259765625,0.908346009254456,32.3698211567732,1.50968861507898,30.1283561643836,30.3158561643836,31.0033961187215,32.3927511415525,33.4763698630137,34.6072146118721,34.7699315068493,17,25.8942991331512,7.41634982138059,19.4353258768717,19.5336791992188,20.7529497146606,22.6562995910645,27.7551002502441,37.3522415161133,40.9789615631104,53,3132.2641509434,508.236133449774,2374.8,2616,2890,3102,3516,3668,3861.6
"[-57,-56)","[20,25)",52,2.74692307527249,0.456351857765306,2.21550003290176,2.30099995136261,2.46250003576279,2.69500005245209,2.88499993085861,3.62600009441376,3.69450005292893,0.576822479613699,0.313276266682519,0.0628165813162923,0.149259054660797,0.339736014604569,0.671424508094788,0.837840691208839,0.990606927871704,0.992314806580544,23.2350588338602,1.19208321728224,21.3697203196347,21.5385502283105,22.348002283105,23.310901826484,24.2352739726027,24.5657191780822,24.8439269406393,10,22.8899550437927,3.40041238120898,19.186950302124,19.6239006042481,20.8891627788544,21.6563005447388,23.8648991584778,28.275319480896,28.6282097816467,50,3089.26,518.837075209786,2555,2585.6,2841,3141,3334,3731.9,3893.5
