week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",501,4.16570857660975,0.38695238416581,3.59999990463257,3.74000000953674,3.94000005722046,4.17999982833862,4.40000009536743,4.59999990463257,4.80000019073486,0.457454814060436,0.290775106300529,0.028577696532011,0.0559698604047298,0.172538757324219,0.384215414524078,0.711913764476776,0.867287695407867,0.937757790088654,22.8721010034725,1.44204726144848,20.3579908675799,20.7625570776256,21.6832191780822,23.0228310502283,24.2311643835616,24.6369863013699,24.8474885844749,166,23.4652221630855,4.9691925023774,17.97487449646,18.36549949646,20.2189376354218,22.4706497192383,25.7117004394531,28.2144498825073,33.4099254608154,464,3089.09698275862,509.573269648149,2331.5,2510.6,2824.75,3120,3436,3660,3850.2
"[-60,-59)","[25,30)",845,4.22327810222581,0.343649252225993,3.70000004768372,3.79999995231628,4,4.19999980926514,4.40000009536743,4.59999990463257,4.80000019073486,0.479346916573012,0.287489924985288,0.0434200890362263,0.0808774083852768,0.239064380526543,0.469699263572693,0.706224918365479,0.856130242347717,0.932089626789093,27.6325104698603,1.44282889379525,25.2069406392694,25.5548858447489,26.4174657534247,27.6995433789954,28.886301369863,29.6069406392694,29.8084703196347,253,24.4945387508139,5.24938186776434,17.7451404571533,19.0061405181885,20.7665996551514,23.7252998352051,26.8386497497559,31.550980758667,34.894401550293,794,3145.14483627204,569.140127447234,2096.25,2435.3,2872.5,3190,3483.75,3825.7,4024
"[-60,-59)","[30,35]",752,4.27726729150782,0.384952163567391,3.70000004768372,3.79999995231628,4,4.30000019073486,4.5,4.80000019073486,4.95049991607665,0.498001210320368,0.292826843148847,0.0421433933079243,0.0772809609770775,0.221214845776558,0.545236587524414,0.754975318908691,0.920408540964127,0.957848468422889,32.2363082009618,1.40923518183813,30.1697431506849,30.3616324200913,31.0674657534247,32.1160388127854,33.3758561643836,34.3898744292238,34.6734703196347,198,24.7443280650309,5.22800536619647,18.9599907875061,19.2653007507324,20.6658000946045,23.5921497344971,27.7628626823425,31.7426002502442,35.1723796844482,711,3161.3488045007,546.02907302322,2198,2556,2889,3192,3510,3780,3951
"[-59,-58)","[20,25)",487,4.20763860517459,0.388358857023592,3.59999990463257,3.78399996757507,3.96000003814697,4.19999980926514,4.40000009536743,4.69999980926514,4.90000009536743,0.48173170515338,0.302831436605222,0.0287461616098881,0.077893215417862,0.174048386514187,0.493721127510071,0.719315111637116,0.906324470043182,0.959112763404846,22.8769975996925,1.44763154361651,20.2909589041096,20.64,21.786700913242,23.0631278538813,24.1585045662101,24.668401826484,24.8274429223744,164,23.4278064471919,4.72200118779467,17.4976896286011,18.7677600860596,20.3478622436523,22.4059247970581,25.465350151062,29.7520999908447,31.5759645462036,454,3112.93392070485,502.303352443066,2336.95,2496.5,2833,3132.5,3405,3710,3848
"[-59,-58)","[25,30)",865,4.23990750795155,0.374360861286424,3.70000004768372,3.79999995231628,4,4.19999980926514,4.5,4.69999980926514,4.90000009536743,0.488678178599934,0.299279602717831,0.0442362196743488,0.0831775411963463,0.231970027089119,0.469699263572693,0.777268290519714,0.901740193367004,0.957039308547974,27.553997809275,1.41786479154816,25.2913242009132,25.5658447488585,26.3739726027397,27.5189497716895,28.7679223744292,29.5276712328767,29.7988127853881,244,24.5329857724612,5.42955411213463,18.3234162330627,18.8188991546631,20.6619000434876,23.430549621582,26.5092506408691,32.8549201965332,35.2964660644531,814,3154.92751842752,524.447402873535,2296.7,2574.3,2870,3164.5,3495.75,3775,3916.75
"[-59,-58)","[30,35]",740,4.28841891385413,0.402247495522857,3.70000004768372,3.79999995231628,4,4.30000019073486,4.5,4.80000019073486,4.91249985694885,0.504826856952705,0.298497066024147,0.0388616882264614,0.0771914012730122,0.221214845776558,0.545236587524414,0.765408277511597,0.919915497303009,0.951989531517029,32.2932608293225,1.43955130216735,30.2251426940639,30.3720547945206,30.9968321917808,32.2749429223744,33.5003424657534,34.3295890410959,34.680850456621,223,24.7408657364068,5.30045671626949,18.3593997955322,19.4958595275879,21.3038997650147,23.2254009246826,27.1609665552775,32.3673202514649,36.6582298278808,685,3167.13868613139,554.387446885617,2261,2553.2,2855,3215,3545,3802,3935.8
"[-58,-57)","[20,25)",450,4.23254444943534,0.337688376590377,3.70000004768372,3.79999995231628,4,4.19999980926514,4.40000009536743,4.69999980926514,4.80000019073486,0.505738108928005,0.282542250954752,0.0528486698865891,0.0996327251195908,0.264246225357056,0.498550742864609,0.719315111637116,0.905369639396667,0.939758935570717,22.7641778285134,1.41581656656676,20.3188698630137,20.7737100456621,21.5797659817352,22.8284246575343,24.0025399543379,24.6586415525114,24.8469920091324,162,22.6296646289865,4.29330938691654,17.3298953533173,18.2000894546509,19.8353495597839,21.4777498245239,24.4421005249023,28.4636198043823,30.9806798458099,421,3109.84798099762,507.810965650802,2285,2485,2852,3140,3398,3690,3955
"[-58,-57)","[25,30)",851,4.24029376840199,0.388941591038585,3.70000004768372,3.79999995231628,4,4.19999980926514,4.5,4.69999980926514,4.90000009536743,0.488023079597196,0.297992982052095,0.0431833229959011,0.0794358626008034,0.231970027089119,0.475960671901703,0.777268290519714,0.90034019947052,0.955198049545288,27.5476267512301,1.3907308719096,25.2913242009132,25.5633561643836,26.4288242009132,27.5808219178082,28.7428652968037,29.437899543379,29.7409817351598,221,24.0970011266648,5.4495191259667,18.1448993682861,19.2607002258301,20.4502506256104,22.4913005828857,25.5296001434326,32.8824005126953,36.6497993469238,803,3157.46201743462,520.756865252534,2290.5,2513.4,2865.5,3184,3495,3779.6,3899
"[-58,-57)","[30,35]",761,4.3037450673859,0.643325267234982,3.70000004768372,3.90000009536743,4,4.30000019073486,4.5,4.69999980926514,4.90000009536743,0.503223323704413,0.291257144051937,0.0421433933079243,0.119698613882065,0.221214845776558,0.545236587524414,0.761561036109924,0.891811013221741,0.951488852500916,32.2495438290161,1.38673934515243,30.1928082191781,30.3818493150685,31.0557077625571,32.2123287671233,33.4286529680365,34.1794520547945,34.5051369863014,229,24.3989816753104,5.67656618086245,17.8404796600342,18.5910804748535,20.3125,22.8059997558594,27.0051002502441,32.3174797058106,36.2389198303223,704,3165.38210227273,530.113759248569,2280.65,2571.2,2887.5,3222,3495.25,3728,3921
"[-57,-56)","[20,25)",489,4.15830265061743,0.340184055190366,3.59999990463257,3.70000004768372,3.90000009536743,4.19999980926514,4.40000009536743,4.59999990463257,4.69999980926514,0.449146830380165,0.288677720400158,0.0278380449861288,0.0542973019182682,0.171178638935089,0.49039489030838,0.715652465820313,0.860401391983032,0.907140719890594,22.9134693858494,1.36073056721196,20.5856849315069,20.8463926940639,21.8366438356164,23.1303652968037,24.0538812785388,24.6287671232877,24.8600228310502,151,22.7603418148117,4.24484064248735,18.0950493812561,18.5529003143311,19.9487504959106,21.641300201416,24.8015995025635,28.5744997660319,31.3939008712769,467,3083.00214132762,605.15218707636,1910,2480,2844.5,3135,3425,3748,3940.5
