week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",928,27.8065409465083,2.62327757339075,22.6000003814697,24.5,26.7000007629395,28.2999992370605,29.3999996185303,30.3999996185303,31.1000003814697,0.489658430506724,0.290159948287268,0.0446833588182926,0.0878775760531426,0.238169502466917,0.488797187805176,0.736201018095017,0.887556076049805,0.954141908884048,22.8800184026138,1.41236636847749,20.3625171232877,20.7473515981735,21.7894691780822,23.0394406392694,24.1055365296804,24.6462671232877,24.8392294520548,272,23.503854106279,5.05337516344295,17.7600073814392,18.3628902435303,20.212162733078,22.4863004684448,25.3378496170044,30.0707000732422,33.6392136891683,857,3115.2170361727,518.607902091068,2237.6,2521.8,2840,3158,3445,3706.4,3882
"[-60,-59)","[25,30)",1582,28.2059418386515,2.26773119000015,23.8999996185303,25.5,27.2000007629395,28.6000003814697,29.7000007629395,30.6000003814697,31.1000003814697,0.515901670485416,0.280295939301503,0.0629606992006302,0.12384831905365,0.280015848577023,0.527699172496796,0.76056319475174,0.894570410251617,0.943654209375381,27.6319237108106,1.42548365464298,25.2919063926941,25.6057762557078,26.4785102739726,27.6537100456621,28.8670091324201,29.5952168949772,29.7875627853881,413,24.2226708656683,5.02269059488406,18.0410999298096,19.0352794647217,20.5499000549316,23.2434005737305,26.8386497497559,31.2254398345947,34.3400402069092,1479,3150.94590939824,567.357080340191,2129.6,2488.2,2864.5,3195,3513,3820,3996.4
"[-60,-59)","[30,35]",1339,28.362128424413,2.34828207559293,23.989999961853,25.6000003814697,27.3999996185303,28.7000007629395,30,30.7999992370605,31.3999996185303,0.541421838944324,0.28723322433752,0.0683603644371033,0.135203275084496,0.309308260679245,0.549490690231323,0.814264833927155,0.918782651424408,0.95964241027832,32.3370745393721,1.40635360114545,30.2123059360731,30.4264383561644,31.1546232876712,32.2982876712329,33.5,34.3914155251142,34.6482420091324,304,24.8763259244593,5.39438610524351,18.6948354721069,19.2653007507324,20.6891751289368,23.5338497161865,27.8994255065918,32.0499000549316,35.0991649627686,1262,3162.90253565769,536.879524031468,2212,2569.1,2874,3188,3503.5,3800,3970
"[-59,-58)","[20,25)",932,27.8001823629944,2.52392373924244,22.8999996185303,24.7999992370606,26.7000007629395,28.2000007629395,29.3999996185303,30.5,31.1000003814697,0.484677039374984,0.288119354025669,0.0450232952833176,0.095109385997057,0.237853556871414,0.466835856437683,0.727855950593948,0.905527174472809,0.95341981947422,22.8830559066769,1.41196009275121,20.3384417808219,20.7459474885845,21.8477739726027,22.9546803652968,24.1224029680365,24.6619406392694,24.8295833333333,277,23.2526727560482,4.54858407579902,17.4501998901367,18.6389804840088,20.1362495422363,22.2222003936768,25.2362995147705,29.2689897537231,31.723420715332,866,3119.15242494226,512.359704615018,2253.5,2502.5,2857,3169,3444.75,3695,3830.5
"[-59,-58)","[25,30)",1678,27.9898927095252,2.53266584373555,22.6000003814697,24.8999996185303,26.8999996185303,28.4499998092651,29.6000003814697,30.6000003814697,31.2000007629395,0.497900619985357,0.290152716313739,0.0384798731654883,0.0961446844041348,0.245004560798407,0.498510137200356,0.744785606861115,0.894780921936035,0.948435863852501,27.5946951823491,1.41329398648428,25.3138413242009,25.6223059360731,26.4428367579909,27.603595890411,28.8029965753425,29.5708105022831,29.7850799086758,428,24.2316813296618,5.23688354409996,18.3593997955322,18.8188991546631,20.3981249332428,23.0517997741699,26.5736742019653,31.5378303527832,34.9146814346314,1551,3155.50676982592,530.712222413104,2236,2566,2886,3180,3490,3765,3917
"[-59,-58)","[30,35]",1395,28.3212975177286,2.35861815276116,23.8999996185303,25.6000003814697,27.3999996185303,28.7000007629395,29.7999992370606,30.7599998474121,31.2999992370606,0.537559234212557,0.28199224751909,0.0655461005866528,0.135656982660294,0.309308260679245,0.555870056152344,0.778158247470856,0.912927472591401,0.954380333423615,32.2743574573248,1.42023961804665,30.2040068493151,30.3707534246575,31.0360159817352,32.2175799086758,33.4374429223744,34.2851826484018,34.6691210045662,369,24.8352864313255,5.29700590123263,18.3593997955322,19.1635204315186,21.0771999359131,23.4375,27.9229249954224,31.8082794189453,35.7044068336487,1302,3159.12980030722,582.673088931971,2240,2520.5,2840,3197,3548,3819.4,3969.8
"[-58,-57)","[20,25)",935,27.7609198034766,2.54160045038027,22.8999996185303,24.5,26.6000003814697,28.2000007629395,29.5,30.2999992370606,31.1000003814697,0.485274985778136,0.288242389761055,0.0508131600916386,0.0889914602041245,0.238699436187744,0.476320058107376,0.739569425582886,0.881678915023804,0.947784024477005,22.7507590408517,1.44043226631474,20.2983904109589,20.6183561643836,21.552397260274,22.8454337899543,23.9916095890411,24.6480821917808,24.8100913242009,283,22.6439525308261,4.08295366021451,17.2693402290344,18.0117607116699,19.7952003479004,22.0386009216309,24.5060000419617,28.1872195243836,30.025780582428,882,3136.53968253968,518.015981845488,2320.25,2511.8,2860.5,3190,3455,3711.8,3910
"[-58,-57)","[25,30)",1592,27.9962123033389,2.57479326214111,22.8999996185303,24.7000007629395,26.9749999046326,28.5,29.7000007629395,30.6000003814697,31.2000007629395,0.501069481865721,0.292522235907763,0.0428422093391418,0.0857326351106167,0.250464085489512,0.510937988758087,0.757800117135048,0.897609829902649,0.950475990772247,27.5619555396847,1.39953581397547,25.3035388127854,25.5893493150685,26.4085331050228,27.6098173515982,28.7632705479452,29.4775114155251,29.7269406392694,365,23.9045539592561,5.29587264618838,17.9586391448975,18.724760055542,20.3727502822876,22.4766006469727,25.7269199371338,32.228980255127,36.0164198303223,1486,3179.87550471063,510.835439030954,2315,2575,2906,3200,3505.75,3776.5,3943
"[-58,-57)","[30,35]",1437,28.2863465901788,2.30752749764302,24,25.3999996185303,27.1000003814697,28.6000003814697,29.7999992370606,30.7999992370605,31.4199996948242,0.525817542746158,0.288881874037146,0.0685250386595726,0.126268965005875,0.271465599536896,0.535651922225952,0.781148135662079,0.918782651424408,0.961599814891816,32.2417876537561,1.40716863088312,30.2030821917808,30.4262785388128,30.9955479452055,32.1624429223744,33.3762557077626,34.2637899543379,34.6016210045662,374,24.6124679885446,5.62531186637659,17.908704662323,18.5910299301147,20.5996878147125,23.322274684906,27.1901252269745,33.5334594726563,36.4481950759888,1342,3173.65797317437,526.727779430635,2270.45,2545,2890,3213,3505,3777.6,3953.8
"[-57,-56)","[20,25)",931,27.5508700226355,2.70078271736602,21.75,24,26.3999996185303,28.1000003814697,29.2999992370606,30.2000007629395,30.7999992370605,0.463726629806051,0.287567245151489,0.0335807129740715,0.0797478035092354,0.207780033349991,0.44806632399559,0.711347758769989,0.855594635009766,0.927018135786057,22.8943902074168,1.39892609383077,20.4091894977169,20.7584474885845,21.7859589041096,23.0923515981735,24.0985730593607,24.6365296803653,24.8533105022831,266,23.3295013157646,4.66888091274961,18.1776497364044,18.7402496337891,20.1792006492615,21.8918995857239,25.186350107193,30.4786005020142,33.6021003723145,883,3103.15628539071,566.02355506603,2038.5,2532,2855,3154,3442,3724.8,3885
