week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",169,105.218934911243,24.3934636307855,70,74,89,103,120,135,145.6,0.453981434714225,0.264324486368363,0.0546763129532337,0.0921709269285202,0.240695416927338,0.445068448781967,0.66947615146637,0.823552846908569,0.878593516349793,22.9703027478317,1.39333196780643,20.3357534246575,20.9851141552511,21.9627853881279,23.1276255707763,24.2311643835616,24.6864155251142,24.8004109589041,76,23.8071042037847,5.09005093794161,17.5224494934082,18.706000328064,20.3583745956421,22.5739002227783,25.725200176239,30.4835000038147,35.1395263671875,155,3116.21935483871,517.122247735946,2316.5,2520.8,2806,3175,3494.5,3658,3880
"[-60,-59)","[25,30)",303,115.828382838284,29.593329518861,75,83,95,110,131,157.8,172,0.507312858108394,0.280923319176143,0.0675690121948719,0.128617540001869,0.268099322915077,0.490005880594254,0.744518876075745,0.915172338485718,0.955611509084702,27.6259505402595,1.44296720442793,25.19899543379,25.4667351598174,26.5269406392694,27.6995433789954,28.8338470319635,29.569703196347,29.7759703196347,125,24.8939301826477,5.53067630089498,17.9410594940186,19.1430400848389,20.9643993377686,24.1543998718262,28.5156002044678,31.7865200042725,35.8339599609375,273,3192.38461538462,575.391307437129,2251.6,2501,2930,3220,3515,3870,4086.4
"[-60,-59)","[30,35]",274,120.620437956204,31.9124561180293,74,84,97,119,138,162.7,183.35,0.514915298551566,0.294820669385888,0.0491490302607417,0.110529728233814,0.245801281183958,0.536240965127945,0.761963054537773,0.909829324483871,0.970164260268211,32.2544749691698,1.4171771989335,30.1349885844749,30.4026369863014,31.0015410958904,32.235102739726,33.3858732876712,34.2861643835616,34.5731050228311,91,24.2128621031513,4.67729444111829,18.71755027771,19.2336006164551,20.6593831380208,23.3066997528076,26.6883001327515,30.7679665883382,32.8719501495361,254,3191.93307086614,488.736403578276,2205.2,2669.6,2960,3197,3489.5,3724.7,3923.5
"[-59,-58)","[20,25)",169,106.112426035503,28.0451234944226,71,76.8,86,100,119,144.8,158,0.444446987841697,0.285490980092618,0.0609161630272865,0.0976808935403824,0.200582057237625,0.386232048273087,0.656731128692627,0.890353226661682,0.933431208133698,22.9000817324579,1.45648933054731,20.35,20.6475799086758,21.847602739726,23.0722602739726,24.3186073059361,24.6622602739726,24.8049315068493,86,23.53571945013,4.96802170419766,17.1255507469177,18.7402496337891,20.149875164032,22.7690496444702,25.4254248142242,30.6212997436523,32.6891989707947,148,3130.33108108108,525.662994243642,2418.7,2526.9,2885,3130,3468,3710,3776.25
"[-59,-58)","[25,30)",316,113.678797468354,29.6507527109702,73.75,82,92.75,111.5,130,152,169.25,0.490499582520909,0.287001359790788,0.0545205697417259,0.122214425355196,0.234481200575829,0.504620611667633,0.730609238147736,0.892465829849243,0.950646221637726,27.4619606525634,1.46147722209267,25.1866723744292,25.4844178082192,26.20399543379,27.4008561643836,28.7699771689498,29.4831050228311,29.7516267123288,128,24.1383841385444,4.90843670089833,18.4190320014954,18.9054704666138,20.5380997657776,22.9052495956421,26.5651497840881,31.7239201545715,33.482941309611,283,3206.40282685512,499.427757921055,2410.6,2672,2912.5,3180,3553.5,3829.2,4008.5
"[-59,-58)","[30,35]",295,119.193220338983,30.5463841809946,74.7,81.4,98,116,139.5,156,177.3,0.503898744787074,0.293060137144931,0.0542045760899782,0.0892689228057861,0.271867394447327,0.502808451652527,0.771528095006943,0.896160984039307,0.958132010698318,32.3048053556226,1.42638830930231,30.2214611872146,30.3866666666667,31.0598173515982,32.2864155251142,33.5736301369863,34.2452511415525,34.6177853881279,115,24.2683360008571,4.98116492149068,18.2582797050476,18.9266994476318,20.8133497238159,23.2434005737305,26.3359498977661,30.2449199676514,33.5787384033203,266,3216.95112781955,527.72572337525,2344.75,2582.5,2909.5,3252,3549,3830,3993.75
"[-58,-57)","[20,25)",154,111.220779220779,29.7967508763546,73,78.6,89,105.5,128,151.4,160,0.497009174341892,0.290467988281426,0.0755781199783087,0.115603022277355,0.244307018816471,0.462523281574249,0.746666610240936,0.902937793731689,0.937763085961342,23.0241638498488,1.3063876311851,20.7735559360731,21.2194748858448,21.9882705479452,23.1406392694064,24.0728595890411,24.7034817351598,24.8402283105023,75,22.8699495302836,4.15000125378732,17.7287899017334,18.6444404602051,19.7713994979858,22.2063007354736,24.5579748153687,28.7890998840332,31.0899848937988,141,3125.6524822695,536.36149837607,2205,2590,2915,3210,3480,3700,3860
"[-58,-57)","[25,30)",328,113.951219512195,28.8208225944716,70.35,79,93,113,132,154,164.95,0.49817861359646,0.288887626301082,0.0413971446454525,0.0910387493669987,0.242842178791761,0.527206838130951,0.740289151668549,0.896886289119721,0.938850513100624,27.6639829741619,1.40200123556571,25.3690296803653,25.6475228310502,26.4831050228311,27.6888127853881,28.8872146118722,29.5505821917808,29.7825057077626,110,23.8605503588012,5.08728268256039,18.1888701915741,19.186819267273,20.4170377254486,22.6562995910645,25.6656250953674,30.8550792694092,35.3201171875,301,3200.90365448505,509.445777965232,2382,2696,2958,3202,3510,3790,4035
"[-58,-57)","[30,35]",289,116.072664359862,28.8485914618872,73.4,82.8,97,112,134,152,161.6,0.477196023739459,0.276253822344313,0.0488736420869827,0.108713671565056,0.248965814709663,0.450347721576691,0.724223494529724,0.867981374263763,0.911126780509949,32.3691907222196,1.3788165212805,30.2639726027397,30.5123287671233,31.1296803652968,32.4229452054795,33.5874429223744,34.2573287671233,34.473904109589,115,23.6295744909756,5.2337755931474,17.7105306625366,18.3434192657471,20.0610008239746,22.3673992156982,25.6655502319336,29.761060333252,35.2734802246094,262,3193.53435114504,515.540779910129,2361.45,2607.4,2962.5,3249,3480,3714.9,3874
"[-57,-56)","[20,25)",170,108.129411764706,28.6947980916708,68,72.9,89,105,124,146.2,167.2,0.474139320450451,0.289861443866207,0.0493298046290875,0.0711464256048203,0.227552071213722,0.471956968307495,0.715051338076592,0.891205781698227,0.955254244804382,22.8484239860328,1.4285690506419,20.5396803652968,20.7035844748859,21.7708047945205,22.8477168949772,24.0208904109589,24.7937785388128,24.8751598173516,81,22.991329848521,4.71084208154258,18.2416505813599,18.4911003112793,19.7133007049561,21.6713008880615,25.0762004852295,29.7210998535156,31.6032009124756,151,3208.45695364238,561.528684160175,2140,2665,2985,3212,3557.5,3874,3986
