week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",406,70.4487684747856,32.9062332030133,42,47,55,66,79,93,104,0.549642712322266,0.277262335991867,0.0870437789708376,0.160127572715282,0.328607372939587,0.56774514913559,0.799069613218308,0.904255539178848,0.949321061372757,22.8213928627663,1.42475384378789,20.2870148401827,20.740696347032,21.6832762557078,22.940696347032,24.1538242009132,24.621404109589,24.7424372146119,129,24.2736011693644,5.75168825982356,18.022339630127,18.3503799438477,20.2290992736816,23.2162990570068,26.4792003631592,33.0166809082031,36.350959444046,381,3082.72703412074,505.803918767853,2330,2504,2820,3106,3425,3660,3852
"[-60,-59)","[25,30)",695,66.3600000010978,21.3438180915843,40,45,52,63,77,94,105,0.513150867957516,0.282834416780625,0.0684054419398308,0.138132351636887,0.269864112138748,0.513999462127686,0.759345173835754,0.901036381721497,0.944890749454498,27.6764130613318,1.41751373331465,25.3155136986301,25.6617579908676,26.5120433789954,27.759703196347,28.8901255707763,29.5909817351598,29.8184246575342,212,24.5716662566867,5.41672853046281,17.453405380249,19.0749895095825,20.62202501297,23.7536001205444,26.9653190374374,31.6239908218384,35.0122556686401,658,3165.2188449848,539.353588082678,2179.85,2494.4,2890,3200,3478.75,3840,4000
"[-60,-59)","[30,35]",627,66.6826156299841,27.9430496980645,39,43,51,62,74,93.4,106.7,0.475387172119921,0.282051667925921,0.0526048801839352,0.0954656153917313,0.233954682946205,0.469915568828583,0.693146973848343,0.886313617229462,0.942155468463898,32.2713410237924,1.42110015422439,30.1904680365297,30.4011643835617,31.0303652968037,32.1600456621005,33.5202625570776,34.3754109589041,34.5902625570776,161,25.1347028947518,5.3784967522328,18.9866008758545,19.3624992370605,21.3038997650147,23.8281002044678,28.1968994140625,32.4219017028809,35.3824996948242,591,3174.36886632826,551.177503149579,2204,2575,2906.5,3215,3521,3775,3953.5
"[-59,-58)","[20,25)",418,66.7777511925218,20.2460502159446,38.85,46,53,63,79,91,102.15,0.52423236453371,0.284955033318351,0.0485314279794693,0.132408662140369,0.288297057151794,0.538578569889069,0.779624462127686,0.892105686664581,0.94466804265976,22.8260981298202,1.42188589673757,20.3399828767123,20.6475684931507,21.7728595890411,22.924200913242,24.0740867579909,24.6310159817352,24.8133904109589,133,23.2123903558965,4.31201096016648,17.2184001922607,18.6052806854248,20.1362495422363,22.4985504150391,25.3156995773315,29.7520999908447,31.4027599334717,389,3124.10539845758,514.84984969262,2327.2,2505,2882,3170,3428,3684.4,3823.6
"[-59,-58)","[25,30)",692,65.456358385913,20.6995676627042,41,45,52,62,75,89.9,101,0.502384104112503,0.273581228727487,0.0755543634295464,0.131721243262291,0.279260724782944,0.499933987855911,0.735072135925293,0.877565515041351,0.933263796567917,27.5164734935466,1.41263698781826,25.2544691780822,25.5469178082192,26.3482591324201,27.4735730593607,28.7090753424658,29.4779337899543,29.7508276255708,204,23.9934957047693,4.83335032693945,18.1038301467896,18.7031200408936,20.3214249610901,23.1524996757507,26.063449382782,30.9190296173096,32.8640102386475,653,3164.77335375191,527.011831010543,2289.8,2616.8,2885,3180,3480,3775,3980
"[-59,-58)","[30,35]",631,67.1676703632917,22.0284815808034,40,44,52,63,79,93,107.5,0.503210303268381,0.288035608436258,0.0591023564338684,0.106128334999084,0.253207057714462,0.501746594905853,0.760484963655472,0.884989798069,0.943256288766861,32.3551961444109,1.45322111413303,30.1860159817352,30.3736301369863,31.0727739726027,32.4337899543379,33.6001141552511,34.3461187214612,34.6791666666667,197,24.9262973452179,5.38261997819793,18.3642795562744,19.5135795593262,21.3038997650147,23.3355007171631,27.9421005249023,32.8341921488444,36.2923301696777,584,3166.08732876712,543.857183077787,2263.75,2552.9,2845,3189,3542,3804.1,3959.7
"[-58,-57)","[20,25)",366,68.146174863388,20.1483830987161,41.25,46.5,54,66,77.75,91.5,103.75,0.545736368977124,0.278691010899882,0.0806701425462961,0.151447147130966,0.297197461128235,0.586996197700501,0.776118114590645,0.901376813650131,0.94988776743412,22.7635049404896,1.38513818388913,20.4756849315069,20.9987442922374,21.5507420091324,22.751997716895,23.9910388127854,24.626997716895,24.7954052511416,139,22.7685534638467,4.17375936087414,17.3084603309631,18.2322196960449,20.0287990570068,21.6128005981445,24.7186498641968,28.9004592895508,30.1162600517273,345,3107.31014492754,496.789155051732,2265,2494.4,2850,3140,3435,3676.4,3830.4
"[-58,-57)","[25,30)",668,68.6160179640719,24.7502595993771,41,45,52,63.5,80.25,96,108.65,0.531438082647681,0.285720878768024,0.0767354287207127,0.13551491945982,0.287588208913803,0.534604251384735,0.802226841449738,0.911015272140503,0.953567352890968,27.6378915114976,1.37637025093542,25.4289840182648,25.726198630137,26.5224315068493,27.6935502283105,28.7855593607306,29.5134817351598,29.7628538812785,164,23.7503086493267,5.07522633371317,18.1353802204132,18.861799621582,20.5372748374939,22.0386009216309,24.9732756614685,31.1766796112061,35.6012945175171,628,3156.92038216561,524.478709859482,2312.8,2518.5,2859.25,3177,3497,3778,3951.15
"[-58,-57)","[30,35]",630,65.3906349182129,30.5500364846089,39,44,51,60.5,73,88,100,0.459146434681708,0.272845655307401,0.0512108877301216,0.108510740101337,0.230245545506477,0.442661628127098,0.683771252632141,0.850069659948349,0.9197809278965,32.279286439081,1.40776154015007,30.1899543378995,30.4169520547945,31.014897260274,32.2585616438356,33.5117865296804,34.1835045662101,34.4880136986301,191,24.7764898249408,5.47241832133611,18.1422500610352,19.3337001800537,20.7864503860474,23.3843994140625,27.4899501800537,33.4622001647949,36.4871501922607,585,3197.15042735043,496.320327756001,2371,2590,2910,3238,3500,3772.4,3936.8
"[-57,-56)","[20,25)",390,69.7556410275973,23.0960775533974,42,46,55,67,79,94.1,108,0.557108944067612,0.27565622844718,0.0850166287273169,0.142226485908031,0.346810191869736,0.580607295036316,0.795756384730339,0.915172255039215,0.958643445372581,22.8980719470788,1.40933058914781,20.4920719178082,20.7429452054795,21.769149543379,23.1219178082192,24.1118721461187,24.6408219178082,24.8456221461187,133,23.3705954468041,4.98565040363478,17.9267192840576,18.6845207214355,20.1739006042481,21.9288997650147,25.2362995147705,30.8483800888062,34.9947204589844,369,3088.81571815718,593.329673804948,2055,2513,2841,3135,3435,3756.8,3926.8
"[-57,-56)","[25,30)",716,66.0924581016242,20.3897245226842,38,44,52,62,77,92,102.25,0.515783835965293,0.282449410886249,0.0487478049471974,0.116380706429482,0.279260724782944,0.512046098709106,0.771913349628449,0.893688797950745,0.935450926423073,27.5138201193847,1.38274782972724,25.2592465753425,25.6368150684932,26.2972317351598,27.5467465753425,28.655850456621,29.4619292237443,29.7105308219178,212,23.4614366158,5.04098740523425,17.5437763690949,18.5532007217407,19.877224445343,22.3333249092102,25.7245254516602,29.6641201019287,33.885241317749,691,3153.7481910275,561.38172988197,2299,2555,2877,3176,3493.5,3760,3970
"[-57,-56)","[30,35]",680,68.3370588246514,25.9190482708523,38.95,43,51,64,79,96.1,112.05,0.505838358448818,0.292702476081217,0.0482156626880169,0.094317227602005,0.234568044543266,0.518315553665161,0.760305762290955,0.901767069101334,0.955683380365372,32.3215604015579,1.45998984490162,30.2062671232877,30.4259246575342,31.0484589041096,32.2529680365297,33.5825342465753,34.4347831050228,34.7135787671233,178,26.1869228757467,5.68105437633292,18.9614456176758,19.8950347900391,21.8724002838135,25.12855052948,29.6605997085571,34.1575805664063,36.8710115432739,636,3185.62264150943,566.16409439823,2216,2541,2885,3233.5,3538.5,3869.5,4019
"[-56,-55)","[20,25)",402,68.0912935247469,26.1929888928558,39.05,44,54,64,77,92.9,103,0.529443292974133,0.284796174922596,0.0552374443039298,0.108586713671684,0.310739830136299,0.558152467012405,0.762107729911804,0.90241014957428,0.947897255420685,22.8752453485995,1.39257110141433,20.490953196347,20.8261187214612,21.7618721461187,23.0807648401827,24.0849600456621,24.6712671232877,24.8418721461187,131,23.7433893601706,4.9709075683555,17.2248001098633,18.0662002563477,20.2572498321533,23.1084499359131,26.3826007843018,29.7441997528076,32.6865491867065,379,3104.35883905013,538.832328559909,2099.1,2507.4,2860,3145,3450,3691,3825.7
"[-56,-55)","[25,30)",710,66.259859157616,21.0265218387458,39,43,51,63,77,94,104,0.513244317719487,0.287732797639764,0.0582576852291822,0.107924796640873,0.263990879058838,0.520782887935638,0.761498987674713,0.902711337804794,0.941494822502136,27.6481897549682,1.39754164076965,25.3046632420091,25.5816438356164,26.5357591324201,27.6666666666667,28.894149543379,29.5040639269406,29.7327568493151,217,24.2102882071757,5.14397265784329,18.0204391479492,18.924080657959,20.5363492965698,23.0468997955322,27.0051002502441,31.6082408905029,35.1344589233398,676,3199.46597633136,564.001261119493,2327.5,2583,2900,3220,3528.5,3897.5,4075.75
"[-56,-55)","[30,35]",622,68.3564308571279,24.1030313027212,39,44,53,64,79,94.9,108.95,0.511503017434874,0.28471716331507,0.0494915433228016,0.108510740101337,0.274355590343475,0.51455283164978,0.762162312865257,0.895270609855652,0.946633818745613,32.1362217181283,1.43879848344652,30.1626141552512,30.3381735159817,30.9331906392694,31.8953767123288,33.3025399543379,34.2355479452055,34.6220262557078,188,24.4198515589356,4.61672053961348,18.4294634501139,19.3538595199585,20.9485995769501,23.7172994613647,26.5405623912811,30.3512395858765,34.0789231300354,580,3211.40517241379,569.621450798524,2308.75,2561.3,2890,3260,3581.25,3914.6,4030.25
"[-55,-54)","[20,25)",394,72.9190355291221,40.1007328082163,44,48.3,56,66,81,96.7,113.4,0.56697908091373,0.275545136113291,0.111128929629922,0.197396948933601,0.335116475820541,0.581471145153046,0.810692295432091,0.922989481687546,0.968262147903442,22.7490346058457,1.41800833435889,20.3578367579909,20.7771118721461,21.5988299086758,22.7850456621005,23.9947773972603,24.6383105022831,24.8522203196347,142,23.4013183900448,5.19982116807989,17.6026554107666,18.2940148353577,19.2475504875183,22.0386009216309,25.6524128913879,30.7480654716492,34.1281502723694,366,3120.45628415301,502.51163906795,2231,2534,2865,3174.5,3388.5,3725,3897.5
"[-55,-54)","[25,30)",733,65.6412005457026,21.1340418856776,39,44,51,63,75,89,100.8,0.506707121326299,0.276818738489049,0.058489240705967,0.120989747345448,0.263990879058838,0.520414710044861,0.735955476760864,0.87383770942688,0.933957040309906,27.5508847421306,1.42324541780013,25.2752054794521,25.6130593607306,26.2972602739726,27.5324200913242,28.784703196347,29.4804566210046,29.7457305936073,208,23.4617282285358,4.66197256611452,18.0040446281433,18.6290098190308,20.2848749160767,22.0803499221802,25.4443249702454,30.6998811449323,33.2102403640747,694,3167.0590778098,524.436750805743,2255.15,2580,2894.25,3214,3475.75,3775.5,3933.05
"[-55,-54)","[30,35]",648,66.0947530887745,21.1991339375841,40,44,51,63,75,95,106,0.487015086403483,0.28264541544521,0.0591023564338684,0.106128334999084,0.236673913896084,0.495378732681274,0.708871498703957,0.895718514919281,0.938881874084473,32.3058337208975,1.42130812277474,30.1658047945206,30.3996347031964,31.0572773972603,32.3216894977169,33.4166666666667,34.3649086757991,34.6136015981735,177,24.4224170022092,4.9552217536903,17.9508792877197,19.1296192169189,21.2584991455078,23.4375,27.1415996551514,31.1281406402588,33.1855400085449,624,3205.89743589744,520.799920969674,2341.35,2560.6,2899.75,3254,3550.5,3828.8,4013.7
"[-54,-53)","[20,25)",420,67.3042857215518,24.546616908319,41,45,52,64,77,91.1,107.05,0.516246678933246,0.283751314821581,0.0679797977209091,0.125353872776032,0.261538028717041,0.543302536010742,0.763219118118286,0.899574410915375,0.952658554911613,22.7370958360513,1.42096136657068,20.4179280821918,20.6877625570776,21.5436358447489,22.8150684931507,24.05,24.6333105022831,24.7543721461187,149,23.1289817642427,4.33809007291038,17.3367599487305,17.8651094436646,20.1956005096436,22.4058990478516,25.4027996063232,30.4317203521729,31.5554232461112,401,3064.48877805486,526.684559768704,2244,2475,2785,3105,3412,3635,3775
"[-54,-53)","[25,30)",708,66.2474576228083,21.7677260478817,41,44,53,63,76,91.3000000000001,100.65,0.518499263714112,0.275868123561251,0.0755543634295464,0.125014007091522,0.291871517896652,0.52677321434021,0.749442398548126,0.889286249876022,0.933962443470955,27.5369385754457,1.33663319306043,25.3373744292237,25.6904566210046,26.5085331050228,27.5984589041096,28.6695776255708,29.3852625570776,29.6072146118721,208,24.5758235589925,5.75702931647514,18.187264919281,19.085669708252,20.4491004943848,23.2036991119385,26.7201001644135,32.8958702087402,37.2532764434814,669,3125.74289985052,592.955418569844,2042.4,2476.8,2856,3200,3502,3785,3948
"[-54,-53)","[30,35]",684,68.7963450247781,33.9510710916014,40,45,52,64,78,94,106,0.505150036080277,0.283055634996654,0.0625655651092529,0.12317468225956,0.250463336706162,0.51455283164978,0.749894618988037,0.889507192373276,0.940890109539032,32.3990794146706,1.44137931031876,30.1892694063927,30.5000456621005,31.1713755707763,32.4231735159817,33.6331621004566,34.4276484018265,34.7677283105023,190,25.4322291234302,5.87040553615655,18.1826046943665,19.0661294937134,21.2452254295349,24.2678003311157,27.6521744728088,33.4014574813843,37.0032361984253,636,3214.17452830189,527.5406699661,2344.75,2564.5,2930,3235,3585.25,3850,3997
