week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",122,15.7623120127398,27.3034718050982,1.25322707295418,1.79999995231628,2.55203026533127,3.63265705108643,18.3249998092651,42.442004776001,61.4181882858276,0.596951941606497,0.274438614418191,0.0734591908752919,0.204805314540863,0.426127068698406,0.612591058015823,0.842990383505821,0.940841525793076,0.980113413929939,22.9324481622876,1.33063761507571,20.4803824200913,21.0011872146119,21.9044235159817,23.0682648401827,24.0226598173516,24.6231278538813,24.8187214611872,35,25.0636185509818,4.83124547174904,19.1736602783203,19.336780166626,21.447850227356,24.8358001708984,27.7933502197266,30.7175327936808,35.687922668457,116,3042.40517241379,544.180260710481,2091.25,2313,2793,3062.5,3402.25,3681,3757.5
"[-60,-59)","[25,30)",254,17.1482950502963,47.3554338858799,0.919499996304512,1.17199999094009,1.85834348201752,3,12.7999999523163,39.9102558135987,53.022550201416,0.520538160279503,0.299489106222044,0.0458057316020131,0.0871689163148403,0.258565209805965,0.527089953422546,0.79594686627388,0.915415519475937,0.956218013167381,27.8115161974616,1.3329144942043,25.4717751141553,25.9321347031964,26.7947773972603,27.8684931506849,28.923544520548,29.4901484018265,29.766546803653,72,25.1150986229932,6.15341578069097,18.2587197303772,19.1627901077271,20.5380501747131,23.4375,26.6787505149841,33.9208334350586,39.0834999084473,240,3025.9875,622.738274078358,1745.45,2312,2715.5,3094.5,3412,3721,3911
"[-60,-59)","[30,35]",238,12.8906533488957,21.8369487372988,0.917000010609627,1.09437021017075,2,3.09999990463257,10.5000002384186,40.5520431518555,59.8186864852905,0.538130703837094,0.289676137400805,0.0518324315547943,0.0848248384892941,0.316513389348984,0.564752697944641,0.772750005126,0.913409131765366,0.964489978551865,32.1840892521392,1.46652466281122,30.2136244292237,30.3683447488585,30.8517408675799,32.089897260274,33.5716609589041,34.1903310502283,34.7005136986301,68,24.6392105747672,5.8829261682088,18.4634296417236,19.2497297286987,20.3989500999451,22.1353006362915,27.9678754806519,31.6417102813721,38.2935443878174,218,3002.71100917431,606.334384762666,1978.5,2453.5,2681,3050,3343,3687.1,3917.25
"[-59,-58)","[20,25)",140,10.3155001619032,19.3031913312635,1.11188321709633,1.30066089630127,1.98496526479721,2.86209011077881,4.84999990463257,32.4751804351807,50.9452013015747,0.494936641052898,0.288766035490987,0.0604708245024085,0.101672421395779,0.256498798727989,0.494089230895042,0.707240447402,0.91099848151207,0.964072418212891,23.0226369863014,1.42309608013427,20.4550285388128,20.8893949771689,21.9004851598174,23.1436073059361,24.3704908675799,24.7838127853881,24.8773573059361,35,23.3375036512102,3.94275107828319,18.3533098220825,18.7639804840088,20.1092748641968,23.1247005462647,25.1862497329712,27.5198596954346,29.2139100074768,131,2875.92366412214,666.77222057312,1544.5,2266,2524,2920,3330,3584,3880.5
"[-59,-58)","[25,30)",296,17.2854243947848,42.4126877692126,0.940522477030754,1.20000004768372,1.89999997615814,2.90000009536743,16.0339407920837,49,65.2249984741211,0.523604515766901,0.307761559048011,0.0459895068779588,0.100754912942648,0.259114466607571,0.521326690912247,0.809293866157532,0.943326503038406,0.974714875221252,27.8066171479699,1.41165521012815,25.3936358447489,25.7296803652968,26.6512271689498,27.9051369863014,28.977796803653,29.5927511415525,29.8558219178082,82,24.7995066875365,5.49603061758397,19.1021245956421,19.6957494735718,20.8832495212555,23.0765495300293,27.1448254585266,33.2866302490234,35.5737293243408,285,2997.44210526316,700.386101503057,1670.8,2072.2,2638,3112,3445,3809.6,3976
"[-59,-58)","[30,35]",262,14.0000498832865,35.0256825359182,0.890499985218048,1.00499999523163,1.72500002384186,2.90000009536743,10.9999997615814,40.7879638671875,56.6550006866455,0.506344421495211,0.30368664063207,0.0375015364959836,0.0713270910084248,0.245139628648758,0.522485047578812,0.770503133535385,0.915074241161346,0.95709912776947,32.5198996130921,1.49503991941398,30.3060331050228,30.4891438356164,31.2181506849315,32.5215182648402,33.8251997716895,34.5950114155251,34.8142237442922,62,25.2498292769155,6.09236496823618,18.2584144592285,18.423999786377,20.3512749671936,23.4974498748779,28.858699798584,32.8254215240479,37.6743567148844,249,3098.12048192771,601.203190068178,2166,2444.8,2712,3080,3500,3884,4040
"[-58,-57)","[20,25)",131,13.627941100197,23.9779992163985,0.942915499210358,1.20843803882599,2,3.18009996414185,15.9000611305237,40.3872718811035,53.9026947021484,0.533110888920127,0.310496012179746,0.02996158413589,0.0737493559718132,0.247255623340607,0.54542750120163,0.824471920728684,0.931012570858002,0.964468270540237,22.9172174003974,1.37565290622841,20.3504566210046,20.7955479452055,21.9203767123288,23.1982876712329,24.0325342465753,24.5958904109589,24.7943493150685,32,23.5827910900116,4.62298581668508,17.4820568561554,18.3104995727539,20.3368253707886,21.9583501815796,27.5931746959686,30.4687995910645,30.7702816009522,119,2944.91596638655,612.188247604955,1844.3,2205.2,2685,3000,3350,3578.8,3835.8
"[-58,-57)","[25,30)",299,9.94384803087217,17.8896181922102,0.944999986886978,1.1873274564743,1.87222898006439,2.95749306678772,6.07109498977661,32.8440254211426,48.2900005340576,0.500577020540981,0.286659546131143,0.0463482029736042,0.0832928791642189,0.247606128454208,0.526978969573975,0.72758075594902,0.89186624288559,0.945234751701355,27.767724607138,1.43434124291771,25.3104452054795,25.621894977169,26.5036529680365,27.9926940639269,28.8861301369863,29.6570319634703,29.8700570776256,84,22.2412976726653,3.82392841789035,17.4986342430115,18.1283532142639,19.1304750442505,21.8178997039795,23.8833999633789,26.6568551063538,27.6180757522583,286,3055.86363636364,621.385062078902,2020,2437.5,2742.5,3110,3449.25,3722,3996.5
"[-58,-57)","[30,35]",277,14.3410770623047,37.120967299456,0.899999976158142,1.13890156745911,1.81265699863434,2.90000009536743,6.74181222915649,40.1799987792969,57.5470893859863,0.508822173553448,0.287677609415784,0.0480070292949677,0.0946771055459976,0.265887796878815,0.517123281955719,0.729983687400818,0.913625192642212,0.961810278892517,32.2774710284688,1.45951533768532,30.1778538812785,30.3567123287671,31.0037671232877,32.0584474885845,33.5159817351598,34.5051141552511,34.7469406392694,70,23.8255189868382,4.58064325244236,18.2426902770996,18.423999786377,20.525399684906,23.1430492401123,26.9043502807617,29.3068298339844,31.8080478191376,261,3071.16091954023,585.434556683453,2202,2384,2802,3090,3426,3758,3966
"[-57,-56)","[20,25)",129,15.8194329632345,26.2201392471143,0.991498613357544,1.36744296550751,2,3.20000004768372,19.8438243865967,45.7639991760254,70.0800003051758,0.549882266778759,0.315232625527914,0.036738333851099,0.104515904188156,0.268881887197495,0.559716403484345,0.845438122749329,0.953167402744293,0.984399485588074,23.1009858058122,1.24323123935602,20.6501826484018,21.3221232876712,22.2529680365297,23.2203196347032,24.0996575342466,24.613698630137,24.7977397260274,34,23.0136401232551,4.43101944340239,16.4184350967407,17.9760894775391,20.7047753334045,22.6099996566773,24.7272872924805,28.0141800880432,31.3013140678406,119,3095.25210084034,567.965462343478,2157.4,2469.8,2770,3085,3462.5,3772,3940.2
"[-57,-56)","[25,30)",334,12.2005472748936,22.8492931525997,0.935119476914406,1.2720400094986,1.89999997615814,2.90000009536743,8.17499995231628,39.2800514221191,58.9600009918212,0.511959479062143,0.295483261726606,0.0465380389243364,0.107809347659349,0.260869562625885,0.514323055744171,0.754955619573593,0.912117117643356,0.964123395085335,27.6425881114483,1.51294241369794,25.243401826484,25.4001484018265,26.2910673515982,27.8573630136986,28.9217180365297,29.6072146118721,29.7965068493151,95,23.4964001324302,5.14764328022734,17.6163303375244,18.8389995574951,20.3329992294312,22.0317001342773,25,31.4302604675293,34.0715995788574,304,3052.87171052632,580.048637987702,1913.3,2336,2811.25,3092,3431.25,3712.8,3794.85
"[-57,-56)","[30,35]",265,13.1161755739518,23.8374775529145,0.899999976158142,1.11582098007202,1.79999995231628,2.79999995231628,11.5437631607056,43.1800003051758,53.5999992370605,0.514018973701124,0.299026022201583,0.0511081404983997,0.0928541079163551,0.261862248182297,0.50648444890976,0.781340599060059,0.925079905986786,0.953100824356079,32.18365899888,1.49072389546581,30.1911415525114,30.3127853881279,30.8149543378995,32.0010273972603,33.5738584474886,34.4916666666667,34.6486301369863,77,25.1331725141187,5.31441822816945,19.0624801635742,19.9115802764893,21.9186992645264,23.9361000061035,27.0552005767822,32.1115409851074,36.5506296157837,250,3060.164,544.321788966577,2123.7,2459.7,2788.5,3088.5,3418.75,3638,3810.5
"[-56,-55)","[20,25)",124,15.9515606126478,25.0668540517461,1.3047648370266,1.48192663192749,2.09999990463257,3.17185091972351,26.1077117919922,45.6799991607666,55.0665529251099,0.55726665375574,0.308962417128913,0.0847243368625641,0.129097186028957,0.303672045469284,0.544724225997925,0.874597474932671,0.949527341127396,0.968456533551216,22.8372680070703,1.39848326049816,20.3282134703196,20.78399543379,21.8893835616438,22.9981735159817,24.0011130136986,24.7190068493151,24.7696746575343,34,23.9592751054203,4.72890733563174,18.4826548576355,19.0690599441528,20.6913499832153,22.2542495727539,27.2932505607605,31.4024898529053,32.6859003067016,120,3060.125,613.642117287629,2085.5,2475.2,2836.5,3161,3422.5,3700.2,3803
"[-56,-55)","[25,30)",306,13.3746424519938,23.9889403344116,0.965522482991219,1.20000004768372,1.90805998444557,3.35000002384186,13.2499997615814,42.9928779602051,53.9503974914551,0.537494979303458,0.301610904933293,0.0516139389947057,0.102010797709227,0.262230835855007,0.579127341508865,0.796386569738388,0.923985362052917,0.957778662443161,27.5446388068165,1.36478383712023,25.2731735159817,25.6696347031963,26.379794520548,27.4997716894977,28.6988299086758,29.414897260274,29.6585616438356,67,23.4134312530062,4.68598292938671,17.0390291213989,17.6727203369141,19.8980503082275,22.8458003997803,25.5137500762939,31.1104997634888,31.7386895179749,290,3037.86551724138,597.764826733877,1953.6,2331.7,2730,3094.5,3356,3786.4,3930.95
"[-56,-55)","[30,35]",249,14.0913247120189,23.9898103901487,0.899999976158142,1.1104279756546,2.09999990463257,3.09999990463257,13.4836235046387,45.8974670410157,63.1039573669434,0.537280192891843,0.292499570453636,0.0472450070083141,0.0916321113705635,0.337573379278183,0.552541077136993,0.794846296310425,0.932047688961029,0.968599140644073,32.286577359667,1.41921682965477,30.195,30.3547260273973,31.1655251141553,32.2367579908676,33.502397260274,34.4011872146119,34.7435616438356,59,24.6106874401287,6.00252058743752,17.0555597305298,18.0313396453857,20.1356000900269,23.1833992004395,28.6315507888794,31.5073905944824,36.3191954040527,239,2973.99581589958,619.678484661335,1904.2,2161.6,2652.5,3050,3433,3653,3797.5
"[-55,-54)","[20,25)",120,15.1168425053358,23.0031315100753,1.19088164567947,1.56104497909546,2.43650782108307,3.75251805782318,20.6871819496155,43.7995182037353,66.3244113922119,0.592894726844194,0.291983452121257,0.0650628212839365,0.12107592523098,0.393564820289612,0.623941034078598,0.86081625521183,0.940731966495514,0.981738683581352,23.1050447108067,1.36750862655158,20.6529052511416,21.0187328767123,22.1335901826484,23.2325342465753,24.2171232876712,24.7827283105023,24.8381164383562,31,23.0416322831185,5.89696045199874,17.0109996795654,17.908899307251,18.6499004364014,21.1109008789063,24.9218502044678,31.1389999389648,34.0402507781982,114,3093.34210526316,644.960118530319,1991.25,2241.5,2791.25,3136,3472.5,3869.6,4044
"[-55,-54)","[25,30)",314,12.9699201582913,24.0530509987271,1.10000002384186,1.22390662431717,2,3.18009996414185,14.1999998092651,38.4254467010498,53.5750015258789,0.536307020514765,0.289802409623816,0.0783280815929174,0.104145281016827,0.286544151604176,0.557009071111679,0.800401538610458,0.914809989929199,0.956411048769951,27.5786042521013,1.39362206573337,25.3403881278539,25.6538127853881,26.3793664383562,27.5807077625571,28.6990011415525,29.5893378995434,29.7684931506849,69,22.4366196038066,4.3144770197112,16.7941999435425,18.0900196075439,19.493200302124,21.359899520874,24.6548004150391,29.6967800140381,30.7269004821777,294,3114.64965986395,588.678890302052,2056,2387.2,2865,3163,3468,3787,3984
"[-55,-54)","[30,35]",309,16.7575782124664,28.9005899101598,1,1.2720400094986,1.89999997615814,3.40000009536743,19.7999992370605,49.6199989318848,76.4130920410155,0.557181856524151,0.298475643121886,0.071560113132,0.121907615661621,0.287065327167511,0.587481558322907,0.818435966968536,0.940914952754974,0.984047210216522,32.3910663356534,1.47642030323343,30.21100456621,30.4937214611872,30.9818493150685,32.2945205479452,33.7626712328767,34.4918721461187,34.6810045662101,70,25.2592626753308,5.84695564483373,18.3254602432251,20.1512292861939,21.371600151062,22.6928749084473,28.7479758262634,33.2030982971191,37.6144559860229,290,3073.01034482759,579.506235860551,2195,2479.5,2721.25,3092.5,3427.5,3793.8,3932.75
"[-54,-53)","[20,25)",136,17.3834005061756,38.2820254281002,1.25613951683044,1.52499997615814,2.12300020456314,3.64675652980804,20.237464427948,47.6597537994385,65.6093139648438,0.567921721762747,0.303139572298129,0.0828110352158546,0.133179225027561,0.294612735509872,0.614388287067413,0.84209831058979,0.96049565076828,0.981084018945694,22.924365431104,1.28585509516978,20.5666952054795,21.0736872146119,21.9246575342466,23.0052511415525,23.9527111872146,24.5312785388128,24.8092465753425,34,24.5307500035155,4.74282265216922,17.6759198188782,18.1110092163086,20.6312873363495,24.5959997177124,27.694224357605,30.4687995910645,30.9351711273193,128,3018.7421875,622.011725414126,2108.7,2320.9,2778,3184.5,3352.5,3656.8,3859.1
"[-54,-53)","[25,30)",319,13.5388434475118,34.3284986492315,1,1.17027683258057,1.89999997615814,3,9.76555299758911,40.8659881591797,52.7203491210937,0.519010786788953,0.29266386458848,0.0579160153865814,0.0832817360758781,0.263592109084129,0.537744402885437,0.769088059663773,0.92165002822876,0.955973142385483,27.7524079958775,1.34816334914129,25.4544063926941,25.7483105022831,26.6569634703196,27.8529680365297,28.9227739726027,29.3855936073059,29.6412100456621,88,24.5975216157509,5.74977789548801,18.8338093757629,19.3669897079468,20.3733992576599,23.2855997085571,26.6763243675232,31.9703199386597,34.5268753051758,295,3075.02033898305,557.108899691551,2077,2362.6,2802.5,3140,3448,3721.4,3841.2
"[-54,-53)","[30,35]",270,12.2356689947623,24.0945411741207,0.844999995827675,1,1.70000004768372,2.95000004768372,10.1749999523163,39.4700012207031,54.2835571289061,0.510254988656757,0.298563954979235,0.0391049187630415,0.072110103815794,0.240367889404297,0.53550198674202,0.775516659021378,0.911379313468933,0.953888553380966,32.3886364789447,1.39453247988364,30.2898059360731,30.5869063926941,31.2317351598174,32.2752283105023,33.623801369863,34.4287671232877,34.6508162100457,66,24.9051370428066,6.10196170513636,18.2736501693726,19.0074996948242,21.4273495674133,23.2135992050171,25.5364499092102,33.8344993591309,37.9364252090454,259,3024.22393822394,621.620559666373,2204.7,2329.6,2682,3060,3380,3680,3913.2
"[-53,-52)","[20,25)",151,12.1373418391935,17.5704966128298,1.05000001192093,1.39999997615814,2.09999990463257,3.8161199092865,14.2008171081543,38.5,44.5,0.563680301858297,0.302127763098806,0.0463346168398857,0.123795673251152,0.294644892215729,0.638785421848297,0.818726122379303,0.928623020648956,0.951446354389191,23.007379267592,1.45149055551057,20.3981735159817,20.9926940639269,21.7412671232877,23.2617579908676,24.3436073059361,24.7243150684932,24.8475456621005,36,26.893640515245,4.97753553563552,19.09375,20.7057504653931,22.9745244979858,26.1490001678467,30.4687995910645,32.9286560482449,34.1754512786865,139,3036.26618705036,610.141603611076,2139.3,2309.4,2749,3080,3385,3732.4,3911.5
