week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",67,473.368825770136,347.414181252563,149.945343017578,173.819998168945,230.212814331055,339.399993896484,599.872406005859,910.893798828125,1246.55302124023,0.522766640048419,0.309025586850821,0.0722703002393246,0.129970827698708,0.266869097948074,0.483437091112137,0.809474617242813,0.934204280376434,0.9677374958992,22.8282968718054,1.42885366597312,20.2110388127854,20.6217351598174,21.7560502283105,22.8832191780822,23.9615296803653,24.6709360730594,24.7921461187215,18,24.0007389386495,4.08589743559257,18.6479550361633,19.4948701858521,21.2648253440857,22.9315996170044,26.9451246261597,29.2588897705078,31.5744698524475,62,2969.75806451613,527.158161648773,2043.25,2410,2845.5,3032,3264,3543,3589.5
"[-60,-59)","[25,30)",126,337.902564539228,194.110484911887,117.699998855591,147.968101501465,195.700004577637,295.904281616211,435.25,611.560699462891,703.574981689453,0.491593797776538,0.275369761095101,0.0559373600408435,0.0968100056052208,0.237374316900969,0.520627737045288,0.731538191437721,0.864899277687073,0.896434292197228,27.6881106399942,1.41739874454282,25.2359303652968,25.7533105022831,26.5532248858448,27.751598173516,28.8922374429224,29.533904109589,29.7863299086758,24,24.6681773291694,5.68300730197108,17.5781002044678,17.9658803939819,21.3624505996704,23.6291999816895,26.9349370002747,32.1907879638672,33.8744504547119,117,3042.35042735043,628.761937793565,1726.8,2169,2732,3140,3454,3722,3934.8
"[-60,-59)","[30,35]",106,310.954857448362,206.37296703742,108.625001907349,140.84789276123,173.399997711182,255.340454101563,361.702209472656,525.5,844.723022460938,0.496461860659831,0.278981192489767,0.0580157693475485,0.131341032683849,0.263885632157326,0.515775114297867,0.721723422408104,0.845436453819275,0.950584664940834,32.5788855862841,1.49729412634584,30.2899828767123,30.5683789954338,31.1613584474886,32.6684360730594,34.0138413242009,34.5344748858448,34.7871575342466,22,22.7093249234286,4.96830911498412,17.6526644706726,18.1374101638794,19.2298994064331,21.0128002166748,25.6518244743347,30.547080039978,30.9653817176819,98,3052.32653061224,697.252055114243,1895.7,2477.6,2820,3074,3421,3832.2,4033.3
"[-59,-58)","[20,25)",70,387.279853820801,225.809472736331,127.659599304199,147.812582397461,210,361.351104736328,498.325004577637,665.957568359375,859.825,0.47700775491872,0.287089081775608,0.0415566086769104,0.0778942663222551,0.208258830010891,0.51746729016304,0.715571820735931,0.845854383707047,0.914771711826324,22.7113258317025,1.46292008086398,20.3120662100457,20.4543493150685,21.4449200913242,22.872203196347,23.9257420091324,24.6190182648402,24.7767351598174,23,22.3527420983798,3.71797714720959,18.3411298751831,18.4057399749756,19.6230001449585,21.8299999237061,23.9990170796712,26.2285266876221,30.2702936172485,66,3084.06060606061,624.159370151021,2137.75,2471,2885,3115,3439,3689,3914.25
"[-59,-58)","[25,30)",141,338.024778325507,185.805644008761,140.600006103516,160.399993896484,207.699996948242,295,422.200012207031,567.799987792969,719.400024414063,0.499780431786116,0.259405078374344,0.0856055021286011,0.149567648768425,0.302707135677338,0.508213579654694,0.713509738445282,0.829423308372498,0.897558748722076,27.7668747368762,1.40656253311464,25.3982876712329,25.8310502283105,26.5323059360731,27.8720319634703,28.9111872146119,29.5521689497717,29.7519406392694,40,24.8403286457062,6.035793353312,17.6613302230835,19.5249095916748,21.0106496810913,23.7022495269775,26.5992250442505,30.5134147644043,36.5633499145508,135,3099.45185185185,614.050434489946,1928.8,2454,2775,3100,3532,3864.4,3943.4
"[-59,-58)","[30,35]",118,317.947405475681,218.833968353309,112.669997406006,127.161719512939,181.450000762939,234.042602539063,387.489379882813,687.1,818.524975585937,0.492993701239002,0.285586589685928,0.062344167008996,0.0938023373484612,0.275616198778152,0.464467108249664,0.724076554179192,0.918971085548401,0.945937639474869,32.4076048680443,1.4204893799429,30.1857191780822,30.4294063926941,31.3358162100457,32.320605022831,33.6144691780822,34.4108561643836,34.5507534246575,30,27.5223873380631,6.52791476448966,20.6274653434753,21.2481792449951,22.6130003929138,24.7845993041992,32.9842991828918,36.8468696594238,38.9016647338867,109,3082.08256880734,678.872951191905,1934,2442,2705,3044,3490,3815.2,4156
"[-58,-57)","[20,25)",79,400.108007600036,248.922523589992,133.038300323486,184.560000610352,255.319198608398,322,473.542602539063,638.840893554688,970.669989013671,0.486373283829587,0.266399363631507,0.0524516418576241,0.133493062853813,0.313076928257942,0.453778684139252,0.690740048885346,0.830609977245331,0.942952239513397,22.837915438414,1.34842625075725,20.6166780821918,20.7957305936073,21.7300228310502,22.891894977169,23.7981735159817,24.7497945205479,24.8595091324201,22,21.3182629093979,2.72242993081121,17.3936792373657,18.0378890991211,19.2214255332947,20.9188499450684,23.5527243614197,24.5998500823975,25.7250225067139,74,3060.16216216216,568.301507547,2190.7,2376.5,2767.75,3115,3410.5,3665.1,3845.65
"[-58,-57)","[25,30)",161,377.693331463737,245.028337409502,127.659599304199,157.899993896484,210.600006103516,311.399993896484,450,680.851196289063,872.340576171875,0.52809106630869,0.277690179514727,0.0717670172452927,0.126548260450363,0.312082499265671,0.568533539772034,0.767132759094238,0.894252002239227,0.939196884632111,27.6306368586744,1.31861570695556,25.3603881278539,25.562899543379,26.6610730593607,27.7624429223744,28.7214611872146,29.2584474885845,29.6260273972603,50,22.7996452713013,3.71210769382395,17.9648852348328,18.6548105239868,19.9503993988037,22.8329992294312,24.1505742073059,27.3782997131348,29.6253244400024,155,3087.46451612903,574.226914257242,2237,2338.4,2812,3135,3466,3736,3862
"[-58,-57)","[30,35]",122,312.367586636152,278.015802448626,106.855976104736,128.243639373779,170.212799072266,234.042602539063,321.512237548828,522.539978027344,844.829998779297,0.466579525407068,0.270153167056979,0.0543971229344606,0.109009707719088,0.249754704535008,0.475449547171593,0.660014688968658,0.851674449443817,0.950319170951843,32.329199416124,1.47422126535509,30.2626426940639,30.4339155251142,31.0613299086758,32.128595890411,33.6423515981735,34.2720433789954,34.6823915525114,20,22.7791924953461,3.56061727141769,17.7081156730652,17.934819984436,20.0045504570007,22.2041997909546,25.5976500511169,27.4924293518066,27.7597197532654,116,3164.41379310345,537.816181122938,2235,2559,2778.75,3215.5,3482,3811.5,3934
"[-57,-56)","[20,25)",87,400.616417895789,249.510425230203,148.93620300293,162.153204345703,217.650001525879,324.600006103516,522,719.921752929688,845.659991455078,0.484048745434346,0.286131544014637,0.0787691414356232,0.0973465815186501,0.23601508885622,0.47899067401886,0.729086667299271,0.872463870048523,0.914098691940308,23.009086495565,1.32202399516754,20.629897260274,21.2932191780822,21.9106164383562,23.0885844748858,24.137899543379,24.5451369863014,24.8017808219178,21,23.8765690667289,3.79336954437372,19.467399597168,20.0590505599976,22.3275499343872,23.0468997955322,24.6666507720947,30.2249994277954,31.6032009124756,86,3110.08139534884,549.106701623138,2295.75,2517,2828.5,3112.5,3418,3683,3947.5
