week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",154,1.07084415291811,0.290309620386678,0.889999985694885,0.910000026226044,0.962499991059303,1.02999997138977,1.10000002384186,1.21700003147125,1.27349997758865,0.580270982755638,0.297158048488955,0.0639622956514359,0.125787480175495,0.315929770469666,0.637769043445587,0.852201774716377,0.952707821130753,0.973579132556915,23.0510963351717,1.49713366355994,20.336649543379,20.7937100456621,21.8906107305936,23.3607305936073,24.4253139269406,24.7317694063927,24.8308789954338,40,23.0640262842178,3.74951271969893,17.9930992126465,18.4887502670288,20.2290992736816,22.9852495193481,25.0434625148773,26.8055701255798,31.291934299469,146,3160.28082191781,456.877660273788,2351.25,2562.5,2890.25,3271,3460,3599,3766.5
"[-60,-59)","[25,30)",310,1.02112903056606,0.147682253149995,0.889999985694885,0.899999976158142,0.949999988079071,1,1.05999994277954,1.12000000476837,1.17549995183945,0.543177579810482,0.277296375062873,0.0753886625170708,0.126075640320778,0.299891620874405,0.580361247062683,0.762175023555756,0.910055339336395,0.944666460156441,27.7133130799823,1.47263641762928,25.2021974885845,25.4943264840183,26.4873002283105,27.773801369863,28.9898401826484,29.7064840182648,29.8357819634703,70,24.4250435291775,5.48416396993136,17.3263648033142,18.1384294509888,21.2339744567871,23.4375,27.5506253242493,31.2509099960327,33.7980995178223,289,3088.55709342561,555.036339238122,2037,2282.8,2791,3144,3425,3754.2,3935.2
"[-60,-59)","[30,35]",285,1.00308771719012,0.0939111583788189,0.889999985694885,0.903999996185303,0.939999997615814,0.990000009536743,1.03999996185303,1.11000001430511,1.1599999666214,0.51695438071007,0.278512792265366,0.0815130174160004,0.13491171002388,0.264987796545029,0.500555336475372,0.751696884632111,0.904089987277985,0.94640781879425,32.3753068172715,1.41790613599714,30.190502283105,30.443401826484,31.2803652968037,32.2695205479452,33.5981735159817,34.4102739726027,34.7485844748858,50,24.9028864479065,5.65366190339372,19.2438096046448,19.7747798919678,20.7190003395081,23.1499500274658,26.7943243980408,32.0499000549316,35.4772245407104,269,3093.4312267658,573.263698984586,2144,2421.2,2745,3160,3470,3798.4,3963.2
"[-59,-58)","[20,25)",146,1.03900684804133,0.103266678377931,0.910000026226044,0.930000007152557,0.970000028610229,1.01999998092651,1.0900000333786,1.16999995708466,1.2325000166893,0.572214261220436,0.269975486590601,0.118987254798412,0.174439050257206,0.358140587806702,0.602240741252899,0.79962956905365,0.915616869926453,0.950631186366081,22.7662295927941,1.44947844700195,20.2703196347032,20.8107305936073,21.6213184931507,22.8200913242009,23.9822488584475,24.6926940639269,24.8887557077626,36,25.2523500521978,5.34434404871481,19.8195996284485,20.2707996368408,21.082799911499,23.2421998977661,28.8266005516052,32.435450553894,35.8350639343262,138,3052.22463768116,518.720520479628,2209.2,2478,2770,3114,3415,3645.9,3664.75
"[-59,-58)","[25,30)",290,1.01386206704995,0.0972257837665613,0.889999985694885,0.910000026226044,0.949999988079071,1,1.05999994277954,1.13999998569489,1.19550005197525,0.534226062296536,0.280921349493258,0.0753886625170708,0.146557545661926,0.300637692213058,0.576709687709808,0.777949273586273,0.916414570808411,0.959236651659012,27.7243985199181,1.43959561102367,25.3696803652968,25.6815753424658,26.5358732876712,27.8177511415525,28.9818778538813,29.6679337899543,29.8080650684932,55,25.232751716267,6.15728995884485,18.4064496994019,18.9070194244385,21.0279998779297,23.4235992431641,27.4899501800537,35.2903991699219,36.6406303405762,267,3132.13108614232,531.475030754722,2251.9,2441,2872.5,3165,3465,3752.4,3858.5
"[-59,-58)","[30,35]",273,1.00194138877994,0.093593906419241,0.875999999046326,0.899999976158142,0.939999997615814,1,1.04999995231628,1.11800000667572,1.16999995708466,0.5191157288208,0.289283932512351,0.0504787057638169,0.120735846459866,0.27351325750351,0.592884659767151,0.761654376983643,0.908028864860535,0.951262307167053,32.363605382441,1.44789281916511,30.2720091324201,30.4724200913242,31.0678082191781,32.3044520547945,33.5406392694064,34.4243150684932,34.6986529680365,66,24.133692094774,5.23081954654382,18.115549325943,18.5718994140625,20.6266833941142,22.6470994949341,27.2591247558594,30.3437995910645,34.6527304649353,252,3104.36111111111,582.725893271271,2120,2351,2787.75,3182.5,3525.5,3757.4,3891.2
"[-58,-57)","[20,25)",152,1.05049342015072,0.115955232363153,0.910000026226044,0.931000006198883,0.980000019073486,1.02999997138977,1.12000000476837,1.16999995708466,1.22000002861023,0.60117503210265,0.275252942085167,0.136770482361317,0.207685542106628,0.377271302044392,0.646693289279938,0.86730083823204,0.916057825088501,0.946198680996895,22.7147222722903,1.47176274780343,20.3043321917808,20.5336643835616,21.5927796803653,22.7384703196347,23.990296803653,24.6648401826484,24.8839726027397,39,22.9222703143063,4.73329144140945,16.5599949836731,17.4999801635742,19.8970499038696,21.4263661702474,26.5328006744385,29.2223742485046,29.9335107803345,143,3123.22377622378,465.286151838502,2287.1,2598.2,2904,3178,3390.5,3640.6,3750
"[-58,-57)","[25,30)",278,1.02697841619416,0.115837272469488,0.889999985694885,0.910000026226044,0.949999988079071,1,1.0900000333786,1.17299995422363,1.22000002861023,0.551865493644217,0.295366681813156,0.0744360089302063,0.148805111646652,0.299891620874405,0.578535467386246,0.832636564970017,0.943227505683899,0.967798516154289,27.5468685325712,1.43215733321885,25.3962043378995,25.5556164383562,26.348002283105,27.6971461187215,28.7628139269406,29.5548515981735,29.7875057077626,58,25.7383852265739,6.38186381318183,18.7005495071411,19.4645202636719,20.9554631710053,23.5513496398926,28.849106992994,36.674129486084,37.7546391487122,259,3215.83011583012,545.945231533079,2294.6,2500,2937.5,3256,3561,3846.2,3942.5
"[-58,-57)","[30,35]",262,1.01183205888472,0.0954906775199397,0.879999995231628,0.910000026226044,0.942499995231628,1,1.05999994277954,1.13999998569489,1.17999994754791,0.543082963277138,0.290169656803513,0.0540790082886815,0.150952219963074,0.281209833920002,0.594034671783447,0.789878994226456,0.930997842550278,0.959648212790489,32.3373156959113,1.43452398955191,30.3417922374429,30.5799543378995,31.0982020547945,32.126997716895,33.6462043378995,34.3951826484018,34.7081735159817,52,25.6806872792733,6.34102429414661,18.4946656227112,19.4707395553589,21.5087504386902,24.0159997940064,28.9204085469246,35.6476989746094,39.2198587417603,247,3110.14979757085,530.314377759164,2100,2534.6,2822,3170,3472,3668.6,3847
"[-57,-56)","[20,25)",155,1.03938709209042,0.102582460984574,0.899999976158142,0.924000012874603,0.970000028610229,1.01999998092651,1.0900000333786,1.16999995708466,1.21000003814697,0.578381189487634,0.275254188102529,0.118136063218117,0.177885344624519,0.319021835923195,0.60708075761795,0.804784268140793,0.935814082622528,0.953701746463776,23.1017101193107,1.26112488339888,20.7168721461187,21.0432191780822,22.3556506849315,23.3030821917808,24.0424657534247,24.6329223744292,24.8855136986301,33,23.4232669117475,4.46500424957554,18.5757202148438,19.1835605621338,20.7031002044678,22.5827007293701,24.0222501754761,29.8265808105469,32.7415283203125,151,3053.39735099338,592.175898186456,1910,2480,2800,3135,3411,3655,3750
