week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",127,40.7236222695178,2.97666728911633,35.9000015258789,37.0199996948242,39,40.5,42.1999988555908,44.6600006103516,46.0099987030029,0.487801005286495,0.290645137663371,0.0253981865942478,0.0658871695399285,0.256037145853043,0.492267161607742,0.704862147569656,0.89921464920044,0.940338939428329,22.7661057778737,1.40919288288985,20.2697602739726,20.8070776255708,21.6100456621005,22.8393835616438,24.1723744292237,24.5358447488585,24.6374315068493,32,24.3145749767621,5.25129828133142,18.558059501648,18.8353404998779,21.0340504646301,23.1717500686646,25.5925245285034,32.9007293701172,33.5920965194702,119,3024.59663865546,452.760690321576,2233.6,2395,2790,3035,3295,3529,3672
"[-60,-59)","[25,30)",174,40.4632184039587,2.44529100802793,36.664999961853,37.3299999237061,38.7999992370606,40.4000015258789,41.7749996185303,43.7699996948242,44.8050004959106,0.442023892137597,0.274808846726671,0.04209029879421,0.0814745977520943,0.201966807246208,0.43500629067421,0.63028946518898,0.836133646965027,0.898393157124519,27.5446563533302,1.44693205600247,25.1697488584475,25.5147260273973,26.3616152968037,27.4200913242009,28.8058789954338,29.6020547945206,29.8314212328767,38,25.3786377739488,5.19181028148503,18.3306994438171,19.0907703399658,22.3469126224518,24.8093004226685,28.6648497581482,32.033575630188,33.4510788917542,167,3214.04790419162,490.422080425089,2386.5,2619.6,2912.5,3225,3534,3755,3988
"[-60,-59)","[30,35]",103,41.5446604015758,3.83946810623317,37.119998550415,37.9400009155273,39.2000007629395,41.2000007629395,42.9500007629395,45.5799987792969,47.1100006103516,0.496784456246035,0.298849552151271,0.0567069370299578,0.103950054943562,0.23249925673008,0.513476133346558,0.740864515304565,0.915893125534058,0.959346270561218,32.341394024028,1.38309538083884,30.3256164383562,30.5659817351598,31.2132420091324,32.3186073059361,33.3474885844749,34.3344063926941,34.6701255707763,18,25.9388787128307,4.91479179171847,19.3383201599121,20.2547605514526,21.9546999931335,25.8753752708435,28.9512413342794,32.5597801208496,34.010830116272,101,3120.0495049505,514.70670048558,2165,2645,2830,3168,3486,3715,3835
"[-59,-58)","[20,25)",127,41.0354330708661,4.65456828812017,36.5299995422363,37.3600006103516,38.9000015258789,40.2999992370606,42.2000007629395,44.7999992370606,46.670000076294,0.478981979088638,0.286397157776003,0.0503807403147221,0.0874403417110443,0.249893747270107,0.44061690568924,0.71903133392334,0.898669791221619,0.95326241850853,22.5927165354331,1.4622533550032,20.1571118721461,20.3720091324201,21.5708904109589,22.6657534246575,23.8387557077626,24.5911643835616,24.7793493150685,45,22.9391177707248,4.52830204953467,18.5902996063232,18.7314193725586,19.8412990570068,21.5139007568359,23.9361000061035,30.619100189209,31.2199602127075,121,3028.0826446281,548.026893907846,2220,2380,2740,3126,3372,3700,3780
"[-59,-58)","[25,30)",165,40.6721209439364,2.73922706982581,36.8599990844727,37.9400009155273,38.7999992370606,40.2999992370606,42.2999992370606,44.5800010681152,45.5999984741211,0.454950525055315,0.280431757856046,0.0500226236879826,0.111451552808285,0.213767677545547,0.427166551351547,0.69907808303833,0.877492475509644,0.930994844436645,27.4069108897191,1.41647743276967,25.2509360730594,25.4130821917808,26.2260273972603,27.4060502283105,28.6777397260274,29.3681050228311,29.7427625570776,49,24.618400293467,5.14023019649796,18.5755298614502,18.7310794830322,20.2912998199463,23.4951992034912,27.4004001617432,31.049299621582,32.6567993164062,155,3069.89032258065,624.270104375844,2067.5,2395,2767.5,3140,3477.5,3743,3872
"[-59,-58)","[30,35]",128,41.203125,3.24372058727943,37.1699987411499,38.1400005340576,39.4000015258789,40.8000011444092,42.5999984741211,44.1299991607666,46.1249992370605,0.477650584551157,0.272079032815996,0.0562219876796007,0.123958549648523,0.262610457837582,0.453901469707489,0.702925115823746,0.852447307109833,0.924905163049698,32.4219115653539,1.36864076284699,30.2402283105023,30.3819178082192,31.5067636986301,32.4692922374429,33.6095890410959,34.1900684931507,34.6299771689498,33,26.3489161520293,5.33488963397681,20.0571399688721,21.5918807983398,23.4375,24.6096992492676,27.9421005249023,35.9034083557129,37.7891189575195,121,3194.5867768595,550.366796924583,2340,2660,2840,3280,3615,3845,3900
"[-58,-57)","[20,25)",118,40.4618644391076,3.03371157261707,36.0849987030029,36.7000007629395,38.7000007629395,40.25,41.9750003814697,44.1299991607666,44.7900005340576,0.460162193388126,0.287878138268342,0.030108155682683,0.0511546321213245,0.222312852740288,0.443902403116226,0.681148871779442,0.865448433160782,0.903751960396766,22.519097786549,1.4400778073291,20.3471974885845,20.5463356164384,21.2301940639269,22.6104452054795,23.8542237442922,24.4977054794521,24.6872431506849,44,23.5265126459526,5.01252712547095,17.4529402256012,18.7594797134399,20.4903750419617,22.4894504547119,26.2681663831075,29.4710599899292,31.8776116371155,112,3147.08928571429,560.595027403057,2436,2574,2890,3145,3436.25,3746.2,4036.25
"[-58,-57)","[25,30)",145,41.5813791998502,7.15764902958517,36.5999984741211,37.8400001525879,39.0999984741211,40.5,42.9000015258789,45.0199996948242,47.1600006103516,0.490803156841289,0.294391725305349,0.0404734678566456,0.101755900681019,0.244404375553131,0.475973278284073,0.753534138202667,0.911627757549286,0.96444981098175,27.435560541647,1.4447219284325,25.3656849315069,25.5040410958904,26.2260273972603,27.3441780821918,28.6831050228311,29.4266894977169,29.6815753424658,30,24.2051601092021,5.4774583237384,19.2903601646423,19.4734001159668,20.1795744895935,23.0048999786377,24.6688494682312,35.4584606170654,36.4330802917481,132,3197.31060606061,563.53636853825,2228.25,2511.9,2916.25,3215,3585,3724,4064.25
"[-58,-57)","[30,35]",128,40.8140625357628,2.98132600430046,36.7000007629395,37.7000007629395,39,40.2999992370606,42.3249998092651,44.5500015258789,46.1249992370605,0.441691075709059,0.281069921086913,0.0385637894272804,0.0926607623696327,0.207607809454203,0.393286377191544,0.676996380090714,0.863162708282471,0.919788655638695,32.2042977668379,1.37368070051809,30.4302625570776,30.5694178082192,31.0188926940639,31.9807077625571,33.2547089041096,34.3002168949772,34.5319235159817,33,26.083743365124,6.2928966862489,17.8452404022217,19.9375198364258,21.3414993286133,24.6093997955322,30.4780006408691,34.8310409545898,38.1347015380859,122,3275.84426229508,444.067060316025,2580.25,2710,3036.25,3335,3558.75,3719,3808.75
"[-57,-56)","[20,25)",125,41.0615999755859,5.38592511142185,37.0999984741211,37.7000007629395,38.9000015258789,40.2000007629395,41.7999992370606,43.9000015258789,46.3800010681152,0.468820161677897,0.268415701578939,0.0699391230940819,0.11594366133213,0.261198312044144,0.42686539888382,0.663372755050659,0.855567407608032,0.952499175071716,22.69859543379,1.45675986941628,20.3169406392694,20.4580821917808,21.3433789954338,22.9466894977169,23.8586757990868,24.578196347032,24.7418264840183,42,22.503207600306,3.70506354502293,16.69471783638,18.298860168457,20.1141753196716,21.9837503433228,24.2854499816895,27.8004204750061,28.9780599912008,120,3057.08333333333,534.983147199157,2136.5,2529.5,2808.75,3120,3376.25,3645.5,3768
