week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",32,22.4375,16.3666409346534,5.55,7,10,19.5,27,42.4,54.9,0.600485909264535,0.264919695063274,0.163417606055737,0.216921952366829,0.37775656580925,0.651498019695282,0.789492666721344,0.930209827423096,0.961755460500717,22.8076091609589,1.45187387085983,20.4229680365297,20.6281050228311,21.9171803652968,22.9107305936073,24.1547089041096,24.7105936073059,24.8338070776256,13,25.2657766342163,6.64291818783774,17.9811401367188,18.6315998077393,20.3703994750977,23.8750991821289,26.7698001861572,34.6539695739746,38.0725494384766,30,3016,454.102449324774,2395.15,2532.5,2771.25,2875,3265.5,3599.2,3828.65
"[-60,-59)","[25,30)",61,20.2131147540984,15.1702721949853,5,5,10,16,24,40,45,0.540687877074128,0.2629334264856,0.134547293186188,0.139507189393044,0.341015577316284,0.540994346141815,0.722623407840729,0.905050933361053,0.931021928787231,27.7576689871996,1.30820375383514,25.9164383561644,25.9955479452055,26.7352739726027,27.702397260274,28.8178082191781,29.6583333333333,29.8062785388128,17,22.9565165463616,4.40044211858478,18.9389461517334,19.3445198059082,19.8790998458862,21.192699432373,25.3391494750977,30.4688301086426,31.3266803741455,58,3173.58620689655,607.331004130649,2338.65,2404.2,2923.25,3222,3535.5,3818,3896.3
"[-60,-59)","[30,35]",44,19.5454545454545,13.510468887349,3.15,5.3,11,16,25.25,35.3,45.95,0.508693372068757,0.258440948365475,0.0522279592230916,0.135479873418808,0.338617846369743,0.492906451225281,0.705919295549393,0.838196527957916,0.9193773239851,32.2421284765463,1.38444870713239,30.1272716894977,30.2745433789954,31.1436073059361,32.2255707762557,33.260644977169,34.0411757990868,34.4788070776256,14,22.9054547264462,4.85624989557056,18.1755001068115,18.5019304275513,19.1542749404907,21.6641502380371,24.9999752044678,29.4832267125448,31.9266528765361,41,3174.31707317073,403.810069155314,2610,2685,2905,3165,3415,3690,3780
"[-59,-58)","[20,25)",35,24.4,25.4941746517998,4.7,7,10.5,17,28.5,50.4,64.2,0.577299518244607,0.278514069507048,0.128358316421509,0.217298373579979,0.382478803396225,0.585687518119812,0.812057912349701,0.95648455619812,0.981747913360596,22.5867188519243,1.65038848573255,20.1179908675799,20.2567123287671,21.1222602739726,22.3352739726027,24.1695205479452,24.698401826484,24.8872716894977,11,21.3908727819269,3.94139235892831,17.0073251724243,17.5781002044678,18.4743995666504,21.082799911499,23.2376251220703,26.9860000610352,27.8482503890991,31,3044.35483870968,534.335758887431,2291.5,2530,2680.5,3050,3326,3576,3781
"[-59,-58)","[25,30)",67,20.9701492537313,19.0724060146985,3.3,4.6,7.5,14,29,50.2,56.7,0.508184690528841,0.310783319326049,0.0722066715359688,0.114675971865654,0.23219757527113,0.480887353420258,0.802910834550858,0.950720167160034,0.969247078895569,27.5729775778641,1.44959226082393,25.2503881278539,25.7307762557078,26.4169520547945,27.2833333333333,29.0078767123288,29.4822146118722,29.682899543379,25,23.0730150222778,5.27176875827334,17.6142395019531,17.9979606628418,19.0470008850098,22.0386009216309,24.605899810791,31.1769203186035,33.8852607727051,63,3206.57142857143,428.245585039695,2526,2757,2920.5,3132,3492.5,3770,3936
"[-59,-58)","[30,35]",67,20.6716417910448,15.7397278284018,4,5.6,8,16,28.5,44.2,55.4,0.505228448714783,0.290930774280794,0.0727764211595058,0.127752181887627,0.221251375973225,0.51162976026535,0.759591102600098,0.907153499126434,0.957094717025757,32.4100337354324,1.55732326926554,30.1538698630137,30.2749086757991,31.1626141552511,32.4884703196347,33.7571917808219,34.5003424657534,34.8215867579909,19,23.1472907317312,4.8296440358063,17.8286301612854,18.0702802658081,19.81369972229,22.0386009216309,25.5494499206543,30.1216201782227,31.3882378578186,58,3137.93103448276,502.241601959915,2350,2551.5,2786,3212.5,3480,3683,3864.65
"[-58,-57)","[20,25)",29,18,13.1638031847075,4.4,5.8,11,14,22,30.6,39.4,0.527886614074995,0.250218374439613,0.110229720175266,0.171450340747833,0.397560656070709,0.504417240619659,0.700994551181793,0.838081467151642,0.913971018791199,22.8671350968351,1.22802442812631,20.8913242009132,21.6233789954338,22.0147260273973,22.8374429223744,23.8615296803653,24.6429908675799,24.836803652968,12,21.4181943734487,2.94086410713249,18.6199547767639,18.8373992919922,19.7120494842529,20.821849822998,22.1059756278992,24.0903104782105,26.4699182510376,28,3349.78571428571,283.855121776462,2913.8,3052,3209.5,3306.5,3509.5,3651.3,3906.75
"[-58,-57)","[25,30)",58,17.5689655172414,12.8200939714725,3.7,5.7,8.25,13,22,34.6,44,0.495772631710459,0.260178206354901,0.0792898098006845,0.164064691960812,0.266682744026184,0.458181038498879,0.681365624070168,0.872449111938477,0.926884588599205,27.779522909778,1.38861269957286,25.3652397260274,25.4813356164384,26.7836187214612,28.1255707762557,28.8180936073059,29.3813242009132,29.4820833333333,21,23.4135606856573,5.79049637411258,17.9417991638184,18.3390998840332,20.3125,20.576099395752,23.7954006195068,33.0859489440918,34.7635002136231,55,3244.8,433.305913662409,2518,2762,2952,3205,3538.5,3772,3848
"[-58,-57)","[30,35]",59,20.4830508474576,12.9231702172063,5,6.6,10,19,26.5,40.2,47,0.527849572252924,0.263642647463291,0.112610220164061,0.161477914452553,0.302019864320755,0.567088782787323,0.721492797136307,0.881758916378021,0.925376713275909,32.4343704047674,1.24697343288091,30.3815296803653,30.6859360730594,31.4710045662101,32.488698630137,33.3694634703196,34.0819863013699,34.4497945205479,23,23.6906976285188,4.30529928518651,18.2472497940063,18.8185794830322,21.2680997848511,23.1833992004395,24.8605003356934,28.1069395065308,32.241138458252,52,3238.32692307692,534.092439717036,2381.45,2537.7,2991.25,3302.5,3546.5,3888.5,3989.4
"[-57,-56)","[20,25)",25,19.32,23.6056490414194,5,5.4,8,10,27,37.2,40.8,0.471192333996296,0.290512700323945,0.14463115632534,0.157143214344978,0.267438679933548,0.36815682053566,0.791284084320068,0.897824430465698,0.923465418815613,22.7413881278539,1.36066564554045,20.60100456621,20.710502283105,21.6529680365297,23.0802511415525,23.6969178082192,24.2329680365297,24.746301369863,11,21.7023181915283,2.63356254368711,17.9702501296997,19.0443000793457,20.5607995986938,21.4535999298096,22.777099609375,25.7210006713867,25.7653503417969,24,3269.33333333333,597.112302208952,1968.7,2815.3,3154.5,3362.5,3562,3817,3871.25
"[-57,-56)","[25,30)",54,16.4814814814815,11.1520211227513,2,4,9,12.5,25.75,30.7,37.35,0.477867755418022,0.275683480265938,0.0505372580140829,0.0818776711821556,0.294203594326973,0.435234129428864,0.73878724873066,0.826699435710907,0.889000833034515,27.7490783020463,1.50286869480251,25.2405764840183,25.5557191780822,26.5175799086758,27.9079337899543,28.9899257990868,29.7023287671233,29.8622203196347,17,21.9403410518871,3.05398752620736,18.0934000015259,18.5556396484375,19.5312995910645,20.7031002044678,24.2423992156982,26.1341201782227,26.5537605285645,52,3166.28846153846,532.131096059669,2300.9,2454,2893.75,3201.5,3577.75,3718.2,3997.2
"[-57,-56)","[30,35]",49,21.9591836734694,14.3250351710933,5.4,7,11,20,30,44.2,47.8,0.551895534201544,0.26247813190208,0.134489321708679,0.172571331262589,0.328622192144394,0.583831369876862,0.788820862770081,0.905895674228668,0.927229571342468,32.3757618115739,1.65639385751148,30.1305707762557,30.2128767123288,31.0365296803653,32.0150684931507,34.0995433789954,34.638196347032,34.6978767123288,14,21.838299932934,2.58254313104702,18.1310996055603,18.5671096801758,20.0195498466492,21.2361001968384,24.5252373218536,25.0151196161906,25.1389720757802,48,3119.85416666667,609.589397545012,2056.9,2315,2711.25,3155,3595,3864.5,3993
"[-56,-55)","[20,25)",36,18.6388888888889,14.1848063137545,5,5,8,16,23,39,43.5,0.52569101150665,0.276723721603227,0.144637539982796,0.145465612411499,0.27035003900528,0.574950665235519,0.724863171577454,0.912221640348434,0.932785153388977,23.111012810756,1.37575250360311,20.8010273972603,21.1643835616438,22.1037671232877,23.3394406392694,24.3864155251142,24.6914383561644,24.8057363013699,14,24.37319285529,4.33391702549201,19.7956798553467,20.9889698028564,21.7341754436493,23.1499500274658,27.1839995384216,29.3121097564697,31.364979839325,32,2945.9375,638.124971959811,1694.4,2105.1,2786.25,3116,3393.25,3476.5,3629.5
"[-56,-55)","[25,30)",54,22.9259259259259,19.3115977000936,6.6,8.3,11,18.5,31,38,51.15,0.577971733209712,0.258287974755734,0.192918005213142,0.265265280008316,0.373054720461369,0.596377670764923,0.826668187975884,0.890261918306351,0.956767070293427,27.5297733806866,1.4646837021344,25.2949885844749,25.600502283105,26.1714897260274,27.5984589041096,28.9016837899543,29.4031621004566,29.6576997716895,16,23.7355478405953,6.21992092501605,18.5030002593994,18.8531503677368,19.9265246391296,21.8180330594381,23.9260249137878,32.6406507492065,37.7361259460449,48,3155.83333333333,680.871479525472,1826.6,2465.4,2981.5,3245,3578.75,3765.7,3886.5
"[-56,-55)","[30,35]",55,23.5454545454546,22.0914079005912,8,8,11.5,17,28.5,42.2,47,0.555125111476942,0.243017650486454,0.222188375890255,0.224525049328804,0.36369463801384,0.548452019691467,0.761900246143341,0.9005495429039,0.920034623146057,32.2072831050228,1.4826553330415,30.1465182648402,30.3068264840183,31.0448059360731,31.9872146118722,33.4707762557078,34.2837899543379,34.6143378995434,20,24.7005314270655,4.3415227380395,19.8350132703781,19.9176198959351,21.305374622345,23.7098999023438,27.9744243621826,30.0464131673177,30.8785064379374,49,3154.08163265306,435.447176127345,2393,2694,2830,3175,3380,3703.6,3885.4
"[-55,-54)","[20,25)",32,21.5625,12.7631968388953,5.65,8.2,11.5,22,27.5,40.4,47.45,0.611084186122753,0.260188433045645,0.160410060733557,0.276538309454918,0.423546992242336,0.710952341556549,0.804232850670815,0.92157666683197,0.951312199234962,22.7923087899543,1.33852482638139,20.4923002283105,20.7000342465753,21.9168664383562,22.8792808219178,23.9621289954338,24.4320091324201,24.6831221461187,16,21.2606281042099,3.64791321986457,16.7334246635437,17.522349357605,18.0697002410889,21.3966503143311,23.4604749679565,26.0403499603272,26.8107252120972,30,3140.8,581.778035644713,2240.3,2297,2816.25,3206.5,3510,3723,3872.1
"[-55,-54)","[25,30)",57,17.9298245614035,13.5539393971995,5,5,9,13,23,36.2,46.4,0.493967807802715,0.261759429491319,0.135659646987915,0.141735717654228,0.294674456119537,0.438642889261246,0.685733735561371,0.87752982378006,0.937129664421081,27.6444083954178,1.41362623624575,25.3340867579909,25.7465068493151,26.3352739726027,27.8013698630137,28.7763698630137,29.5493607305936,29.759200913242,17,22.3578204547658,3.80541953181959,17.7249401092529,17.933699798584,20.2019996643066,21.2890996932983,24.1877498626709,26.1921005249023,28.0121604919434,52,3253.21153846154,515.082873078462,2485.05,2736.6,2980,3274.5,3589.5,3876.6,3971.25
"[-55,-54)","[30,35]",56,21.3392857142857,22.0958875529644,4,5,7.75,16,25,42.5,50,0.492162152060441,0.281914058214797,0.0690241996198893,0.119931779801846,0.229527860879898,0.491904467344284,0.700275436043739,0.898835361003876,0.942553043365479,32.4023401826484,1.39398771501844,30.3825057077626,30.7038812785388,31.1466609589041,32.3873858447489,33.4294805936073,34.3380707762557,34.6259988584475,15,23.8137151313551,2.70721066881026,19.9200783816251,20.1006401062012,22.0445995330811,23.7332000732422,25.3488006591797,27.3355197906494,27.7800399780273,52,3209.5,483.018064859268,2521.75,2661.1,2925.5,3197.5,3497,3701.6,3921.4
"[-54,-53)","[20,25)",26,18,15.2682677471939,3.25,4.5,10,14,19,33,47.5,0.506307618262676,0.265810292247797,0.073856707662344,0.119208551943302,0.358434975147247,0.503931969404221,0.634837150573731,0.865848451852799,0.942453294992447,22.5600588338602,1.40609942322931,20.913299086758,20.962899543379,21.1861015981735,22.398401826484,23.8076769406393,24.5573630136986,24.7975171232877,9,20.5334258962561,3.1391087236368,16.7575801849365,17.2169597625732,17.5533494949341,20.2019996643066,21.9671001434326,24.6133661905924,25.0670997619629,23,3188.17391304348,471.121066487732,2585.9,2681,2778,3124,3612,3753.2,3958.8
"[-54,-53)","[25,30)",46,19.4347826086957,16.1474486101786,5,5,7.25,14.5,25.75,41.5,51.5,0.50306521129349,0.291547111914033,0.135937735438347,0.139507189393044,0.219093952327967,0.496715545654297,0.753310516476631,0.918066471815109,0.958778128027916,27.7873635100258,1.38336674169887,25.3634988584475,25.6803652968037,26.875,27.7792237442922,29.0235730593607,29.399600456621,29.514497716895,20,22.8712274074554,3.87981545981525,17.6764248847961,18.9605195999146,19.6040496826172,22.255350112915,25.1453499794006,27.4046995162964,28.447945022583,44,3173.29545454545,611.836943605283,2039.2,2619.5,2999,3255,3622,3704.1,3770.8
"[-54,-53)","[30,35]",60,19.4,15.8629725557691,2,5,9,16,26,37.2,46.9,0.479546718374816,0.284818504180625,0.0412259843200445,0.114338608831167,0.253432393074036,0.499949023127556,0.709923028945923,0.853068995475769,0.923470759391784,32.8564022070015,1.4533960294316,30.6540639269406,30.932899543379,31.6753710045662,32.9533105022831,34.2053367579909,34.7681735159817,34.8914840182648,22,23.0707979202271,3.33619132138418,19.8460146903992,20.0891807556152,20.8007125854492,22.4618005752563,23.7859501838684,25.0604804992676,30.9407850265503,58,3246.93103448276,366.702224531164,2631.7,2788,3031,3261.5,3522.5,3671.5,3811.1
"[-53,-52)","[20,25)",18,12.2777777777778,11.7263180899937,2,2,5.25,10,14.75,21.6,33,0.367455264553428,0.265969759791471,0.0547570591792464,0.0555136136710644,0.152835831046104,0.363295897841454,0.527311332523823,0.683171159029007,0.854256042838096,22.9064941653983,1.4204827059083,20.5716038812785,20.8196118721461,22.0406392694064,23.2489155251142,23.9773116438356,24.4000913242009,24.7757077625571,9,23.4292776319716,4.58210596519243,18.8945003509522,19.3625003814697,20.4466991424561,22.1270999908447,25.7001991271973,28.2032592773438,30.6305793762207,16,3211.4375,488.404063421535,2458.75,2520.5,2976.25,3175,3601,3790,3886.25
