week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",83,1.64961292226631,0.535896443437695,0.899999976158142,0.976652812957764,1.20676004886627,1.60000002384186,2.04564797878265,2.32302403450012,2.58999991416931,0.495328997407692,0.267018075224458,0.082503367215395,0.116042211651802,0.258913218975067,0.500235676765442,0.738148927688599,0.841193056106567,0.895678693056106,22.9611033173791,1.47508008909052,20.3102283105023,20.6634246575342,21.8502853881279,23.2037671232877,24.2340182648402,24.7917123287671,24.8492694063927,28,23.7095404238928,4.64113396154033,18.8194398403168,18.9872502326965,19.900324344635,22.6684503555298,25.7486082712809,28.5651998519898,33.6449493408203,77,2958.19480519481,507.614027608862,2083,2390,2760,3044,3285,3510.8,3575.6
"[-60,-59)","[25,30)",131,1.60505001576802,0.640005725971767,0.745447993278503,0.800000011920929,1.18942403793335,1.45622396469116,2,2.42704010009766,2.7868800163269,0.517337314240663,0.291913023960115,0.0577270239591599,0.0950040966272354,0.293384596705437,0.483967334032059,0.790499240159988,0.893427491188049,0.94290217757225,27.5674796960508,1.47776795806196,25.1779680365297,25.5022831050228,26.3489155251142,27.4971461187215,28.9762557077626,29.4367579908676,29.7352168949772,27,23.8628747139448,5.53396364750498,17.5781002044678,18.1259002685547,19.7679996490479,22.4541002909342,26.5590748786926,31.3668003082275,33.8837061564128,120,3079.78333333333,604.207838682129,1796.35,2390.3,2874.5,3164,3437.5,3721.4,3877.35
"[-60,-59)","[30,35]",116,1.44881793137254,0.592850320496704,0.699999988079071,0.832127988338471,1,1.34343999624252,1.73360002040863,2.30000007152557,2.5482919216156,0.50455456198161,0.291066400844931,0.0753280073404312,0.10740564763546,0.251280467957258,0.495780795812607,0.744680896401405,0.913312703371048,0.947008296847343,32.4860189340261,1.5392073871012,30.2586187214612,30.3985730593607,30.9065068493151,32.5409817351598,33.8737728310502,34.4986301369863,34.7804223744292,27,24.8444995291439,5.4459542776534,18.2133652687073,18.8146606445313,20.1324005126953,24.167200088501,29.6436335245768,31.2388095855713,33.6611497879028,105,3165.69523809524,599.881095971551,2382.4,2647.2,2850,3160,3530,3893,4041.2
"[-59,-58)","[20,25)",91,1.59510980857598,0.611922317635861,0.849463999271393,0.899999976158142,1.15475201606751,1.5,1.86500000953674,2.35769605636597,2.69999992847443,0.451802775693628,0.270669792895478,0.0616025067865849,0.0971611365675926,0.234524443745613,0.436792641878128,0.654042959213257,0.843562602996826,0.911207467317581,22.773036780571,1.50936470836327,20.1914383561644,20.3931506849315,21.5022831050228,22.9543378995434,24.0186643835616,24.6227168949772,24.7300799086758,25,23.7836257298787,4.77138954140375,18.343159866333,18.4520801544189,19.8838996887207,23.3090991973877,25.0260664621989,29.3119598388672,34.5351585388183,86,3007.87209302326,584.729556321183,1944.5,2392.5,2811,3101.5,3332.5,3552.5,3717.5
"[-59,-58)","[25,30)",139,1.64750607236684,0.814945842248726,0.789344012737274,0.899999976158142,1.10000002384186,1.52556800842285,2,2.59999990463257,2.82923529148102,0.514387201018658,0.295947581374026,0.0731461197137833,0.128228589892387,0.252237133681774,0.546006798744202,0.766931056976318,0.917836391925812,0.957723784446716,27.5051944745573,1.45128875860507,25.3401255707763,25.6425799086758,26.2420662100457,27.3980593607306,28.7984589041096,29.553698630137,29.7442922374429,38,24.8204652259224,5.40304127060226,17.6743655204773,19.2670097351074,20.7855498790741,23.4852504730225,28.394381403923,33.2005199432373,35.0469764709473,128,3096.65625,589.33280622757,2085.25,2348.6,2784.5,3135,3458,3818,3936.5
"[-59,-58)","[30,35]",105,1.45641949886367,0.692545687674984,0.693440020084381,0.798473620414734,1,1.38688004016876,1.70000004768372,2.20000004768372,2.57999992370605,0.495759439011592,0.286950586933519,0.0770051971077919,0.0965458258986473,0.253546833992004,0.493991136550903,0.718068063259125,0.8813197016716,0.950249230861664,32.3483007175473,1.48508713941143,30.0914383561644,30.3999543378995,31.2479452054795,32.0695205479452,33.5954337899543,34.521803652968,34.6277853881279,30,26.8721335759239,6.11523759915154,18.0221402168274,20.6186100006104,22.6215872764587,24.8512744903564,32.0901250839233,35.2975516727993,36.2752330235073,96,3003.29166666667,594.706471899624,1970,2371.5,2680.75,3029.5,3324,3663,3855
"[-58,-57)","[20,25)",80,1.69566920027137,0.620984623445841,0.896606376767159,0.963881611824036,1.13313201069832,1.68999999761581,2.09999990463257,2.42704010009766,2.67841200828552,0.504800458380487,0.290627372393137,0.0932197332382202,0.105140996724367,0.207178466022015,0.543333411216736,0.754555940628052,0.863371551036835,0.90899384021759,22.6900770547945,1.27070260835773,20.6399372146119,20.815296803653,21.6016267123288,22.709703196347,23.6558789954338,24.3750913242009,24.7411301369863,32,23.7409099241098,4.81799396060336,17.1340718746185,18.1061092376709,20.6856255531311,22.9892997741699,26.1692086855571,30.0313151359558,31.3953957557678,74,3012.94594594595,602.01922537662,2028.65,2355.4,2731.75,3092,3367,3642.8,3751.85
"[-58,-57)","[25,30)",162,1.63886310693658,0.670722526195416,0.693440020084381,0.899999976158142,1.10000002384186,1.58500003814697,2.08031988143921,2.5,2.79695435762405,0.526900291441434,0.298769041859164,0.0574918761849403,0.119747810810804,0.269553631544113,0.546006798744202,0.795419439673424,0.914512205123901,0.950917801260948,27.3831444839055,1.30651967110396,25.3666609589041,25.6715867579909,26.4030251141553,27.2749429223744,28.5142408675799,29.1812557077626,29.5998116438356,45,24.3518925974609,5.6521422439598,17.4739593505859,18.347200012207,20.6905002593994,23.1009006500244,25.4498500823975,32.3773399353027,36.5528800964355,151,3131.62913907285,569.313441680931,2249,2475,2902,3160,3488.5,3730,3915.5
"[-58,-57)","[30,35]",125,1.49942438554764,0.617987301077829,0.700374412536621,0.859276783466339,1.07483196258545,1.39999997615814,1.73000001907349,2.15212807655335,2.68000001907349,0.530042931288481,0.266847736070785,0.085428760945797,0.143976423144341,0.287102609872818,0.567707106471062,0.742107748985291,0.879853785037994,0.951341104507446,32.1489817351598,1.53528140305747,30.1673287671233,30.2913242009132,30.7433789954338,31.8090182648402,33.6364155251142,34.2745890410959,34.6081278538813,26,25.019350198599,5.94013556320181,18.1171751022339,18.6381006240845,20.8218746185303,23.4649496078491,27.4268493652344,34.426700592041,36.0742001533508,118,3147.92372881356,540.881998233744,2137.75,2530.1,2854,3193,3479.5,3784.6,4055.6
"[-57,-56)","[20,25)",81,1.62763299471066,0.670090792247524,0.762784004211426,0.899999976158142,1.14999997615814,1.52556800842285,2.04564809799194,2.40000009536743,2.59999990463257,0.466482104055216,0.284887568308089,0.0402990877628326,0.0808747261762619,0.208778396248817,0.443176299333572,0.731507420539856,0.857471704483032,0.906537413597107,23.0634407238289,1.39181141288299,20.3381278538813,20.7028538812785,22.1301369863014,23.1326484018265,24.1681506849315,24.6752283105023,24.8889269406393,24,24.3346938292186,4.01223340129474,20.3901249885559,20.8770397186279,22.4503629207611,23.2527494430542,25.4766626358032,31.1897404670715,32.0933960914612,77,3067.84415584416,655.983513611333,1863,2258.6,2822,3085,3405,3790,4010.4
"[-57,-56)","[25,30)",155,1.71440892873272,0.803705181642064,0.797456026077271,0.937686395645142,1.20000004768372,1.5,2.08015990257263,2.78950400352478,3.10614387989044,0.538599451150625,0.283148925395124,0.0708387859165668,0.142818972468376,0.307606264948845,0.513504445552826,0.785635054111481,0.948134207725525,0.975804108381271,27.4833974075711,1.40954795440404,25.2704680365297,25.5002739726027,26.3202054794521,27.400799086758,28.6311073059361,29.5187442922374,29.7235730593607,45,24.0430395762126,5.37618621510586,17.2249000549316,18.5242797851563,20.9321002960205,23.1562004089356,26.2303991317749,28.7431594848633,33.6843894958496,137,3046.35766423358,627.964905553064,1860,2182.8,2760,3130,3448,3734.4,3972.4
"[-57,-56)","[30,35]",128,1.53375037852675,0.7354394305049,0.691204005479813,0.800000011920929,1.06616395711899,1.39344000816345,1.79999995231628,2.20570242404938,2.80548084974289,0.528324017548584,0.292424186509338,0.057247143983841,0.112220001965761,0.297497808933258,0.516477257013321,0.777356386184692,0.903563725948334,0.972790703177452,32.2560966038813,1.37197478761312,30.3433047945206,30.4496347031964,31.1407534246575,32.2326484018265,33.3674086757991,34.2738356164384,34.5551997716895,37,25.3002181556633,5.62507039412556,18.5555599212647,19.6497299194336,20.8325004577637,24.8358001708984,28.5953398895264,32.1997997283936,35.1610300064087,118,3195.64406779661,621.402143837803,2060.5,2481.9,2928.75,3291.5,3583.75,3793.5,4084.9
"[-56,-55)","[20,25)",93,1.68935431331717,0.636853757637011,0.798982417583466,1.00109760761261,1.20000004768372,1.60000002384186,2.08031988143921,2.57999992370605,3.00658559799194,0.501198203773588,0.282210065558783,0.0461780674755573,0.132660195231438,0.264517396688461,0.509419322013855,0.738404631614685,0.899745190143585,0.956576120853424,23.0646241469043,1.31452288402627,20.6687214611872,21.2494063926941,22.0860730593607,23.2147260273973,24.1821917808219,24.6113470319635,24.8501826484018,31,23.9295986852338,5.06495511807268,18.1462249755859,19.3500003814697,20.7053003311157,22.589599609375,26.9772500991821,32.0461006164551,33.5209293365479,89,3051.49438202247,462.782619389481,2217.6,2384,2710,3116,3370,3528.4,3706.8
"[-56,-55)","[25,30)",148,1.59065837634576,0.663856614257274,0.695736008882523,0.822489595413208,1.08750000596046,1.45622396469116,2,2.52746870517731,2.78599996566773,0.502178846852149,0.301969994335412,0.0536701479926705,0.0952594429254532,0.234261397272348,0.483967334032059,0.76840552687645,0.917839020490646,0.952025553584099,27.4924973775145,1.34878418824864,25.506352739726,25.7303196347032,26.3666381278539,27.586301369863,28.5000570776256,29.3038470319635,29.6605365296804,31,23.6889653667327,5.17214338168076,18.077449798584,19.067699432373,20.0086002349854,21.7737998962402,25.2594499588013,31.7284002304077,33.5898990631104,142,3076.8661971831,584.365937872597,2205.5,2413.5,2749,3187.5,3399.5,3694.1,3890
