week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",788,7.38534898836601,2.80148339716166,3.90350009202957,4.44999980926514,5.59999990463257,6.84500002861023,8.55250000953674,10.6730002403259,12.6229999542236,0.509443427356369,0.311790799686639,0.0302077583968639,0.0668524771928787,0.235442519187927,0.505161792039871,0.79472216963768,0.93930624127388,0.977278420329094,22.831599853974,1.43275376819451,20.3414440639269,20.6366666666667,21.6808219178082,22.9833333333333,24.0939783105023,24.6383447488584,24.8196118721461,236,23.5308118201245,5.16564558018879,17.7694373130798,18.364049911499,20.2257120609283,22.4001998901367,25.3932495117188,30.5790004730225,33.5538005828857,733,3115.241473397,509.645685155703,2285,2520.6,2850,3135,3435,3693.6,3878.8
"[-60,-59)","[25,30)",1207,7.20183513000571,2.42290681147487,4.1399998664856,4.71199979782105,5.69999980926514,6.80000019073486,8.19999980926514,10.1520002365112,11.5209998130798,0.516479915698532,0.291039329489691,0.0503945365548134,0.106861338019371,0.271063923835754,0.513857483863831,0.763788044452667,0.924784028530121,0.963239169120789,27.5946486061143,1.42981928669499,25.2401255707763,25.5773515981735,26.4109589041096,27.633904109589,28.8215182648402,29.5591552511416,29.7582077625571,315,24.2559319094502,5.15635316924637,17.800340461731,18.9339405059814,20.4875497817993,23.4375,26.9360630512238,31.1317133585612,34.6043701171875,1131,3157.78868258179,566.049122680825,2246,2514,2870,3195,3513.5,3826,4007
"[-60,-59)","[30,35]",997,7.22877632674865,2.37572805549394,4.19999980926514,4.71799993515015,5.59999990463257,6.90000009536743,8.22999954223633,10.0939998626709,11.3759998321533,0.537360288790327,0.290732666467339,0.0635306239128113,0.120246466994286,0.284745395183563,0.560369849205017,0.785143792629242,0.92520295381546,0.962630689144135,32.3596146888153,1.399721898667,30.2222602739726,30.4757534246575,31.1934931506849,32.3186073059361,33.5215753424658,34.387899543379,34.6059132420091,238,24.8780778453464,5.49504786340314,18.6816355705261,19.2250293731689,20.6584749221802,23.5921497344971,28.0887870788574,32.0889003753662,34.9839962005615,939,3197.78168264111,508.585106443035,2329,2626.4,2910,3220,3520,3820,3970
"[-59,-58)","[20,25)",750,7.31906667073568,2.38040845715102,4.19999980926514,4.757000207901,5.69999980926514,6.88000011444092,8.41499996185303,10.5,11.7100002765655,0.517047309918484,0.300703527390698,0.0470927340909839,0.0990483850240707,0.252048462629318,0.504886209964752,0.78090238571167,0.932702052593231,0.966351592540741,22.8274919330289,1.4099914781924,20.3301940639269,20.7274429223744,21.7783961187215,22.9224885844749,24.0740867579909,24.6173630136986,24.7957077625571,232,23.2487900585964,4.53328010443246,17.5638047218323,18.7307292938232,20.2290992736816,22.1509990692139,25.2224752902985,29.2618947029114,31.8223210334778,697,3130.368723099,513.790137059763,2236,2498,2866,3180,3454,3710,3851
"[-59,-58)","[25,30)",1310,7.25142748355866,2.48502831968351,4.19999980926514,4.69999980926514,5.59250009059906,6.80000019073486,8.36749982833862,10.2019998550415,11.7730000019073,0.519673984612157,0.298996068963637,0.0547393895685673,0.112290026247501,0.251598790287972,0.531259328126907,0.785800933837891,0.927387756109238,0.968520486354828,27.553626477047,1.41536555059983,25.3173173515982,25.5657191780822,26.3932648401827,27.5559931506849,28.7704052511416,29.5380365296804,29.776546803653,308,24.239285424571,5.50204471108936,18.3318829536438,18.8067192077637,20.0651741027832,23.0015497207642,26.7819247245789,32.8306800842285,35.1562995910645,1208,3164.76738410596,508.711242371453,2388.5,2605,2890,3180,3481,3765,3919.3
"[-59,-58)","[30,35]",1050,7.25184762341636,2.43642259853383,4.1089998960495,4.68800005912781,5.60249996185303,6.82999992370606,8.39999961853027,10.0100002288818,11.7240002632141,0.538282378423028,0.294767089666363,0.0533241253346205,0.110912730544806,0.280896008014679,0.550693154335022,0.80836945772171,0.923287600278854,0.968141612410545,32.3164542291803,1.41764061594226,30.2088984018265,30.3758904109589,31.0777682648402,32.3047374429224,33.4954337899543,34.2884817351598,34.6553367579909,289,24.7027576958019,5.26980036638531,18.3472198486328,19.1368007659912,20.7966995239258,23.3556003570557,27.9229249954224,31.7132400512695,35.4502300262451,975,3204.13538461539,570.114506428918,2328.4,2586.6,2880,3250,3564,3859.2,4000
"[-58,-57)","[20,25)",764,7.43698952897057,2.695538954364,4.1829998254776,4.80000019073486,5.79000020027161,7,8.43000030517578,10.460000038147,11.9849999427795,0.524740097348184,0.29815151611551,0.0468971436843276,0.106499321758747,0.271437890827656,0.539686679840088,0.783249020576477,0.932315224409103,0.969338262081146,22.6711387434555,1.44110382106765,20.2855650684932,20.5490182648402,21.4745433789954,22.7671803652968,23.9243721461187,24.6232191780822,24.7831107305936,230,22.9765767006943,4.03992412226374,17.9464696884155,18.4202003479004,20.1030244827271,22.2136993408203,25.1270251274109,28.7236005783081,29.9644604206085,721,3159.09015256588,502.24130867443,2350,2540,2888,3198,3466,3745,3945
"[-58,-57)","[25,30)",1215,7.21569547299986,2.35102563442519,4.0440000295639,4.70399990081787,5.69999980926514,6.80000019073486,8.39499998092651,10.096000289917,11.3520001411438,0.523490772870419,0.295040291057163,0.0437980517745018,0.104741102457047,0.271914526820183,0.527422964572907,0.786992311477661,0.91903373003006,0.959972214698792,27.527165379484,1.40800076990598,25.2725114155251,25.518401826484,26.3755707762557,27.5461187214612,28.7351598173516,29.4737899543379,29.7177853881279,276,23.7457561007527,4.9800703136777,17.8961248397827,18.7404499053955,20.3576877117157,22.5404500961304,26.0018126964569,31.0212993621826,33.8509953022003,1132,3196.52120141343,500.503130141375,2378.65,2603.1,2916.75,3208,3516,3789.9,3953.35
"[-58,-57)","[30,35]",1056,7.11740530688654,2.26149829192343,4.16250002384186,4.72499990463257,5.59999990463257,6.80000019073486,8.30000019073486,9.71500015258789,11.1175003051758,0.527062838443409,0.288554561806873,0.0559265175834298,0.122250530868769,0.276521682739258,0.540291547775269,0.791687428951263,0.909614771604538,0.957293480634689,32.1907222914072,1.39749960824704,30.1856164383562,30.3941210045662,30.9626426940639,32.1001141552511,33.3200057077626,34.2174657534247,34.5184360730594,298,24.5024067064793,5.59228782167966,17.8589244842529,18.5147999763489,20.5376126766205,23.0886507034302,27.1710753440857,31.9265448570252,35.8056666374206,982,3203.03054989817,503.807635533968,2360,2585,2910,3250,3519,3780,3944.75
"[-57,-56)","[20,25)",739,7.25805142477498,2.46840335472047,4.09000015258789,4.65399990081787,5.5550000667572,6.84000015258789,8.39999961853027,10.6720001220703,11.5950001716614,0.504537723455496,0.307175714576332,0.0380826581269503,0.0880199581384659,0.225093066692352,0.504552245140076,0.776905655860901,0.938786733150482,0.963199931383133,22.8181755550201,1.39171371523375,20.398002283105,20.7285844748858,21.6780821917808,22.97100456621,24.0094178082192,24.5824885844749,24.8129452054795,217,23.0776719006891,4.32076741700216,18.2261404037476,18.7421997070313,20.1956005096436,21.8469003041585,25,28.9741100311279,32.4629915237427,702,3104.96438746439,549.885977170071,2085.75,2545.1,2855,3155,3435,3720,3884.5
