"","age","PROTEIN_TOTAL_BLOOD","CHOLESTEROL","HEMOGLOBIN_A1C_CALCULATED","FIBRINOGEN","PHOSPHATASE_ALKALINE","UREA_BLOOD","BPs","T3_FREE","NEUT","TRANSFERRIN","RBC"
"age",1,-0.227492058656198,0.362628566973631,0.47077193150714,0.311771244119283,0.247162489833826,0.536380825203458,0.478759721852345,-0.227229840488398,0.0472146593369002,-0.343224531071329,-0.0976976623364383
"PROTEIN_TOTAL_BLOOD",-0.227492058656198,1,0.0242867789555224,0.06818664684077,0.150932375500041,0.0740934150938773,0.0198168802505036,0.0877555351035593,0.0943545006323608,-0.0864717785939516,0.0847454700416149,0.19026786881536
"CHOLESTEROL",0.362628566973631,0.0242867789555224,1,0.0492621055170393,0.0721002998991248,0.118110984349583,0.0227765254229333,0.158938408858206,-0.0753605747303426,0.0224505778704134,0.12400874969563,0.0515262021082508
"HEMOGLOBIN_A1C_CALCULATED",0.47077193150714,0.06818664684077,0.0492621055170393,1,0.239589529540962,0.205427836478032,0.197777303094154,0.241878462862521,-0.045378958200551,0.0354495895638142,-0.097646005666338,0.129742448961348
"FIBRINOGEN",0.311771244119283,0.150932375500041,0.0721002998991248,0.239589529540962,1,0.32928880482742,0.187723175876534,0.161639871818259,-0.0872124015089231,0.21092611842681,-0.118955342795116,0.065322337800826
"PHOSPHATASE_ALKALINE",0.247162489833826,0.0740934150938773,0.118110984349583,0.205427836478032,0.32928880482742,1,0.0979525144540346,0.167287540744641,0.0740997685618898,0.115417833405171,-0.0202837361880661,0.0896282132949363
"UREA_BLOOD",0.536380825203458,0.0198168802505036,0.0227765254229333,0.197777303094154,0.187723175876534,0.0979525144540346,1,0.256815194372962,-0.157127818386079,-0.0446035485498453,-0.221885699426782,-0.0910739894066558
"BPs",0.478759721852345,0.0877555351035593,0.158938408858206,0.241878462862521,0.161639871818259,0.167287540744641,0.256815194372962,1,-0.0784324486827129,-0.052303682356556,-0.138479178590687,0.045712637520972
"T3_FREE",-0.227229840488398,0.0943545006323608,-0.0753605747303426,-0.045378958200551,-0.0872124015089231,0.0740997685618898,-0.157127818386079,-0.0784324486827129,1,0.0144322777684996,0.0872124015089231,0.0960200494817013
"NEUT",0.0472146593369002,-0.0864717785939516,0.0224505778704134,0.0354495895638142,0.21092611842681,0.115417833405171,-0.0446035485498453,-0.052303682356556,0.0144322777684996,1,0.156642311046409,0.0692398713686893
"TRANSFERRIN",-0.343224531071329,0.0847454700416149,0.12400874969563,-0.097646005666338,-0.118955342795116,-0.0202837361880661,-0.221885699426782,-0.138479178590687,0.0872124015089231,0.156642311046409,1,-0.00779326813265651
"RBC",-0.0976976623364383,0.19026786881536,0.0515262021082508,0.129742448961348,0.065322337800826,0.0896282132949363,-0.0910739894066557,0.045712637520972,0.0960200494817013,0.0692398713686893,-0.00779326813265651,1
