"names","system","shortName","delta","deltase","p","p2"
"ALBUMIN","Liver","Alb",2.97414343529416,0.0594223414343932,0,0
"PHOSPHATASE_ALKALINE","Musculoskeletal","ALP",1.7212864963681,0.220277018991955,5.55111512312578e-15,0.55185594630394
"ALT_Alanine_aminotransferase_GPT","Liver","ALT",0.0631811844173676,0.0112473585680989,1.93825138161685e-08,1
"AST_Aspartate_aminotransferase_GOT","Liver","AST",-0.354342743873507,0.0641960402301969,3.39583097197504e-08,1
"BASOPHILES_abs","Immune","Baso",0.00938420919492099,0.0244533018601667,0.701156032204062,1
"BILIRUBIN_TOTAL","Liver","BILIT",-0.658798161871361,0.0743089473556329,0,1
"BMI","Metabolism","BMI",-0.0522212218844751,0.0171694429666241,0.00235386120471026,1
"CALCIUM_BLOOD","Musculoskeletal","Ca",-2.94888776037939,0.144402181157115,0,0
"CK_CREAT","Musculoskeletal","CK",0.34903910784932,0.0631229851731104,3.21128523772529e-08,1
"Cl","Renal","Cl",0.222724684318102,0.124900969299593,0.0745520902618653,1
"BPd","Renal","DBP",1.26298580212844,0.062542685509368,0,0.999999999999997
"EOS","Immune","EOS",-0.109382723337399,0.0169781623941377,1.17479803662945e-10,1
"FOLIC_ACID","Iron","FA",2.51557468367191,0.311495568448435,6.66133814775094e-16,0.00699074492958618
"FERRITIN","Iron","FER",-0.650031553186618,0.087773976554693,1.30340183090993e-13,1
"FIBRINOGEN","Coagulation","Fgn",6.2577306484242,3.13992010032906,0.0462659847819153,0.0755553158170514
"T3_FREE","Thyroid","FT3",1.5422058128155,0.370222383463075,3.10507364895685e-05,0.712692767334732
"T4_FREE","Thyroid","FT4",-1.28370124391599,0.309972813662901,3.45290308774171e-05,0.933750692159297
"GAMMA_GLUTAMYL_TRANSPEPTIDASE","Liver","GGT",-0.29179566489599,0.0226107417494866,0,1
"GLOBULIN","Liver","GLB",-0.100294650935639,0.0406460949726127,0.0136056373096656,1
"GLUCOSE_BLOOD","Metabolism","Glucose",-0.978444096298187,0.113397105886222,0,0.999999999994913
"HEMOGLOBIN_A1C_CALCULATED","Metabolism","HbA1c",-1.09747325890562,0.0959057443791852,0,0.999999999994906
"HCT","RBCs","Hct",0.0188994267186712,0.0033377502259974,1.49335599441969e-08,1
"CHOLESTEROL_HDL","Metabolism","HDL",1.80650291826674,0.174390872506922,0,0.372968418938078
"HGB","Iron","Hgb",-1.02551062750223,0.0497987172989206,0,1
"IRON","Iron","Iron",0.24444736178253,0.058299696957605,2.75357493415562e-05,1
"K","Renal","K",-1.12049405567405,0.108449357146929,0,0.999999996774151
"LACTIC_DEHYDROGENASE_LDH__BLOOD","Musculoskeletal","LDH",-0.667100910840158,0.185213671641659,0.000316032562158508,0.999999997493736
"CHOLESTEROL_LDL","Metabolism","LDL",0.790797409829439,0.220355273956882,0.000332282192302191,0.99999328509778
"LYMP","Immune","LYMP",0.0446790868069216,0.00280031010695033,0,1
"MCHC","Iron","MCHC",0.0188115405769819,0.0142893811853232,0.188016366326175,1
"MCV","RBCs","MCV",1.13536605837356,0.164509318183294,5.14455145150805e-12,0.999906575921519
"MONO","Immune","MONO",1.06878184954701,0.0833435570429384,0,1
"MPV","Coagulation","MPV",-0.00588023143392167,0.0084339148797853,0.485669776119843,1
"Na","Renal","Na",-2.20615539906885,0.0768053281803075,0,1.43285561193807e-09
"NEUT","Immune","NEUT",-1.82519622918466,0.0615293377252207,0,0.110831140927586
"PHOSPHORUS_BLOOD","Musculoskeletal","P",0.299520294041209,0.0386480128007116,9.10382880192628e-15,1
"PLT","Coagulation","PLT",1.90092598877925,0.140589065196097,0,0.141517634458331
"RBC","RBCs","RBC",1.63806256421439,0.0581948482755402,0,0.97279097420245
"RDW","RBCs","RDW",0.00699304317231452,0.0352528141087877,0.842756864994895,1
"BPs","Renal","SBP",-1.06867314295515,0.194723112338267,4.06123850105189e-08,0.9997664548218
"CREATININE_BLOOD","Renal","sCr",-1.71419513263729,0.0965568334901299,0,0.644612895748155
"SPECIFIC_GRAVITY","Renal","SG",1.65697788762339,1.56780018578483,0.290565999949157,0.523656516679007
"CHOLESTEROL","Metabolism","TC",4.13288883075071,0.179764204310363,0,0
"TRIGLYCERIDES","Metabolism","TGs",2.77270032968853,0.182083560274314,0,9.7345450589259e-09
"PROTEIN_TOTAL_BLOOD","Liver","TP",3.04077081639537,0.0802585446530753,0,0
"TRANSFERRIN","Iron","TRSF",-5.33031936966375,0.487144188244006,0,9.93649607039515e-14
"TSH_THYROID_STIMULATING_HORMONE","Thyroid","TSH",0.27282170009899,0.450263299361212,0.544570589051883,0.999482248833742
"UREA_BLOOD","Renal","Urea",-4.39882553777418,0.171947907364465,0,0
"URIC_ACID","Renal","Uric acid",-3.18826897330635,0.17097950215989,0,0
"WBC","Immune","WBC",-0.328339531308197,0.0149054635378312,0,1
