"","var","beta_nocor","beta_se_nocor","beta_cor","beta_se_cor"
"PROTEIN_TOTAL_BLOOD","PROTEIN_TOTAL_BLOOD",-3.7820045089721,0.213281642705841,-10.2159951411354,0.163179973709437
"CHOLESTEROL","CHOLESTEROL",0.0901932432223966,0.00289897033056991,0.169998587743124,0.00213715981781319
"HEMOGLOBIN_A1C_CALCULATED","HEMOGLOBIN_A1C_CALCULATED",9.79311282973285,0.223744647620227,12.0605361814722,0.167255350065281
"FIBRINOGEN","FIBRINOGEN",0.0208837733814425,0.000857781646175363,0.015757691684236,0.000702861870649893
"PHOSPHATASE_ALKALINE","PHOSPHATASE_ALKALINE",0.0817665544881187,0.00411047953780715,0.0506271089109634,0.00326307301363537
"UREA_BLOOD","UREA_BLOOD",0.530244076966293,0.0101440397735997,0.576907641473462,0.00754723727290444
"BPs","BPs",0.316100537131263,0.00740201433547825,0.316036436262669,0.00555187637717128
"T3_FREE","T3_FREE",-2.78921343403578,0.155981274327162,-1.87451264320077,0.117673854998727
"NEUT","NEUT",0.348576609646425,0.0676450915644003,0.610080163447563,0.0531133880065119
"TRANSFERRIN","TRANSFERRIN",-0.059242242930172,0.00226376551349974,-0.0896445525674203,0.00172957939139476
"RBC","RBC",-2.07858669224413,0.258682604032374,-4.73919836486994,0.198799906478713
